店名: 解放, 地址: 解放路668号三亚明珠广场一层, 省市: 海南省, 三亚市
店名: 宝盛, 地址: 解放二路002号宝盛百货广场一、二层, 省市: 海南省, 三亚市
店名: 国际, 地址: 解放一路国际购物中心, 省市: 海南省, 三亚市
店名: 凤凰机场, 地址: 凤凰国际机场国内候机楼1层（国内到达厅）, 省市: 海南省, 三亚市
店名: 时代海岸, 地址: 解放路时代海岸水居巷香榭左岸裙楼鸿洲.渔人码头1栋, 省市: 海南省, 三亚市
店名: 三亚站, 地址: 东环高铁三亚站SY2处商业网点, 省市: 海南省, 三亚市
店名: 步行街, 地址: 解放路步行街（ 后门）肯德基, 省市: 海南省, 三亚市
店名: 亚龙湾, 地址: 亚龙湾区亚龙湾商业中心B2, 省市: 海南省, 三亚市
店名: 海虹路DT, 地址: 海虹路鲁能三亚湾美丽五区项目2号楼一层03、04号商铺, 省市: 海南省, 三亚市
店名: 港华, 地址: 商品街一巷港华商业城一楼, 省市: 海南省, 三亚市
店名: 海棠湾, 地址: 海棠北路免税购物商城3楼B区, 省市: 海南省, 三亚市
店名: 移动餐车2 , 地址: 红旗路和榆亚路路口, 省市: 海南省, 三亚市
店名: 半山半岛, 地址: 鹿回头路半山半岛4期中央海景大道1号楼首层, 省市: 海南省, 三亚市
店名: 金凤凰, 地址: 迎宾路金凤凰海景度假公寓A、B栋, 省市: 海南省, 三亚市
店名: 海棠湾君悦, 地址: 海棠湾镇海棠北路君悦酒店商业街103号部分, 省市: 海南省, 三亚市
店名: 红树林, 地址: 凤凰路红树林度假会展酒店美食街1#P2商亭、1#P3商亭, 省市: 海南省, 三亚市
店名: 阳光广场, 地址: 迎宾路360-1号E栋1层, 省市: 海南省, 三亚市
店名: 荔枝沟, 地址: 荔枝沟路和同心路交汇处, 省市: 海南省, 三亚市
店名: 三亚千古情, 地址: 迎宾路千古情景区, 省市: 海南省, 三亚市
店名: 蓝海, 地址: 河东区新风街蓝海购物广场一层A028商铺, 省市: 海南省, 三亚市
店名: 凤凰机场航空城, 地址: 三亚凤凰机场航空城B座三楼B3-6, 省市: 海南省, 三亚市
店名: 三亚大东海, 地址: 榆亚大道113号三亚林达海景酒店A栋, 省市: 海南省, 三亚市
店名: 新鸿港, 地址: 迎宾路新鸿港市场1号楼林达奥特莱斯, 省市: 海南省, 三亚市
店名: 三亚海坡, 地址: 天涯区新城路93号三亚丽禾温德姆一层S14号商铺, 省市: 海南省, 三亚市
店名: 车站旺毫, 地址: 解放路415号旺毫超市一层, 省市: 海南省, 三亚市
店名: 上东海岸, 地址: 河东区金鸡岭路上东海岸商业综合体一、二层, 省市: 海南省, 三亚市
店名: 三亚海昌, 地址: 海棠南路三亚海昌梦幻不夜城一层112-2商铺, 省市: 海南省, 三亚市
店名: 三亚站外卖点, 地址: 市辖区东环高铁三亚站一楼SY12，13，14处商业网点, 省市: 海南省, 三亚市
店名: 三亚崖州, 地址: 号，203-205号商铺宝安区福永街道永和路18-19号A栋一层+二层, 省市: 海南省, 三亚市
