店名: 茂名, 地址: 吴江路269号2层, 省市: 上海市, 上海市
店名: 翔川, 地址: 妙镜路1118号E号商铺, 省市: 上海市, 上海市
店名: 动力南广场（汇金奥特莱斯B1层）, 地址: 石龙路750-3号上海南站地下商场南馆, 省市: 上海市, 上海市
店名: 江苏, 地址: 江苏路398号1、2层（舜元弘基天地1楼）, 省市: 上海市, 上海市
店名: 威宁, 地址: 天山路352号101和201, 省市: 上海市, 上海市
店名: 思贤, 地址: 思贤路778--780号, 省市: 上海市, 上海市
店名: 惠乐, 地址: 惠南镇人民西路955号, 省市: 上海市, 上海市
店名: 柳州, 地址: 沪闵路9001号上海南站站厅层, 省市: 上海市, 上海市
店名: 真北, 地址: 桃浦路328号, 省市: 上海市, 上海市
店名: 马陆弘基, 地址: 马陆镇沪宜公路2398/2400号, 省市: 上海市, 上海市
店名: 南方商城, 地址: 沪闵路7388号5层, 省市: 上海市, 上海市
店名: 银霄, 地址: 银霄路393号百安居龙阳店一层, 省市: 上海市, 上海市
店名: 吴中, 地址: 吴中路1109号一层A商铺, 省市: 上海市, 上海市
店名: 阳光港, 地址: 佘山林湖路888号-1阳光港区9号, 省市: 上海市, 上海市
店名: 新福海, 地址: 四川北路1318号地下一层103单元, 省市: 上海市, 上海市
店名: 年家浜, 地址: 周浦镇沪南公路3449弄1幢32号236-1,236-2号、240号, 省市: 上海市, 上海市
店名: 三阳, 地址: 南京东路626-636号一层和二层, 省市: 上海市, 上海市
店名: 长岛, 地址: 长岛路1150号1层, 省市: 上海市, 上海市
店名: 金桥, 地址: 张杨路3611弄1号123,124,216室, 省市: 上海市, 上海市
店名: 保乐, 地址: 闵行华漕镇繁兴路399弄2号, 省市: 上海市, 上海市
店名: 新港汇, 地址: 虹桥路1号五层536铺位, 省市: 上海市, 上海市
店名: 名都, 地址: 都市路5001号仲盛世界B1肯德基, 省市: 上海市, 上海市
店名: 香港广场, 地址: 淮海中路282号香港广场商场北座地下一层NBL04室, 省市: 上海市, 上海市
