店名: 上饶解百, 地址: 解放路1号一层, 省市: 江西省, 上饶市
店名: 广丰月兔广场, 地址: 月兔广场北侧新天地东侧时代购物广场1-2层, 省市: 江西省, 上饶市
店名: 亿升, 地址: 赣东大道亿升广场, 省市: 江西省, 上饶市
店名: 饶州, 地址: 建设路17号国宴洲际酒店一二层肯德基餐厅, 省市: 江西省, 上饶市
店名: 玉山新建南路, 地址: 解放中路人民商场一楼, 省市: 江西省, 上饶市
店名: 弋阳汇金, 地址: 胜利路汇金广场一楼, 省市: 江西省, 上饶市
店名: 铅山狮江, 地址: 狮江大道县幼儿园对面铅山肯德基一楼, 省市: 江西省, 上饶市
店名: 上饶庆丰, 地址: 铁路新村范围庆丰路50号明珠商业广场1层, 省市: 江西省, 上饶市
店名: 余干琵琶湖, 地址: 县玉亭东山大街20号中港商业广场1楼, 省市: 江西省, 上饶市
店名: 体育路, 地址: 滨江东路北侧、体育馆路东侧滨江东路66号, 省市: 江西省, 上饶市
店名: 滨江万达, 地址: 滨江西路万达广场2号门肯德基餐厅, 省市: 江西省, 上饶市
店名: 万年润丰, 地址: 六0大道以东县武装部以南润丰商业广场一层, 省市: 江西省, 上饶市
店名: 上饶槠溪路餐厅, 地址: 凤凰大道以南槠溪北路以东一层, 省市: 江西省, 上饶市
店名: 旭日, 地址: 上饶县广信区凤凰西路45号新城吾悦广场, 省市: 江西省, 上饶市
店名: 三清山服务区（北）餐厅, 地址: 沪昆高速三清山高速服务区北区（往南昌方向）, 省市: 江西省, 上饶市
店名: 三清山服务区（南）餐厅, 地址: 沪昆高速三清山高速服务区南区（往浙江方向）, 省市: 江西省, 上饶市
