店名: 中山大信, 地址: 莲塘北路大信新都会广场首层, 省市: 广东省, 中山市
店名: 古镇, 地址: 古镇镇中兴大道国贸广场首层, 省市: 广东省, 中山市
店名: 小榄大信, 地址: 小榄镇升平路大信新都汇小榄店首层, 省市: 广东省, 中山市
店名: 星宝, 地址: 沙溪镇乐群坎溪村（沙溪镇星宝路3号）星宝明珠花园77卡商铺、78卡商铺、77-2卡商铺, 省市: 广东省, 中山市
店名: 怡华, 地址: 中山三路怡华商业大厦东座首层, 省市: 广东省, 中山市
店名: 坦洲, 地址: 坦洲镇坦神北路58号首层, 省市: 广东省, 中山市
店名: 中山世纪, 地址: 火炬开发区东镇东一路23号首层, 省市: 广东省, 中山市
店名: 南朗, 地址: 南朗镇南岐中路38号首层101号商铺, 省市: 广东省, 中山市
店名: 黄圃, 地址: 黄圃镇兴圃大道西33号明悦豪庭首层, 省市: 广东省, 中山市
店名: 中山旭日餐厅, 地址: 三角镇结民村（南三大道与福源路交界处）旭日华庭首层, 省市: 广东省, 中山市
店名: 中山三乡餐厅, 地址: 三乡镇文昌中路170号一、二、三层, 省市: 广东省, 中山市
店名: 大涌餐厅, 地址: 大涌镇旗山路645号一层二层, 省市: 广东省, 中山市
店名: 东兴餐厅, 地址: 古镇镇东兴中路2号汇盈大厦首层, 省市: 广东省, 中山市
店名: 窈窕DT, 地址: 火炬开发区窈窕村地块, 省市: 广东省, 中山市
店名: 富华餐厅, 地址: 西区富华道边富业广场一层二层, 省市: 广东省, 中山市
店名: 古镇大信, 地址: 古镇镇曹二村大信新都汇一层肯德基, 省市: 广东省, 中山市
店名: 三乡缤纷汇餐厅, 地址: 三乡镇缤纷汇商业广场首层109号, 省市: 广东省, 中山市
店名: 阜沙, 地址: 阜沙镇东阜公路边大信新都汇首层肯德基餐厅, 省市: 广东省, 中山市
店名: 大信新悦, 地址: 石岐区南安路18号首层1FY01铺位, 省市: 广东省, 中山市
店名: 小榄百汇餐厅, 地址: 小榄镇北区北秀路43号百汇时代广场首层1F105号铺位, 省市: 广东省, 中山市
店名: 翠沙路, 地址: 西区彩虹大道30号大信新都汇新家园店首层肯德基, 省市: 广东省, 中山市
店名: 华艺, 地址: 古镇镇中兴大道南1号华艺广场一楼, 省市: 广东省, 中山市
店名: 中山大信二期, 地址: 石歧石岐区莲员东路2号大信新都汇二期三层（3FB2), 省市: 广东省, 中山市
店名: 古镇海洲, 地址: 古镇中兴大道北1号海都广场首层78卡、79卡, 省市: 广东省, 中山市
店名: 港口保利, 地址: 港口镇港口大道19号保利国际广场首层101号, 省市: 广东省, 中山市
店名: 东凤尚悦, 地址: 东凤镇小沥村兴华中路15号一层, 省市: 广东省, 中山市
店名: 领丰汇, 地址: 黄圃镇新明中路13号领丰汇首层, 省市: 广东省, 中山市
店名: 悦盈, 地址: 南区永安一路9号悦盈新成花园悦盈商业中心101-103卡部分首层, 省市: 广东省, 中山市
店名: 蓝天金地, 地址: 黄圃镇新丰北路63号蓝天金地广场首层, 省市: 广东省, 中山市
店名: 古镇利和, 地址: 古镇镇同兴路98号利和广场购物中心首层1001A, 省市: 广东省, 中山市
店名: 新万悦, 地址: 坦洲镇十四村网髻路新万悦首层101, 省市: 广东省, 中山市
店名: 汇丰城, 地址: 小榄镇怡丰东路3号汇丰城首层B1-1, 省市: 广东省, 中山市
店名: GZ1147, 地址: 石岐区孙文东路28号金鹰广场G层肯德基（B107号铺位）, 省市: 广东省, 中山市
店名: 凯茵壹加壹, 地址: 火炬开发区南外环路8号凯茵新城04区盛荟苑9卡壹加壹（BF101铺位）, 省市: 广东省, 中山市
