店名: 沂蒙餐厅, 地址: 红旗路11号银座商城1楼, 省市: 山东省, 临沂市
店名: 金雀山餐厅, 地址: 兰山区金雀山一路71号, 省市: 山东省, 临沂市
店名: 和谐广场, 地址: 兰山区解放路与通达路交汇处西南角解放路158号一号楼和谐广场负一楼B103-B105室, 省市: 山东省, 临沂市
店名: 建设路餐厅, 地址: 费县费城镇建设路百姓购物广场1、2层, 省市: 山东省, 临沂市
店名: 隆山路, 地址: 隆山路中段西侧乐尚购物中心一、二层, 省市: 山东省, 临沂市
店名: 财富中心, 地址: 沂蒙山路北、府前街西沂蒙财富广场一、二层, 省市: 山东省, 临沂市
店名: 三和, 地址: 沂蒙路与上海路交汇处颐高上海街一期铺位258、259号两层, 省市: 山东省, 临沂市
店名: 通达路餐厅, 地址: 通达路36号一层, 省市: 山东省, 临沂市
店名: 郯东路, 地址: 郯城县人民路与郯东路交汇处银都购物中心一层, 省市: 山东省, 临沂市
店名: 双月餐厅, 地址: 罗庄区罗四路与双月湖路交汇处西南角银座购物广场一、二层, 省市: 山东省, 临沂市
店名: 东兴豪森国际广场餐厅, 地址: 东兴路与人民大街交汇处东北角豪森国际广场一层肯德基, 省市: 山东省, 临沂市
店名: 宝泉路, 地址: 宝泉路与罗五路交汇处东北角宝丽财富广场西南角一层, 省市: 山东省, 临沂市
店名: 蒙山大道餐厅, 地址: 蒙山大道与北园路交汇处大润发一层, 省市: 山东省, 临沂市
店名: 平邑浚河路餐厅, 地址: 平邑浚河路和汉阙路交汇处华百购物中心一、二层, 省市: 山东省, 临沂市
店名: 常华餐厅, 地址: 中山北路1号一层、二层, 省市: 山东省, 临沂市
店名: 君悦, 地址: 沂南县人民路以北、历山路以西阳都国际一层的房产, 省市: 山东省, 临沂市
店名: 齐鲁园, 地址: 济南路与孝河路交汇处东南角齐鲁园广场一层的房产, 省市: 山东省, 临沂市
店名: 开元国际, 地址: 兰陵县中兴路东段开元国际商城一、二层, 省市: 山东省, 临沂市
店名: 临沂新城吾悦, 地址: 新城吾悦广场1069号商铺, 省市: 山东省, 临沂市
店名: 泰盛广场肯德基, 地址: 通达路与解放路交汇处东北角泰盛购物广场(中汇广场)负一层、一层, 省市: 山东省, 临沂市
店名: 琅琊王路, 地址: 解放路西段与临西七路交汇处华强购物广场112-117, 省市: 山东省, 临沂市
店名: 临沂北城万达, 地址: 万达广场内1025号商铺, 省市: 山东省, 临沂市
店名: 临沂华润万象汇, 地址: 华润万象汇第三层L363号商铺, 省市: 山东省, 临沂市
