店名: 民主, 地址: 皋兰路3号, 省市: 甘肃省, 兰州市
店名: 西固, 地址: 玉门街21号, 省市: 甘肃省, 兰州市
店名: 南昌, 地址: 南昌路982号新北京华联一层, 省市: 甘肃省, 兰州市
店名: 百安, 地址: 庆阳路296号肯德基百安餐厅, 省市: 甘肃省, 兰州市
店名: 雁滩, 地址: 雁滩路3113号大润发超一层, 省市: 甘肃省, 兰州市
店名: 瑞德, 地址: 东岗东路1999号王府井百货1层, 省市: 甘肃省, 兰州市
店名: 康桥, 地址: 安宁西路3号, 省市: 甘肃省, 兰州市
店名: 新亚欧, 地址: 中山路亚欧商厦一楼肯德基餐厅, 省市: 甘肃省, 兰州市
店名: 西津DT, 地址: 西津东路575号西津广场, 省市: 甘肃省, 兰州市
店名: 兰州西站餐厅, 地址: 西站西路44号西部广场一层, 省市: 甘肃省, 兰州市
店名: 雁南, 地址: 雁南路天庆嘉园太阳岛肯德基餐厅, 省市: 甘肃省, 兰州市
店名: 兰州西客站, 地址: 兰州西客站候车层商业夹层肯德基餐厅, 省市: 甘肃省, 兰州市
店名: 兰州城关, 地址: 城关区天水北路兰州城关万达广场二、三层肯德基餐厅, 省市: 甘肃省, 兰州市
店名: 兰州东岗, 地址: 东岗东路1469号东欧国际儿童城肯德基餐厅, 省市: 甘肃省, 兰州市
店名: 敦煌路, 地址: 敦煌路349号万辉国际广场肯德基餐厅, 省市: 甘肃省, 兰州市
店名: 南昌甜品站, 地址: 南昌路982号北京华联5层, 省市: 甘肃省, 兰州市
店名: 兰州中心, 地址: 七里河区西津西路16号兰州中心购物广场一层肯德基, 省市: 甘肃省, 兰州市
店名: 兰州新区奥莱, 地址: 永登县经十路以东、纬十路以南、经十一路以西、纬八路以北的奥特莱斯广场, 省市: 甘肃省, 兰州市
店名: 名都, 地址: 红古区海石湾镇红古路名都广场一层, 省市: 甘肃省, 兰州市
店名: 兰州东方红7F甜品站, 地址: 广场南路4号国芳百货购物广场7层, 省市: 甘肃省, 兰州市
店名: 兰州南关国芳外卖点, 地址: 庆阳路216号南关国芳G99生活广场2层, 省市: 甘肃省, 兰州市
店名: 名城广场, 地址: 南滨河东路名城广场一层2号门, 省市: 甘肃省, 兰州市
店名: 榆中新世界, 地址: 城关镇栖云南路新世界商业中心, 省市: 甘肃省, 兰州市
店名: 兰州砂之船, 地址: 北滨河西路1258号, 省市: 甘肃省, 兰州市
店名: 兰州东方红7F甜品站, 地址: 广场南路4号国芳百货购物广场7层, 省市: 甘肃省, 兰州市
店名: 兰州碧桂园, 地址: 青白石街道青白石路剑桥郡25幢1层101号, 省市: 甘肃省, 兰州市
店名: 兰州陇能, 地址: 盐场路陇能家园A区一楼肯德基餐厅, 省市: 甘肃省, 兰州市
店名: 兰州雁北, 地址: 高新雁北路1575号-1层肯德基, 省市: 甘肃省, 兰州市
