店名: 包百, 地址: 钢铁大街67号包百大楼一层, 省市: 内蒙古, 包头市
店名: 青山, 地址: 幸福路3号街坊宝林商厦1楼, 省市: 内蒙古, 包头市
店名: 林荫, 地址: 友谊大街18号, 省市: 内蒙古, 包头市
店名: 九星, 地址: 富强路8号街坊九星国际大厦一层, 省市: 内蒙古, 包头市
店名: 东海, 地址: 文化路与呼得木林大街交汇处一层二层, 省市: 内蒙古, 包头市
店名: 东源, 地址: 钢铁大街60号东源大厦, 省市: 内蒙古, 包头市
店名: 保利, 地址: 南门外大街30#保利大厦一层, 省市: 内蒙古, 包头市
店名: 银河广场, 地址: 青年路南、体育馆道西万达商业广场, 省市: 内蒙古, 包头市
店名: 友谊大街, 地址: 友谊大街与恒为路交叉口信得惠广场1层, 省市: 内蒙古, 包头市
店名: 钢铁大街, 地址: 钢铁大街与三八路交汇处西北角北京华联超市底店, 省市: 内蒙古, 包头市
店名: 东河维多利, 地址: 巴彦塔拉大街西河槽维多利广场肯德基餐厅, 省市: 内蒙古, 包头市
店名: 包头机场餐厅, 地址: 二里半机场, 省市: 内蒙古, 包头市
店名: 白云, 地址: 钢铁大街96号包头维多利商厦一层, 省市: 内蒙古, 包头市
店名: 包头九原万达餐厅, 地址: 九原区沙河街与210国道交口九原万达广场一层[1038+1039]商铺, 省市: 内蒙古, 包头市
店名: 东河摩尔城餐厅, 地址: 巴彦塔拉大街56号维多利摩尔城一层, 省市: 内蒙古, 包头市
