店名: 海门时代, 地址: 解放中路309号北贵都之星利群时代一层肯德基餐厅, 省市: 江苏省, 南通市
店名: 南通工农路, 地址: 工农路515号金飞达广场乐购超市一楼肯德基, 省市: 江苏省, 南通市
店名: 海门长江, 地址: 黄海路530号欧尚超市一楼, 省市: 江苏省, 南通市
店名: 开发区上海路, 地址: 开发区上海路80号利群时代超市一楼, 省市: 江苏省, 南通市
店名: 南通任港, 地址: 崇川区任港路50号大润发1楼, 省市: 江苏省, 南通市
店名: 南通桃园路, 地址: 桃园路１２号中南城购物中心负一楼, 省市: 江苏省, 南通市
店名: 海安江海路, 地址: 宁海南路2号文峰大世界购物中心2楼, 省市: 江苏省, 南通市
店名: 如皋益寿路, 地址: 中山西路1号正翔广场1楼, 省市: 江苏省, 南通市
店名: 海门叠石桥, 地址: 叠石桥家纺城大岛路和秀女路交叉口, 省市: 江苏省, 南通市
店名: 南通龙王桥, 地址: 工农路259号利群时代超市1楼, 省市: 江苏省, 南通市
店名: 南通城山路, 地址: 城山路100号苏果超市一楼, 省市: 江苏省, 南通市
店名: 南通人民, 地址: 人民中路10-1, 省市: 江苏省, 南通市
店名: 十字街, 地址: 人民中路72-4号, 省市: 江苏省, 南通市
店名: 南通七彩, 地址: 桃坞路58号, 省市: 江苏省, 南通市
店名: 海门农工商, 地址: 海门市镇中路1号，迪美时尚街一楼, 省市: 江苏省, 南通市
店名: 南通通润发, 地址: 人民中路86-1, 省市: 江苏省, 南通市
店名: 如东, 地址: 掘港镇青园北路30号一层亚萍广场一楼, 省市: 江苏省, 南通市
店名: 宁海, 地址: 人民东路2-4号新时代电器楼下, 省市: 江苏省, 南通市
店名: 南大街, 地址: 南大街1号, 省市: 江苏省, 南通市
店名: 解放, 地址: 解放中路737号, 省市: 江苏省, 南通市
店名: 如皋西欧国际, 地址: 中山路398号丰乐桥西欧国际广场一层, 省市: 江苏省, 南通市
店名: 通州文峰, 地址: 金沙镇建设路76号通州文峰大世界内, 省市: 江苏省, 南通市
店名: 启东明珠, 地址: 人民中路北侧603号东方明珠商业广场一层, 省市: 江苏省, 南通市
店名: 如皋大润发, 地址: 海阳路与福寿路交叉口199号大润发超一楼, 省市: 江苏省, 南通市
店名: 通州金沙, 地址: 通州区金沙镇建设南路18号大润发卖场一层, 省市: 江苏省, 南通市
店名: 海安明珠, 地址: 中坝南路1号明珠城, 省市: 江苏省, 南通市
店名: 启东公园, 地址: 公园路545号, 省市: 江苏省, 南通市
店名: 海安中大街, 地址: 中大街26号利群时代超市一层, 省市: 江苏省, 南通市
店名: 如东城区, 地址: 掘港镇老城区青园北路19号如东文峰大世界内, 省市: 江苏省, 南通市
店名: 如皋长江, 地址: 长江镇长江中路6号文峰大世界一楼肯德基, 省市: 江苏省, 南通市
店名: 吕四, 地址: 吕四港镇环城北路272号吕四宾馆楼下, 省市: 江苏省, 南通市
店名: 南通圆融, 地址: 青年东路与工农路交接处圆融广场负一楼, 省市: 江苏省, 南通市
