店名: 大统餐厅, 地址: 人民路二号大统百货一楼, 省市: 河南省, 南阳市
店名: 新华餐厅, 地址: 新华路与工业路交叉口新华城市广场肯德基餐厅, 省市: 河南省, 南阳市
店名: 红都, 地址: 人民路56号一、二层, 省市: 河南省, 南阳市
店名: 万德隆, 地址: 新华路与文化路交叉口万德隆时代广场1层, 省市: 河南省, 南阳市
店名: 西峡餐厅, 地址: 七一路多尔玛商场一层, 省市: 河南省, 南阳市
店名: 南阳金玛特肯德基餐厅, 地址: 工业路39号金玛特商场一楼, 省市: 河南省, 南阳市
店名: 大裕城, 地址: 龙泉路北侧、人民路西侧大裕城购物广场（财富广场）一层, 省市: 河南省, 南阳市
店名: 万隆城, 地址: 平安大道与紫金城路交叉口西南角万德隆购物中心1层, 省市: 河南省, 南阳市
店名: 宇信大裕城, 地址: 建设路与明山路交叉口宇信大裕城一层, 省市: 河南省, 南阳市
店名: 南阳高铁站二层餐厅, 地址: 南阳东站二层候车厅左侧自动扶梯最左侧靠外, 省市: 河南省, 南阳市
店名: 邓州东站, 地址: 邓州东站候车厅二层, 省市: 河南省, 南阳市
店名: 南阳东站一楼外卖, 地址: 南阳东站一层候车厅进展闸机口右侧编号CZ000656商铺NYD-1F-01, 省市: 河南省, 南阳市
