店名: 吉百, 地址: 重庆路1299号, 省市: 吉林省, 吉林市
店名: 吉润发, 地址: 东市场大润发一店一层, 省市: 吉林省, 吉林市
店名: 江城, 地址: 解放北路交行花园1号, 省市: 吉林省, 吉林市
店名: 吉林中康, 地址: 吉林大街309号, 省市: 吉林省, 吉林市
店名: 新珲春, 地址: 解放中路120号大润发三店一层, 省市: 吉林省, 吉林市
店名: 大龙华, 地址: 遵义东路55号, 省市: 吉林省, 吉林市
店名: 解放东路, 地址: 重庆路1367号, 省市: 吉林省, 吉林市
店名: 吉林火车站, 地址: 重庆路1号二层A区, 省市: 吉林省, 吉林市
店名: 新生活 DT, 地址: 越山路378号中东新生活购物广场越山路出口4号门处, 省市: 吉林省, 吉林市
店名: 桦甸肯德基（大兴）, 地址: 大兴街与人民路路交汇桦威商厦1楼, 省市: 吉林省, 吉林市
店名: 雾凇——大润发西山肯德基, 地址: 昌邑区珲春中街1508号大润发西山店一层, 省市: 吉林省, 吉林市
店名: 松江路, 地址: 松江南路488号欧亚城市综合体, 省市: 吉林省, 吉林市
店名: 松花湖, 地址: 小白山乡青山村万科松花湖滑雪场, 省市: 吉林省, 吉林市
店名: 华业, 地址: 嫩江街199号, 省市: 吉林省, 吉林市
店名: 世纪广场, 地址: 江南新玛特购物广场地上一层餐厅, 省市: 吉林省, 吉林市
店名: 松江路独立甜品站, 地址: 松江南路欧亚购物中心, 省市: 吉林省, 吉林市
店名: 吉林大街, 地址: 吉林大街518号万达广场肯德基, 省市: 吉林省, 吉林市
店名: 吉林大街肯德基甜品站, 地址: 万达购物广场3楼, 省市: 吉林省, 吉林市
店名: 长春路, 地址: 长春路85号西城首府小区G号商业用房地上一层, 省市: 吉林省, 吉林市
