店名: 福园, 地址: 渭阳西路中段福园国际时代广场一层, 省市: 陕西省, 咸阳市
店名: 新兴, 地址: 人民东路华润万家一层, 省市: 陕西省, 咸阳市
店名: 西安机场T3, 地址: 国际机场3号航站综合交通枢纽1层, 省市: 陕西省, 咸阳市
店名: 杨凌康乐, 地址: 杨凌区范区康乐路西段化建大厦一层, 省市: 陕西省, 咸阳市
店名: 咸阳世纪DT, 地址: 世纪大道中段三米阳光一层, 省市: 陕西省, 咸阳市
店名: 兴平南关餐厅, 地址: 南关西路财富广场一层肯德基, 省市: 陕西省, 咸阳市
店名: 人民路, 地址: 人民中路咸阳国际财富中心1期1层, 省市: 陕西省, 咸阳市
店名: 泾阳中心, 地址: 中心街与北极宫大街十字东北角（泾阳世纪新城）一层, 省市: 陕西省, 咸阳市
店名: 三原城关, 地址: 人行大街（三原商贸中心）一层, 省市: 陕西省, 咸阳市
店名: 咸阳万达, 地址: 玉泉东路10号, 省市: 陕西省, 咸阳市
店名: 咸阳彩虹餐厅, 地址: 渭阳西路彩虹一路十字东南角, 省市: 陕西省, 咸阳市
店名: 西安机场T3外卖, 地址: 咸阳国际机场T3航站楼到大厅一层, 省市: 陕西省, 咸阳市
店名: 彬州西大街, 地址: 彬州市西大街中段53号世纪华联购物广场, 省市: 陕西省, 咸阳市
店名: 西安机场T3出发, 地址: 国际机场T3航站楼3FBci-2, 省市: 陕西省, 咸阳市
