店名: 嘉兴北站, 地址: 禾兴北路1599号（汽车北站旁）, 省市: 浙江省, 嘉兴市
店名: 嘉兴江南摩尔, 地址: 洪兴西路1766号-江南摩尔西区一层A111, 省市: 浙江省, 嘉兴市
店名: 平湖新华, 地址: 平湖解放中路233号中百商都1-2层, 省市: 浙江省, 嘉兴市
店名: 濮院金泰, 地址: 濮院镇濮院大道3998号, 省市: 浙江省, 嘉兴市
店名: 平湖大润发, 地址: 新华中路世纪商业中心3号楼139号, 省市: 浙江省, 嘉兴市
店名: 海宁龙城, 地址: 海昌路1号龙城商业广场1楼, 省市: 浙江省, 嘉兴市
店名: 桐乡中都, 地址: 振兴中路2号新世界广场3号, 省市: 浙江省, 嘉兴市
店名: 长安休息站南(上海方向), 地址: 沪杭高速长安服务区南（上海方向）, 省市: 浙江省, 嘉兴市
店名: 嘉善乐购 , 地址: 体育南路518号乐购超市一楼, 省市: 浙江省, 嘉兴市
店名: 海盐大润发, 地址: 新桥北路118号，大润发超一楼, 省市: 浙江省, 嘉兴市
店名: 浙江奥特莱斯, 地址: 下沙启潮路199号奥特莱斯广场, 省市: 浙江省, 嘉兴市
店名: 海宁正翔, 地址: 文苑路与联合路交叉口，沃尔玛超一楼, 省市: 浙江省, 嘉兴市
店名: 嘉善大润发, 地址: 施家南路318号财富广场一楼, 省市: 浙江省, 嘉兴市
店名: 嘉兴中港城, 地址: 广益路与双溪路交汇处国际中港城一楼, 省市: 浙江省, 嘉兴市
店名: 海宁皮革城, 地址: 海洲西路201皮革大厦，地产品牌箱包直销中心1-C, 省市: 浙江省, 嘉兴市
店名: 桐乡乐购, 地址: 东兴街与鱼行街交叉口中虹天地一期一楼, 省市: 浙江省, 嘉兴市
店名: 乌镇东栅, 地址: 乌镇镇新林家铺子1幢105,109-116,118,201-203,206,208号商铺一层,二层, 省市: 浙江省, 嘉兴市
店名: 嘉兴乐天玛特, 地址: 城南路浙北超市, 省市: 浙江省, 嘉兴市
店名: 桐乡东兴, 地址: 东兴街6号, 省市: 浙江省, 嘉兴市
店名: 大润发, 地址: 中山西路607号, 省市: 浙江省, 嘉兴市
店名: 华庭, 地址: 建国路和勤俭路交叉口华庭街, 省市: 浙江省, 嘉兴市
店名: 嘉善农工商, 地址: 解放西路171号, 省市: 浙江省, 嘉兴市
店名: 海盐秦山, 地址: 新桥南路100号, 省市: 浙江省, 嘉兴市
店名: 海宁华联, 地址: 工人路58号, 省市: 浙江省, 嘉兴市
店名: 桐乡时代, 地址: 庆丰中路10号时代广场, 省市: 浙江省, 嘉兴市
店名: 海宁银泰, 地址: 海昌南路365号银泰城一楼, 省市: 浙江省, 嘉兴市
店名: 嘉善恒利, 地址: 魏塘街道中山西路118号恒利广场一楼, 省市: 浙江省, 嘉兴市
店名: 勤俭路, 地址: 勤俭路504号, 省市: 浙江省, 嘉兴市
店名: 大桥北服务区（西）, 地址: 杭州湾跨海大桥北服务区西, 省市: 浙江省, 嘉兴市
