店名: 金耀, 地址: 和平区南门外大街3号金耀肯德基, 省市: 天津市, 天津市
店名: 天津八里台, 地址: 卫津南路109号八里台新文化广场1层, 省市: 天津市, 天津市
店名: 北辰餐厅, 地址: 京津公路352增11号, 省市: 天津市, 天津市
店名: 迎水道餐厅, 地址: 华苑产业区迎水道138号, 省市: 天津市, 天津市
店名: 云翔餐厅, 地址: 西康路72号, 省市: 天津市, 天津市
店名: 恒华餐厅, 地址: 大沽南路恒华大厦一层, 省市: 天津市, 天津市
店名: 卫国道餐厅, 地址: 卫国道132号（物美超一层）, 省市: 天津市, 天津市
店名: 泛洋餐厅, 地址: 丁字沽一号路泛洋大厦, 省市: 天津市, 天津市
店名: 远东餐厅, 地址: 东马路远东百货地下一层, 省市: 天津市, 天津市
店名: 南楼, 地址: 大沽南路820号, 省市: 天津市, 天津市
店名: 小白楼, 地址: 浙江路33号, 省市: 天津市, 天津市
店名: 滨海, 地址: 和平路503号, 省市: 天津市, 天津市
店名: 东站, 地址: 进步道15号-世纪钟旁, 省市: 天津市, 天津市
店名: 东北角, 地址: 大胡同38号,新华书店旁, 省市: 天津市, 天津市
店名: 体北, 地址: 宾水道75号, 省市: 天津市, 天津市
店名: 风荷园, 地址: 白堤路164号, 省市: 天津市, 天津市
店名: 迎宾, 地址: 世纪大道118号, 省市: 天津市, 天津市
店名: 海光寺, 地址: 南京路与南门外大街交口, 省市: 天津市, 天津市
店名: 津汇, 地址: 南京路与营口道交口津汇广场一层, 省市: 天津市, 天津市
店名: 王顶堤, 地址: 迎水道59号, 省市: 天津市, 天津市
店名: 新百, 地址: 上海道888号, 省市: 天津市, 天津市
店名: 新洋, 地址: 河北路1629号, 省市: 天津市, 天津市
店名: 津工, 地址: 津塘公路79号1层财富豪为酒店旁, 省市: 天津市, 天津市
店名: 金纬, 地址: 金纬路337-339号, 省市: 天津市, 天津市
店名: 九龙, 地址: 广东路与绍兴道交口60号（世纪联华超底商）, 省市: 天津市, 天津市
店名: 团结, 地址: 大港油田团结东路滨海商厦东门处一、二层, 省市: 天津市, 天津市
店名: 汉沽, 地址: 汉沽新开南路98号汉沽百货大楼一层, 省市: 天津市, 天津市
店名: 劝业场肯德基餐厅, 地址: 天津劝业场底商，大铜钱旁, 省市: 天津市, 天津市
店名: 红旗, 地址: 红桥区西青道58号, 省市: 天津市, 天津市
店名: 津沽, 地址: 咸水沽镇津沽大街57号华润万家超底商, 省市: 天津市, 天津市
店名: 和平, 地址: 万达商业广场A座26号, 省市: 天津市, 天津市
店名: 学府, 地址: 卫津路博联大厦155号, 省市: 天津市, 天津市
店名: 广汇, 地址: 杨柳青镇柳口路柳青商厦B座一层, 省市: 天津市, 天津市
店名: 胜利, 地址: 胜利街663号友谊商厦底商一层, 省市: 天津市, 天津市
店名: 怡安, 地址: 胜利大街悦海食尚广场一层（原怡安购物广场一层）, 省市: 天津市, 天津市
