店名: 慈溪中心（早餐7:00）, 地址: 解放中街266-276号（上林坊早餐7:00）, 省市: 浙江省, 宁波市
店名: 周巷兴业, 地址: 周巷镇兴业南路1号, 省市: 浙江省, 宁波市
店名: 镇海鼓楼, 地址: 镇海鼓楼南大街320-328号, 省市: 浙江省, 宁波市
店名: 象山天安, 地址: 天安路与建设路交叉口, 省市: 浙江省, 宁波市
店名: 欧尚沧海, 地址: 百丈东路1188号, 省市: 浙江省, 宁波市
店名: 慈溪虞波(早餐6点）, 地址: 浒山街道新城大道271-279号人民医院对面, 省市: 浙江省, 宁波市
店名: 宁波万达, 地址: 鄞州四明中路999号万达广场2号门, 省市: 浙江省, 宁波市
店名: 泗门慈客隆, 地址: 泗门镇镇北路109号, 省市: 浙江省, 宁波市
店名: 石浦金山, 地址: 象山县石浦镇金山路102号, 省市: 浙江省, 宁波市
店名: 北仑长江, 地址: 明州路725-729号, 省市: 浙江省, 宁波市
店名: 观海卫海卫, 地址: 观海卫镇观海卫路243号贞观商厦一楼, 省市: 浙江省, 宁波市
店名: 宁海金昌, 地址: 中山中路69-73号, 省市: 浙江省, 宁波市
店名: 逍林樟新, 地址: 逍林镇樟新南路919号北侧, 省市: 浙江省, 宁波市
店名: 奉化太平洋, 地址: 南山路174号, 省市: 浙江省, 宁波市
店名: 慈溪大润发, 地址: 古塘街道北二环中路550号1楼, 省市: 浙江省, 宁波市
店名: 奉化大润发, 地址: 南山路8号龙津尚都, 省市: 浙江省, 宁波市
店名: 北仑君临, 地址: 黄山路857号, 省市: 浙江省, 宁波市
店名: 慈溪新都, 地址: 新城大道南路228-232, 省市: 浙江省, 宁波市
店名: 宁波中兴, 地址: 中兴路138号世纪联华超左侧, 省市: 浙江省, 宁波市
店名: 余姚四明, 地址: 四明西路486-490号, 省市: 浙江省, 宁波市
店名: 宁波泰富, 地址: 桑田路291号-299号, 省市: 浙江省, 宁波市
店名: 宁波百丈, 地址: 百丈东路86-2号, 省市: 浙江省, 宁波市
