店名: 幸福, 地址: 幸福中路世纪大厦一楼, 省市: 江苏省, 宿迁市
店名: 沭阳时代, 地址: 沭城镇人民中路南侧, 省市: 江苏省, 宿迁市
店名: 宿迁楚街, 地址: 洪泽湖路98号大润发超市一层, 省市: 江苏省, 宿迁市
店名: 宿迁时代, 地址: 幸福中路2号金柏年财富广场一楼（提醒仔细看餐厅地址哦，别选错）, 省市: 江苏省, 宿迁市
店名: 沭阳大润发, 地址: 上海南路与苏州西路交汇处, 省市: 江苏省, 宿迁市
店名: 泗阳芙蓉, 地址: 人民中路万豪国际广场A区一层, 省市: 江苏省, 宿迁市
店名: 泗洪苏果, 地址: 泗洪县泗洲西大街12号华润苏果购物广场一层, 省市: 江苏省, 宿迁市
店名: 宿迁宝龙, 地址: 西湖路宝龙城市广场1025-1027商铺, 省市: 江苏省, 宿迁市
店名: 宿迁金鹰, 地址: 西湖路1号金鹰天地南广场一楼肯德基, 省市: 江苏省, 宿迁市
店名: 泗洪大润发, 地址: 泗州大街北侧人民南路东侧, 省市: 江苏省, 宿迁市
店名: 桃源大润发餐厅, 地址: 淮海中路与桃源路西北角大润发一楼, 省市: 江苏省, 宿迁市
店名: 洋河发展, 地址: 洋河新区华地万象城市广场1楼, 省市: 江苏省, 宿迁市
店名: 泗阳雨润, 地址: 泗阳县人民路雨润广场一层, 省市: 江苏省, 宿迁市
店名: 宿迁雨润中央, 地址: 宿迁幸福路与西湖路交叉口幸福南路88号, 省市: 江苏省, 宿迁市
店名: 宿迁万达, 地址: 宿豫区项王路8号万达广场, 省市: 江苏省, 宿迁市
店名: 乐之地, 地址: 台州南路68号乐之地商业广场肯德基, 省市: 江苏省, 宿迁市
店名: 中央广场, 地址: 人民中路与上海中路交叉口的沭阳中央广场一层, 省市: 江苏省, 宿迁市
店名: 宿迁高铁站, 地址: 三棵树街道富康大道与上海路交叉口东宿迁高铁站候车大厅2层, 省市: 江苏省, 宿迁市
店名: 沭阳万达, 地址: 北京南路（原新城路22号）万达广场一层1030号商铺, 省市: 江苏省, 宿迁市
