店名: 东涌, 地址: 番禺东涌镇吉祥围, 省市: 广东省, 广州市
店名: 西城都荟, 地址: 黄沙大道8号负一层B093铺, 省市: 广东省, 广州市
店名: 乐都汇, 地址: 东圃珠村中山大道乐都汇购物中心一层L1F001号店铺, 省市: 广东省, 广州市
店名: 乐峰, 地址: 榕景路107号（107号）-278—282房（自编B2层S36号商铺）, 省市: 广东省, 广州市
店名: 海珠新都荟, 地址: 东晓南路1290号101房（自编2A10铺）, 省市: 广东省, 广州市
店名: 五羊, 地址: 寺右新马路五羊村商住中心首层, 省市: 广东省, 广州市
店名: 署前, 地址: 署前路33号二楼, 省市: 广东省, 广州市
店名: 淘金, 地址: 淘金路6号首层, 省市: 广东省, 广州市
店名: 好又多, 地址: 中山大道188号好又多商业广场, 省市: 广东省, 广州市
店名: 万客隆, 地址: 三元里地铁站C1出口卜蜂莲花首层, 省市: 广东省, 广州市
店名: 南村, 地址: 南村镇南村综合市场一楼西北角, 省市: 广东省, 广州市
店名: 逸富, 地址: 新塘镇广深公路旁逸富广场首层, 省市: 广东省, 广州市
店名: 广雅, 地址: 环西路52-54号首层, 省市: 广东省, 广州市
店名: 购书中心, 地址: 天河路123号广州购书中心负一层, 省市: 广东省, 广州市
店名: 东郊, 地址: 中山大道路399号车陂路口易初莲花首层, 省市: 广东省, 广州市
店名: 南油, 地址: 江南大道中168号南油大厦首层, 省市: 广东省, 广州市
店名: 云山大道, 地址: 新华街云山大道29号首层及二层, 省市: 广东省, 广州市
店名: 龙口东, 地址: 天河北路华标广场首层, 省市: 广东省, 广州市
店名: 东峻, 地址: 东风东路836号东峻广场西园首层29、30号铺, 省市: 广东省, 广州市
店名: 大沙东, 地址: 石化路123.125.127.129号文冲商贸大厦, 省市: 广东省, 广州市
店名: 赤岗, 地址: 石榴岗路1号赤岗大厦首层, 省市: 广东省, 广州市
店名: 新世界, 地址: 中山大道西160-178号万佳百货首层, 省市: 广东省, 广州市
店名: 黄埔, 地址: 大沙东路5-7号首层、二层, 省市: 广东省, 广州市
店名: 新光, 地址: 康王路666号新光城广场二层部分, 省市: 广东省, 广州市
店名: 锦轩, 地址: 农林下路4-6号锦轩现代城首层, 省市: 广东省, 广州市
店名: 天河城, 地址: 天河路208号天河城广场6F, 省市: 广东省, 广州市
店名: 东圃, 地址: 东圃大马路1号东圃购物中心, 省市: 广东省, 广州市
店名: 肯德基（骏盈广场）, 地址: 西槎路129号骏盈广场首层, 省市: 广东省, 广州市
店名: 科学大道, 地址: 科学大道193号优托邦A座一层及二层, 省市: 广东省, 广州市
店名: 百德广场, 地址: 市桥桥东路百德广场首层, 省市: 广东省, 广州市
店名: 新世纪, 地址: 街口新城东路66号林苑大厦首二层, 省市: 广东省, 广州市
店名: 中山大道, 地址: 中山大道中87号首层, 省市: 广东省, 广州市
店名: 东晓南路, 地址: 东晓南路1273号101房, 省市: 广东省, 广州市
店名: 员村, 地址: 黄埔大道中恒隆街3号家乐福超首层, 省市: 广东省, 广州市
店名: 远景, 地址: 远景路172号时代新都会首、二层肯德基, 省市: 广东省, 广州市
店名: 花都广百, 地址: 凤凰北路与龙珠路交汇处广百新一城A区首二层, 省市: 广东省, 广州市
店名: 林和西, 地址: 林和西路广火车东站一楼E区编号为A-14、15首层及夹层, 省市: 广东省, 广州市
店名: 太和, 地址: 太和镇太和广场联升路自编1号首、二层, 省市: 广东省, 广州市
店名: 五山, 地址: 五山地铁B口, 省市: 广东省, 广州市
店名: 南站二, 地址: 广州南站二店肯德基, 省市: 广东省, 广州市
店名: 光明广场, 地址: 西湖路以南、龙藏街以东,光明广场首层二层, 省市: 广东省, 广州市
店名: 金沙, 地址: 工业大道北76-80号家乐福首层, 省市: 广东省, 广州市
