店名: 慈利芙蓉, 地址: 零阳镇东街177号, 省市: 湖南省, 张家界市
店名: 张家界文昌阁, 地址: 解放路18号永昌商城, 省市: 湖南省, 张家界市
店名: 张家界回龙路, 地址: 永定区回龙路十字街7栋101号首层肯德基餐厅, 省市: 湖南省, 张家界市
店名: 袁家界, 地址: 游客服务基地（阿凡达餐厅旁）, 省市: 湖南省, 张家界市
店名: 武陵源, 地址: 景区标志门九院十街, 省市: 湖南省, 张家界市
店名: 水绕四门, 地址: 水绕四门-地质博物馆一层10号、11号、12号、13号商铺, 省市: 湖南省, 张家界市
店名: 张家界高铁出发层肯德基, 地址: 张家界西站“张2-4”商铺, 省市: 湖南省, 张家界市
店名: 荷花机场, 地址: 荷花国际机场T2航站楼, 省市: 湖南省, 张家界市
店名: 张家界高铁到达, 地址: 张家界西站“张1-15”商铺, 省市: 湖南省, 张家界市
店名: 永定大道, 地址: 永定大道与兑泽路交汇处梅尼商贸城一层, 省市: 湖南省, 张家界市
店名: 天门中央广场, 地址: 解放路天门中央广场一层, 省市: 湖南省, 张家界市
