店名: 淮海, 地址: 淮海西路252号, 省市: 江苏省, 徐州市
店名: 徐州华联, 地址: 淮海东路55号华联商厦（供销大厦对面）一楼肯德基0516-83710049/83711049, 省市: 江苏省, 徐州市
店名: 大福源, 地址: 泉山区煤建路8号, 省市: 江苏省, 徐州市
店名: 泰山, 地址: 解放南路延长段28号, 省市: 江苏省, 徐州市
店名: 徐州东站, 地址: 津浦西路202号火车站一层, 省市: 江苏省, 徐州市
店名: 邳州时代, 地址: 解放东路北侧同盛国际广场一层, 省市: 江苏省, 徐州市
店名: 盛佳, 地址: 中山北路1号盛佳大厦1层, 省市: 江苏省, 徐州市
店名: 徐州沃尔玛, 地址: 解放南路与和平路交叉口正翔商业广场一层1025单元, 省市: 江苏省, 徐州市
店名: 世茂大润发, 地址: 三环东路以西世茂广场一层, 省市: 江苏省, 徐州市
店名: 沛县汉城, 地址: 汉城中路东侧刘邦大酒店一层, 省市: 江苏省, 徐州市
店名: 邳州通城, 地址: 建设北路西侧，世纪大道北侧通城世纪广场一层, 省市: 江苏省, 徐州市
店名: 丰县凤鸣, 地址: 丰县解放路3号, 省市: 江苏省, 徐州市
店名: 富民, 地址: 新安镇富民路100号银河之星, 省市: 江苏省, 徐州市
店名: 徐州云龙万达（万达二楼东）, 地址: 庆丰路与和平路交叉口西北角万达广场, 省市: 江苏省, 徐州市
店名: 徐州高铁, 地址: 高铁站1楼西出站口北侧, 省市: 江苏省, 徐州市
店名: 贾汪百大, 地址: 劳工街前委路中段百货大楼一层二层, 省市: 江苏省, 徐州市
店名: 徐州站精选餐厅, 地址: 火车站进站大厅一层, 省市: 江苏省, 徐州市
店名: 徐州老东门, 地址: 淮海东路104号, 省市: 江苏省, 徐州市
店名: 振兴汽车穿梭餐厅, 地址: 徐海路与振兴大道交叉口东南角, 省市: 江苏省, 徐州市
店名: 睢宁万象苏果, 地址: 八一路南万象天地华润苏果入口, 省市: 江苏省, 徐州市
店名: 邳州大润发, 地址: 新苏中心大润发一层, 省市: 江苏省, 徐州市
店名: 徐州泉山大润发, 地址: 北京路与欣欣路交叉口大润发超市一层, 省市: 江苏省, 徐州市
店名: 徐州铜山万达, 地址: 北京北路19号, 省市: 江苏省, 徐州市
店名: 城投国际广场, 地址: 东风路与汉城路交口西北角, 省市: 江苏省, 徐州市
店名: 徐州苏宁, 地址: 淮海东路苏宁广场负一层, 省市: 江苏省, 徐州市
店名: 徐州金山, 地址: 泰山街道金山东路三胞广场110号肯德基, 省市: 江苏省, 徐州市
店名: 万马奔腾, 地址: 中山北路南侧君盛广场1#一层, 省市: 江苏省, 徐州市
店名: 壹方城, 地址: 大学路壹方城一层, 省市: 江苏省, 徐州市
店名: 天成太平洋, 地址: 睢宁县睢河街道中山北路201号天成太平洋一层, 省市: 江苏省, 徐州市
店名: 丰县欢乐城, 地址: 中阳大道北、东城路西侧一层, 省市: 江苏省, 徐州市
店名: 德信, 地址: 汉城路东侧、正阳路西侧、韩信路南侧德信之翼一层, 省市: 江苏省, 徐州市
店名: 徐州复兴, 地址: 复兴北路复兴苏宁广场A座一层110号商铺, 省市: 江苏省, 徐州市
店名: 徐州环球港, 地址: 徐海路8号环球港广场一楼3号门西侧, 省市: 江苏省, 徐州市
店名: 徐州东站东站房, 地址: 鲲鹏路徐州东站 铺位号:XZDD-3F-07, 省市: 江苏省, 徐州市
店名: 淮海新天地, 地址: 新淮海西路与二轻路交口东北角, 省市: 江苏省, 徐州市
