店名: 扬州竹西路大润发, 地址: 竹西路2号大润发超市一楼, 省市: 江苏省, 扬州市
店名: 广润发, 地址: 邗江路2号广润发餐厅, 省市: 江苏省, 扬州市
店名: 安宜, 地址: 宝应县苏中中路318号, 省市: 江苏省, 扬州市
店名: 阳光, 地址: 高邮市环城路1号, 省市: 江苏省, 扬州市
店名: 江都商城, 地址: 工农路2号江都商城一楼, 省市: 江苏省, 扬州市
店名: 扬州大润发广陵, 地址: 文昌中路168号, 省市: 江苏省, 扬州市
店名: 扬州京华城, 地址: 京华城路168号, 省市: 江苏省, 扬州市
店名: 扬州四望亭, 地址: 扬子江北路101号沃尔玛超市一楼, 省市: 江苏省, 扬州市
店名: 江都时代, 地址: 东方红路6号时代广场一层, 省市: 江苏省, 扬州市
店名: 东方红路苏果（江都苏果超市一楼）, 地址: 东方红路18号东方红广场, 省市: 江苏省, 扬州市
店名: 邗江乐购, 地址: 邗江中路306号乐购超市一楼, 省市: 江苏省, 扬州市
店名: 文昌广场, 地址: 汶河南路75号工人文化宫对面文昌广场, 省市: 江苏省, 扬州市
店名: 运河路, 地址: 运河西路228号一层, 省市: 江苏省, 扬州市
店名: 江阳欧尚, 地址: 江阳中路425号欧尚超市一楼, 省市: 江苏省, 扬州市
店名: 真州时代, 地址: 工农南路114号, 省市: 江苏省, 扬州市
店名: 仪征苏果餐厅, 地址: 真州西路147号, 省市: 江苏省, 扬州市
店名: 高邮瑞和苏果, 地址: 文游中路213号（南苏果超市一楼大门口）, 省市: 江苏省, 扬州市
店名: 汶河餐厅, 地址: 汶河北路48号, 省市: 江苏省, 扬州市
店名: 时代国际, 地址: 宝应县白田中路与安宜东路交叉口东北角, 省市: 江苏省, 扬州市
店名: 扬州新汽车西站, 地址: 文昌西路北侧、火车站前广场西侧, 省市: 江苏省, 扬州市
店名: 大桥宏信龙, 地址: 大桥镇东园路与新城路交叉口东北角, 省市: 江苏省, 扬州市
店名: 扬州广电餐厅, 地址: 汶河南路46号, 省市: 江苏省, 扬州市
店名: 江都大润发, 地址: 舜天路北、广州路东侧新加坡花园商业综合体, 省市: 江苏省, 扬州市
店名: 仪征润霖苏果, 地址: 万年大道润霖广场一楼（仪征中学西面）, 省市: 江苏省, 扬州市
店名: 奥邦大润发餐厅, 地址: 渡江南路128号, 省市: 江苏省, 扬州市
店名: 扬州万达, 地址: 力宝广场以南万达广场一层1061、1062号商铺, 省市: 江苏省, 扬州市
店名: 博物馆路餐厅, 地址: 博物馆路东侧、云顶街（即吉祥路）北侧润茂国际大润发一层1001铺, 省市: 江苏省, 扬州市
店名: 江都金鹰, 地址: 江都区文昌东路1177号金鹰新城市中心一楼, 省市: 江苏省, 扬州市
店名: 正谊服务区北区, 地址: 江都区京沪高速公路正谊服务区北区一层, 省市: 江苏省, 扬州市
店名: 正谊服务区南区, 地址: 江都区京沪高速公路正谊服务区南区一层, 省市: 江苏省, 扬州市
店名: 瘦西湖服务区, 地址: 仙女镇双沟社区瘦西湖服务区南区一层, 省市: 江苏省, 扬州市
店名: 瘦西湖服务区北, 地址: 江都区仙女镇双沟社区瘦西湖服务区北区一层, 省市: 江苏省, 扬州市
店名: 高邮服务区东区, 地址: 高邮市卸甲镇周邶墩村陈家组100号高邮服务区东区一层、二层, 省市: 江苏省, 扬州市
店名: 高邮服务区西区, 地址: 高邮市卸甲镇周邶墩村陈家组100号高邮服务区西区一层、二层, 省市: 江苏省, 扬州市
店名: 扬州吾悦广场, 地址: 吾悦广场餐厅（吾悦广场2号门）, 省市: 江苏省, 扬州市
店名: 仪征宝能, 地址: 解放东路828号, 省市: 江苏省, 扬州市
店名: 扬州五彩世界, 地址: 京华城路8号五彩世界生活广场一层北门, 省市: 江苏省, 扬州市
店名: 扬州万家福, 地址: 汶河北路1号万家福广场, 省市: 江苏省, 扬州市
店名: 高邮世贸, 地址: 通湖路325-2、325-3、325-4号1层铺位, 省市: 江苏省, 扬州市
店名: 宝应吾悦, 地址: 宝应县通运路9号新城吾悦广场1016号商铺, 省市: 江苏省, 扬州市
店名: 高邮吾悦广场, 地址: 高邮市高邮镇工业集中区海潮东路111号新城吾悦广场1047、2043号商铺, 省市: 江苏省, 扬州市
店名: 华润万象汇, 地址: 邗江区文昌中路606号扬州华润万象汇 L302号商铺, 省市: 江苏省, 扬州市
店名: 杭集红豆万花城, 地址: 杭集镇三笑大道和翟庄路交叉口东南角红豆万花城一层, 省市: 江苏省, 扬州市
