店名: 杭州庆丰, 地址: 教工路23号, 省市: 浙江省, 杭州市
店名: 富阳大润发, 地址: 孙权路209号, 省市: 浙江省, 杭州市
店名: 杭州复兴, 地址: 复兴路103号全季酒店一楼, 省市: 浙江省, 杭州市
店名: 余杭交通大厦, 地址: 余杭邱山大街477号, 省市: 浙江省, 杭州市
店名: 杭州运河广场, 地址: 金华路与衢州街交叉口运河广场地下一层(区政府对面), 省市: 浙江省, 杭州市
店名: 萧山泰富早餐7:00供应, 地址: 萧绍路和通惠路交叉口泰富广场一楼, 省市: 浙江省, 杭州市
店名: 杭州浦沿 , 地址: 浦沿镇浦沿路和滨文路交叉路口, 省市: 浙江省, 杭州市
店名: 香积寺路肯德基, 地址: 香积寺路17号TEL:85886212, 省市: 浙江省, 杭州市
店名: 杭州红石, 地址: 湖墅南路216-218号, 省市: 浙江省, 杭州市
店名: 新塘乐购, 地址: 新塘路29-31号, 省市: 浙江省, 杭州市
店名: 杭州阳光, 地址: 下沙区4号大街15-2新美商场一楼, 省市: 浙江省, 杭州市
店名: 杭州城站, 地址: 城站广场北二楼(自助售票处旁）, 省市: 浙江省, 杭州市
店名: 萧山机场, 地址: 萧山国际机场侯机楼一楼到达厅内, 省市: 浙江省, 杭州市
店名: 余杭莱蒙, 地址: 临平藕花洲大街303号莱蒙商业中心, 省市: 浙江省, 杭州市
店名: 杭州文三, 地址: 文三路478号华星时代广场C座一层, 省市: 浙江省, 杭州市
店名: 杭州万象, 地址: 体育场路430号, 省市: 浙江省, 杭州市
店名: 杭州九堡, 地址: 杭海路878路金海商城一层, 省市: 浙江省, 杭州市
店名: 萧山香江, 地址: 萧绍路香江大厦1-2楼, 省市: 浙江省, 杭州市
店名: 杭州秋涛, 地址: 秋涛北路248号华润超市1楼Tel 87114750, 省市: 浙江省, 杭州市
店名: 富阳龙山, 地址: 龙山路126号, 省市: 浙江省, 杭州市
店名: 萧山拱秀, 地址: 城厢镇拱秀路169号, 省市: 浙江省, 杭州市
店名: 杭州火车站, 地址: 城站广场南二楼进站口肯德基, 省市: 浙江省, 杭州市
店名: 瓜沥航民, 地址: 萧山区瓜沥镇东灵路34－36号, 省市: 浙江省, 杭州市
店名: 杭州钛合, 地址: 朝晖路168-4，钛合广场一楼, 省市: 浙江省, 杭州市
店名: 杭州福雷德, 地址: 经济技术开发区学林街99号福雷德广场, 省市: 浙江省, 杭州市
店名: 杭州转塘世纪联华餐厅, 地址: 西湖区转塘镇转塘江口大厦一楼, 省市: 浙江省, 杭州市
店名: 半山中联, 地址: 半山路中联百货一楼 Tel88176495, 省市: 浙江省, 杭州市
店名: 余杭禹航, 地址: 余杭镇禹航路908号, 省市: 浙江省, 杭州市
店名: 庆春银泰, 地址: 太平门直街银泰百货一楼, 省市: 浙江省, 杭州市
店名: 留下西溪, 地址: 留下大街107号, 省市: 浙江省, 杭州市
店名: 桐庐大润发, 地址: 桐君街道金堂山路128号大润发超一搂, 省市: 浙江省, 杭州市
店名: 杭州星光, 地址: 江南大道228号星光大道商业街一楼, 省市: 浙江省, 杭州市
店名: 古墩路印象城8:00供应早餐, 地址: 古墩路588号印象城二楼, 省市: 浙江省, 杭州市
店名: 建德大润发, 地址: 严州大道新安江街道毕家后, 省市: 浙江省, 杭州市
店名: 杭州湖滨, 地址: 东坡路8号（知味观边上）, 省市: 浙江省, 杭州市
店名: 丁桥物美, 地址: 丁桥镇紫丁香街新城广场一楼肯德基, 省市: 浙江省, 杭州市
店名: 西溪印象城SEL, 地址: 五常大道和天目山路交叉口，西溪印象城, 省市: 浙江省, 杭州市
店名: 杭州新解百, 地址: 解放路249号（国货路和浣纱路交叉口）, 省市: 浙江省, 杭州市
