店名: 黄河路, 地址: 黄河路与天台路交叉口天虹百货楼下肯德基餐厅, 省市: 湖南省, 株洲市
店名: 响石路, 地址: 响石广场, 省市: 湖南省, 株洲市
店名: 红旗, 地址: 红旗中路东都文化广场步步高百货一楼, 省市: 湖南省, 株洲市
店名: 中鸿, 地址: 车站路61号中鸿时尚新天地, 省市: 湖南省, 株洲市
店名: 金帝广场, 地址: 株洲车站路金帝广场2楼, 省市: 湖南省, 株洲市
店名: 株洲高铁出发层, 地址: 武广高铁西站株1-5商铺, 省市: 湖南省, 株洲市
店名: 瓷城, 地址: 都汇城嘉茂银座商业广场一楼肯德基餐厅, 省市: 湖南省, 株洲市
店名: 株洲月塘, 地址: 湖南新华路华润万家购物广场一楼肯德基餐厅, 省市: 湖南省, 株洲市
店名: DT株洲尚格, 地址: 湖南株洲大道尚格名城尚格DT肯德基餐厅, 省市: 湖南省, 株洲市
店名: 望云, 地址: 大巷路沃尔玛超市一层, 省市: 湖南省, 株洲市
店名: 珠江北路汽车穿梭餐厅, 地址: 栗雨工业园五十区珠江北路与株洲大道交界处栗雨湖商业项目-美的时代广场, 省市: 湖南省, 株洲市
店名: 株洲白云路, 地址: 红旗中路与白云路交汇处大润发超市一楼, 省市: 湖南省, 株洲市
店名: 交通路, 地址: 联星街道办事处（原县政府旧址）望云路与交通路交叉口东南角望云国际步步高广场一, 省市: 湖南省, 株洲市
店名: 泰山路, 地址: 泰山路南侧奥园广场商业一层, 省市: 湖南省, 株洲市
店名: 芦淞路, 地址: 芦淞路609号曼哈顿商业广场一层, 省市: 湖南省, 株洲市
店名: 天台路, 地址: 天台路80号汇金步步高肯德基（1009门面）, 省市: 湖南省, 株洲市
店名: 炎陵神农大道, 地址: 霞阳镇神农大道天杰商业城市广场一楼, 省市: 湖南省, 株洲市
