店名: 五华, 地址: 水寨镇华兴北路新华书店首二层, 省市: 广东省, 梅州市
店名: 梅江, 地址: 江南一路57号首层, 省市: 广东省, 梅州市
店名: 华侨城, 地址: 新城办事处宪梓大道梅州柏丽购物广场首层, 省市: 广东省, 梅州市
店名: 鸿都, 地址: 彬芳大道鸿都花园鸿都商城E1栋首层, 省市: 广东省, 梅州市
店名: 蕉岭府前, 地址: 蕉岭镇府前路府前综合楼R8幢13-14号铺1-3层, 省市: 广东省, 梅州市
店名: 梅州兴田餐厅, 地址: 兴田一路388-422号（原易发场）首层, 省市: 广东省, 梅州市
店名: 梅州万达, 地址: 金燕大道与五横街交汇处南万达广场【1002B-1003A】号商铺, 省市: 广东省, 梅州市
店名: 梅州客家新世界, 地址: 府前大道侧客家新世界GJ-02栋11、12号铺首层和二层, 省市: 广东省, 梅州市
店名: 客天下移动餐车, 地址: 梅江区客天下旅游产业园瀑布旁（近客天下营销中心）, 省市: 广东省, 梅州市
店名: 梅州客天下, 地址: 三角镇东升村客天下旅游产业园国际旅游文化街区一期8号首层, 省市: 广东省, 梅州市
店名: 梅州丰顺, 地址: 东山路金大温泉酒店, 省市: 广东省, 梅州市
