店名: 钟家村, 地址: 汉阳大道139号汉商商场1楼, 省市: 湖北省, 武汉市
店名: 维新, 地址: 解放路407号大成路维新一层肯德基, 省市: 湖北省, 武汉市
店名: 汉街, 地址: 万达汉街商业中心, 省市: 湖北省, 武汉市
店名: 鲁巷广场, 地址: 珞瑜路726号鲁巷购物广场1F（华美达大酒店旁）, 省市: 湖北省, 武汉市
店名: 阅马场, 地址: 首义小区45栋1层1号, 省市: 湖北省, 武汉市
店名: 民意, 地址: 硚口区六角亭街道中山大道285号美奇国际广场一楼, 省市: 湖北省, 武汉市
店名: 花桥, 地址: 花桥一村15号一、二层(育才二小旁）, 省市: 湖北省, 武汉市
店名: 循礼门, 地址: 江汉路257号, 省市: 湖北省, 武汉市
店名: 中北路, 地址: 中北路1号家乐福超市, 省市: 湖北省, 武汉市
店名: 武汉徐东, 地址: 徐东大街18号销品茂一层, 省市: 湖北省, 武汉市
店名: 钢都花园, 地址: 青山区园林路中百仓储购物广场一楼（123街坊50栋1层）, 省市: 湖北省, 武汉市
店名: 广埠屯, 地址: 珞瑜路312号, 省市: 湖北省, 武汉市
店名: 王府, 地址: 三眼桥路26号(家乐福一楼）, 省市: 湖北省, 武汉市
店名: 剑桥, 地址: 珞瑜路叶麻店剑桥春天B栋一层, 省市: 湖北省, 武汉市
店名: 汉口火车站一（东侧财神广场）, 地址: 汉口火车站东侧金敦街15附17财神广场一层, 省市: 湖北省, 武汉市
店名: 沙湖, 地址: 中山路螃蟹岬379号一层, 省市: 湖北省, 武汉市
店名: 五支沟, 地址: 吴家山中心广场对面(中商平价旁边）, 省市: 湖北省, 武汉市
店名: 光谷, 地址: 珞瑜路456号武汉光谷国际商会大厦1-2层, 省市: 湖北省, 武汉市
店名: 江夏中百, 地址: 兴新街与复江道交汇处昌兴供销有限公司地下一层, 省市: 湖北省, 武汉市
店名: 新佳丽, 地址: 中山大道818号新佳丽购物广场, 省市: 湖北省, 武汉市
店名: 二七路, 地址: 江岸区二七路东部购物公园-C4栋的1楼, 省市: 湖北省, 武汉市
店名: 音乐学院, 地址: 武昌区黄鹤楼街道解放路257号司隆百货一楼肯德基, 省市: 湖北省, 武汉市
店名: 狮城, 地址: 珞狮路449号一层, 省市: 湖北省, 武汉市
店名: 新武昌火车站, 地址: 武昌火车站架空层, 省市: 湖北省, 武汉市
店名: 民航新村, 地址: 常青路168号中百仓储一楼, 省市: 湖北省, 武汉市
店名: 美美, 地址: 珞瑜路6号街道口乐天城一二层, 省市: 湖北省, 武汉市
店名: 武大, 地址: 珞珈山路19号武汉大学正门对面中商平价一楼, 省市: 湖北省, 武汉市
店名: 武展, 地址: 解放大道696号武汉国际会展中心负一楼西下沉式广场, 省市: 湖北省, 武汉市
店名: 新世界徐东, 地址: 徐东路7号凯旋门广场新世界百货1F, 省市: 湖北省, 武汉市
店名: 常青花园, 地址: 常青花园小区花园中路1-3号商业楼武商量贩一层, 省市: 湖北省, 武汉市
店名: 摩尔城沃尔玛, 地址: 龙阳大道特6号, 省市: 湖北省, 武汉市
店名: 光谷国际, 地址: 东湖开发区珞瑜路889号光谷国际广场, 省市: 湖北省, 武汉市
店名: 汉口火车站二（西侧到达口）, 地址: 汉口火车站广场西侧温州包装城一楼肯德基, 省市: 湖北省, 武汉市
店名: 黄陂广场, 地址: 黄陂大道387号黄陂广场一楼, 省市: 湖北省, 武汉市
店名: 菱角湖, 地址: 唐家墩路5号菱角湖万达广场一楼, 省市: 湖北省, 武汉市
店名: 光谷天地, 地址: 关山大道519号以东光谷天地1F（关山大道和南湖南路交汇处）, 省市: 湖北省, 武汉市
店名: 后湖, 地址: 后湖大道特8号新生活摩尔城, 省市: 湖北省, 武汉市
店名: 太子湖, 地址: 经济开发区经开万达商业广场, 省市: 湖北省, 武汉市
店名: 世界城, 地址: 步行街南路17号（光谷世界城西班牙风情街A座）, 省市: 湖北省, 武汉市
店名: 汉口火车站3(候车室餐厅）, 地址: 汉口火车站2楼候车厅餐饮区第2标段, 省市: 湖北省, 武汉市
店名: 吉庆街, 地址: 江汉二路181号1-2层, 省市: 湖北省, 武汉市
店名: 盘龙奥莱, 地址: 盘龙大道51号百联奥特莱斯广场18号楼一层186号商铺, 省市: 湖北省, 武汉市
店名: 武汉站, 地址: 武汉火车站东出站口, 省市: 湖北省, 武汉市
店名: 宜佳广场, 地址: 江夏区纸坊街兴新街219号, 省市: 湖北省, 武汉市
店名: 杨汊湖, 地址: 杨汊湖姑嫂树路12号南国北都广场一楼, 省市: 湖北省, 武汉市
店名: 波波城, 地址: 雄楚大道卓刀泉南路交汇处“华瑞大厦”一楼, 省市: 湖北省, 武汉市
店名: 新中南, 地址: 中南路11号省外文书店一楼, 省市: 湖北省, 武汉市
店名: 凯德广场, 地址: 武胜路凯德广场负一层, 省市: 湖北省, 武汉市
店名: 百步亭, 地址: 百步亭花园路14号1-A栋2号、3号商铺, 省市: 湖北省, 武汉市
店名: 汤逊湖, 地址: 江夏大道梅南山居一层中商平价旁肯德基, 省市: 湖北省, 武汉市
店名: 京汉大道DT, 地址: 京汉大道与前进五路交汇处1楼, 省市: 湖北省, 武汉市
店名: 关山大道, 地址: 关山大道哈乐城1F, 省市: 湖北省, 武汉市
店名: 奥山, 地址: 青山区和平大道奥山世纪城1层, 省市: 湖北省, 武汉市
店名: 汉口城市广场, 地址: 后湖街建设大道延长线与幸福大道交汇处汉口城市广场C区, 省市: 湖北省, 武汉市
店名: 泛海城市广场, 地址: 泛海城市广场一期一层 云杉路199号, 省市: 湖北省, 武汉市
店名: 武商摩尔城, 地址: 滑坡路武商摩尔城附一层, 省市: 湖北省, 武汉市
店名: 佰港城, 地址: 洪山区南湖文治街30号维佳佰港城1-002A一楼肯德基, 省市: 湖北省, 武汉市
店名: 金银潭, 地址: 金银潭大道永旺梦乐城, 省市: 湖北省, 武汉市
店名: 蔡甸世纪广场DT, 地址: 蔡甸区街中核世纪广场穿梭餐厅, 省市: 湖北省, 武汉市
店名: 东湖, 地址: 行呤阁, 省市: 湖北省, 武汉市
店名: 长宜路, 地址: 竹叶海英特宜家荟聚购物中心三楼, 省市: 湖北省, 武汉市
店名: 玲珑汇餐厅, 地址: 青山区友谊大道建二南路口玲珑旭酒店一楼肯德基口, 省市: 湖北省, 武汉市
店名: 汉口站银墩路, 地址: 银墩路欧亚达国际广场一楼肯德基餐厅, 省市: 湖北省, 武汉市
店名: 齐安大道, 地址: 区衡州大道与齐安大道交汇处摩尔城一二层, 省市: 湖北省, 武汉市
店名: 东吴大道, 地址: 吴家山街东吴大道1116号海林广场一楼肯德基, 省市: 湖北省, 武汉市
店名: 硚口路, 地址: 中山大道特1号越秀星汇云锦购物中心一楼, 省市: 湖北省, 武汉市
店名: 海天餐厅, 地址: 龙阳大道582号海天欢乐购1-2层, 省市: 湖北省, 武汉市
店名: 儿童医院, 地址: 香港路153号8栋1-2层(儿童医院门诊部对面）, 省市: 湖北省, 武汉市
店名: 钟家村甜品站, 地址: 轨道交通4号线二期钟家村站编号ZJC02, 省市: 湖北省, 武汉市
店名: 中山公园甜品站, 地址: 轨道交通2号线一期中山公园站编号ZS10号, 省市: 湖北省, 武汉市
店名: 六零六, 地址: 武昌和平大道750号赵家墩绿地金融国际606一层, 省市: 湖北省, 武汉市
店名: 杨园南路, 地址: 杨园南路与欢乐大道交汇处骏业财富中心肯德基, 省市: 湖北省, 武汉市
店名: 新华路, 地址: 新华路于长江日报路交汇处CFD时代财富中心项目一层, 省市: 湖北省, 武汉市
店名: 融侨锦城餐厅, 地址: 解放大道66号融侨锦城25、26栋商铺1层1、2、3、10、11、12室，2层1、2、12室, 省市: 湖北省, 武汉市
店名: 水果湖餐厅, 地址: 水果湖路19号及21号, 省市: 湖北省, 武汉市
店名: 武汉火车站二, 地址: 武汉火车站西站广场, 省市: 湖北省, 武汉市
店名: 楚风园, 地址: 洪山区东湖开发区东湖绿道楚风园驿站, 省市: 湖北省, 武汉市
店名: 磨山, 地址: 武昌区东湖开发区东湖绿道磨山南驿站一层, 省市: 湖北省, 武汉市
店名: 文化大道, 地址: 珞狮南路延长线文化大道3号万汇MALL一层, 省市: 湖北省, 武汉市
店名: T3到达, 地址: 武汉天河机场3号航站楼到达层A出口, 省市: 湖北省, 武汉市
店名: T3出发, 地址: 武汉天河机场3号航站楼出发层（禁区内）, 省市: 湖北省, 武汉市
店名: 虎泉街, 地址: 雄楚大道与虎泉街交汇处五环天地一层, 省市: 湖北省, 武汉市
店名: 中山广场, 地址: 解放大道557号一层102室, 省市: 湖北省, 武汉市
店名: 人信汇, 地址: 龙阳大道58号汉阳人信汇B栋, 省市: 湖北省, 武汉市
店名: 天纵城, 地址: 盘龙城经济开发区汉口北大道以南、岱黄公路以西天纵城一层, 省市: 湖北省, 武汉市
店名: 金融港, 地址: 江夏区东湖新技术开发区光谷大道77号金融港后台服务中心, 省市: 湖北省, 武汉市
店名: 王家湾地铁外卖口, 地址: 轨道交通4号线一期王家湾站编号WJW4-06房产, 省市: 湖北省, 武汉市
店名: 太子湖独立甜品站, 地址: 市辖区经济技术开发区东风大道111号经开万达广场, 省市: 湖北省, 武汉市
