店名: 济南新泉城, 地址: 历下区泉城路185号新华书店一层二层, 省市: 山东省, 济南市
店名: 济南遥墙机场, 地址: 济南国际机场停车场长途车站收费口北侧独栋小楼的房产机场1楼, 省市: 山东省, 济南市
店名: 北园大街餐厅, 地址: 北园大街225号红星美凯龙一层, 省市: 山东省, 济南市
店名: 洪楼, 地址: 历城区花园路99号1F, 省市: 山东省, 济南市
店名: 文东, 地址: 文化西路1号, 省市: 山东省, 济南市
店名: 长途站, 地址: 济泺路131号一层, 省市: 山东省, 济南市
店名: 北园, 地址: 北园大街483号北园银座购物广场一层, 省市: 山东省, 济南市
店名: 济南火车站一, 地址: 车站街16号天龙大厦地上一层/地下一层, 省市: 山东省, 济南市
店名: 海蔚, 地址: 花园路101号, 省市: 山东省, 济南市
店名: 体育馆, 地址: 经十路124号1层, 省市: 山东省, 济南市
店名: 会展, 地址: 舜耕路28号, 省市: 山东省, 济南市
店名: 华信, 地址: 花园路78号华信购物广场, 省市: 山东省, 济南市
店名: 汇泉, 地址: 汇泉路53号一层, 省市: 山东省, 济南市
店名: 晶都, 地址: 市中区顺河东街银座晶都国际大厦1号楼一层, 省市: 山东省, 济南市
店名: 窑头路燕山银座, 地址: 窑头路银座购物广场一楼, 省市: 山东省, 济南市
店名: 槐苑, 地址: 经十路431号一层、二层。, 省市: 山东省, 济南市
店名: 双山, 地址: 双山大街鲁宏大道交界口明珠时代广场一、二层, 省市: 山东省, 济南市
店名: 王舍人, 地址: 工业北路王舍人镇十字路口东南角一层。, 省市: 山东省, 济南市
店名: 华龙, 地址: 华龙路1825号嘉恒商务大厦裙楼一楼, 省市: 山东省, 济南市
店名: 车站街, 地址: 济南火车站车站街161号济南经营集团西办公楼东附楼一楼中段, 省市: 山东省, 济南市
店名: 济泺路, 地址: 济泺路87-1号太阳城一、二层, 省市: 山东省, 济南市
店名: 经四路, 地址: 济南纬一路以东经二路以南面向经四路的魏家庄万达商业广场东侧二层、三层。, 省市: 山东省, 济南市
店名: 解放路, 地址: 中心医院隔壁  （解放路105号）, 省市: 山东省, 济南市
店名: 济西精选, 地址: 济南西站JNX-CY-02, 省市: 山东省, 济南市
店名: 工业南路, 地址: 工业南路济南国际会展中心西侧中铁会展广场, 省市: 山东省, 济南市
店名: 洪山路（银座花园）, 地址: 洪山路与旅游路交界口银座购物广场花园店一层, 省市: 山东省, 济南市
店名: 银荷, 地址: 高新区齐鲁软件园西北、新大街以南、崇华路以东银荷大厦E座一层, 省市: 山东省, 济南市
店名: 荣祥, 地址: 济兖路165号一层, 省市: 山东省, 济南市
店名: 银隆, 地址: 经十路22799号银座中心经十路一侧步行街入口处F1层126B商铺与F2层221商铺, 省市: 山东省, 济南市
店名: 济南西客站, 地址: 济南西站JNX-CY-10, 省市: 山东省, 济南市
店名: 经十路, 地址: 经十路15785号, 省市: 山东省, 济南市
店名: 经十西, 地址: 经十路、经七路交叉口西南侧地号为：031008031中石化济南石油分公司第88加油站, 省市: 山东省, 济南市
店名: 英雄山餐厅, 地址: 英雄山路161-163号, 省市: 山东省, 济南市
店名: 阳光新路餐厅, 地址: 刘长山和阳光新路交接处, 省市: 山东省, 济南市
店名: 山水餐厅, 地址: 二七新村南路9号, 省市: 山东省, 济南市
店名: 堤口餐厅, 地址: 堤口路80号1层, 省市: 山东省, 济南市
店名: 火车站站内, 地址: 济南站美食城CY-02号场地, 省市: 山东省, 济南市
店名: 大观园餐厅, 地址: 纬二路39号一层、二层, 省市: 山东省, 济南市
店名: 山大路, 地址: 历城区山大路124号一层（百脑汇一层）, 省市: 山东省, 济南市
店名: 山泉路, 地址: 山泉路以南、原粮食局以西维华商业广场一层的房产, 省市: 山东省, 济南市
店名: 济微路, 地址: 济微路92号一层的房产, 省市: 山东省, 济南市
店名: 省博, 地址: 经十路11899号负一层的房产, 省市: 山东省, 济南市
店名: 高新万达, 地址: 高新区贤文片区工业南路以北，颖秀路西侧的万达广场的2028号商铺, 省市: 山东省, 济南市
店名: 榆山路, 地址: 榆山路以西、黄河路以东、翠屏街以北茂昌银座新天地一期东部综合体101号商铺一层、102号商铺一层的房产, 省市: 山东省, 济南市
店名: 新八一餐厅, 地址: 经十一路49路济南银座商城八一店B馆一、二层, 省市: 山东省, 济南市
店名: 玉函路餐厅, 地址: 经十路与玉函路交叉口玉函银座地下一层, 省市: 山东省, 济南市
店名: 正安路, 地址: 正安路以东，富阳路以北济南华百电影文化广场一层的房产, 省市: 山东省, 济南市
店名: 济南餐车餐厅, 地址: 泉城广场, 省市: 山东省, 济南市
店名: 汉峪金谷, 地址: 高新经十东路以南舜华路以东汉峪金谷悦里A2区B1层, 省市: 山东省, 济南市
店名: 玉泉餐厅, 地址: 泺源大街68号, 省市: 山东省, 济南市
店名: 济南星艺佳生活广场餐厅, 地址: 清河路以北历黄路东侧星艺佳生活广场一层, 省市: 山东省, 济南市
店名: 万虹, 地址: 历城区工业北路南侧，开源路东侧万虹广场一层，店铺号为1F091-1C, 省市: 山东省, 济南市
店名: 首创奥莱, 地址: 历城区唐冶片区唐冶东路西侧世纪大道北侧首创奥莱F1, 省市: 山东省, 济南市
店名: 港西路餐厅, 地址: 高新区港兴三路北段未来创业广场A116号, 省市: 山东省, 济南市
店名: 济南东站, 地址: 坝王路高铁济南东站JND-CY-06号场地, 省市: 山东省, 济南市
店名: 泉城公园, 地址: 区经十路18762号泉城公园映日湖北岸, 省市: 山东省, 济南市
店名: 东部百联, 地址: 高新东区孙村片区春晖路6777号A150商铺, 省市: 山东省, 济南市
店名: 长清大学城, 地址: 紫薇路2567号西城泉盈酒店一层, 省市: 山东省, 济南市
店名: 济南印象城肯德基, 地址: 历城区花园路136号济南印象城三楼338号, 省市: 山东省, 济南市
店名: 济南万象城, 地址: 经十路11111号华润万象城第3层第L367号房屋, 省市: 山东省, 济南市
店名: 大明湖铁公祠, 地址: 大明湖271号济南天下第一泉风景区管理中心大明湖园区铁公祠东房屋1号, 省市: 山东省, 济南市
店名: 济南机场外卖点, 地址: 机场路1号济南遥强国际机场到达区一层, 省市: 山东省, 济南市
店名: 红尚坊, 地址: 泉城路将军庙街山东国际时尚创意中心省府前街东侧染坊巷8号楼, 省市: 山东省, 济南市
店名: 印象济南, 地址: 青岛路2668号印象济南泉世界一层, 省市: 山东省, 济南市
店名: 万象城F2甜品站, 地址: 经十路11111号华润中心万象城2层第252号房屋, 省市: 山东省, 济南市
店名: 东明石化DT, 地址: 二环北路6785号东明石化加油站商业用房一层、二层, 省市: 山东省, 济南市
店名: 县西巷, 地址: 县西巷5号, 省市: 山东省, 济南市
店名: 宽厚里, 地址: 泉城路26号济南世茂广场一层E135-136铺位, 省市: 山东省, 济南市
