店名: 兖州贵和, 地址: 兖州市建设东路399号华勤紫金广场一层的房产, 省市: 山东省, 济宁市
店名: 嘉祥银座餐厅, 地址: 呈祥路与演武路交汇处西南角嘉祥银座一层、二层, 省市: 山东省, 济宁市
店名: 太白, 地址: 太白中路26号西银座一楼, 省市: 山东省, 济宁市
店名: 太平, 地址: 太平西路1288号一层, 省市: 山东省, 济宁市
店名: 琵琶山路, 地址: 任城区太白东路36号东银座一层肯德基餐厅, 省市: 山东省, 济宁市
店名: 运河城, 地址: 太白路与共青团路东北角运河城商业摩尔一层。, 省市: 山东省, 济宁市
店名: 邹城贵和, 地址: 太平西路749号一层, 省市: 山东省, 济宁市
店名: 曲阜高铁站, 地址: 曲阜市孔子大道 曲阜东站候车厅内北区二楼肯德基餐厅, 省市: 山东省, 济宁市
店名: 金宇路, 地址: 高新区金宇路与琵琶山北路交汇处西北角济宁永旺购物中心主入口北侧, 省市: 山东省, 济宁市
店名: 中都, 地址: 中都大街北段路东、圣泽大街东段路北(原方圆大世界商城)现汶上联民商场一层、二层, 省市: 山东省, 济宁市
店名: 奎星路, 地址: 奎星路与文峰路交汇处西南角现诚信购物中心一层, 省市: 山东省, 济宁市
店名: 济宁万达, 地址: 济宁万达广场内的二层2001号和二层2002号商铺, 省市: 山东省, 济宁市
店名: 弘道路, 地址: 弘道路6号曲阜百意购物中心一层的房产, 省市: 山东省, 济宁市
店名: 环城西路, 地址: 永丰街南、南北街东太白商业广场一层的房产, 省市: 山东省, 济宁市
店名: 万家乐餐厅, 地址: 凫山南路678号, 省市: 山东省, 济宁市
店名: 五福广场, 地址: 静轩路与五福路交汇处五福广场2#商业一层的房产, 省市: 山东省, 济宁市
店名: 建设北路, 地址: 吴泰闸路和建设北路交叉口领秀城市广场一层的房产, 省市: 山东省, 济宁市
店名: 金乡贵和, 地址: 中心街南侧、清真街西侧贵和购物广场一层的房产, 省市: 山东省, 济宁市
店名: 龙城广场, 地址: 公明大道正信楼一层, 省市: 山东省, 济宁市
店名: 新龙行, 地址: 龙行路龙城购物广场1层, 省市: 山东省, 济宁市
店名: 邹城悦邻中心, 地址: 尚兰路177号悦邻中心一层, 省市: 山东省, 济宁市
店名: 运河城尚东街甜品站, 地址: 太白路与共青团路东北角运河城商业摩尔一层, 省市: 山东省, 济宁市
店名: 中御桥路, 地址: 中御桥北路300号一层, 省市: 山东省, 济宁市
店名: 微山银座, 地址: 建设路北侧、镇中街东侧微山银座商城一层, 省市: 山东省, 济宁市
店名: 曲阜东二, 地址: 曲阜东站鲁南场北区二楼肯德基, 省市: 山东省, 济宁市
店名: 津多里, 地址: 五里营路19号一层, 省市: 山东省, 济宁市
