店名: 金色家园, 地址: 莲花路2018号金色家园三期裙楼首层, 省市: 广东省, 深圳市
店名: 梅华, 地址: 梅华路103号光荣大厦一楼, 省市: 广东省, 深圳市
店名: 世界之窗, 地址: 世界之窗前广场西侧一、二楼, 省市: 广东省, 深圳市
店名: 湾畔, 地址: 南山区白石州沙河街湾畔花园一二楼, 省市: 广东省, 深圳市
店名: 大梅沙, 地址: 盐梅路北大梅沙海景酒店三号楼首层, 省市: 广东省, 深圳市
店名: 翡翠, 地址: 翠竹路1052号翡翠星空一楼, 省市: 广东省, 深圳市
店名: 前进, 地址: 前进路宝城10区新安街道办泰华商业城首层, 省市: 广东省, 深圳市
店名: 天安, 地址: 泰然四路天安数码城创业园B座首层, 省市: 广东省, 深圳市
店名: 华强, 地址: 华强北路深纺大厦女人名店2楼, 省市: 广东省, 深圳市
店名: 东龙, 地址: 人民北路风貌街东龙商楼二层, 省市: 广东省, 深圳市
店名: 坪地, 地址: 坪地坪洲百货大厦1层, 省市: 广东省, 深圳市
店名: 创新, 地址: 沙井镇中心路创新路口沙井天虹商场首层, 省市: 广东省, 深圳市
店名: 百仕达, 地址: 泰宁路百仕达东群楼二楼东侧, 省市: 广东省, 深圳市
店名: 中兴, 地址: 布吉街道中兴路中心大道路口布吉天虹商场1层, 省市: 广东省, 深圳市
店名: 黄金台, 地址: 新安街道前进路黄金台商业大厦1楼, 省市: 广东省, 深圳市
店名: 金田, 地址: 金田路福民佳园1楼, 省市: 广东省, 深圳市
店名: 观澜, 地址: 观澜大道吉盛酒店民乐福购物广场首层, 省市: 广东省, 深圳市
店名: 宝利豪庭, 地址: 松岗宝利豪庭首层松岗天虹大门右侧, 省市: 广东省, 深圳市
店名: 西丽, 地址: 西丽街道沙河西路与留仙大道交汇处西丽商业文化中心一层, 省市: 广东省, 深圳市
店名: 万科城, 地址: 布吉镇坂雪岗工业区坂雪岗大道万科城C区2号101号商铺1-2层, 省市: 广东省, 深圳市
店名: 高新区, 地址: 南山区高新区南区综合服务楼1楼餐厅东北角, 省市: 广东省, 深圳市
店名: 海上世界, 地址: 蛇口太子路海滨花园商业中心1栋1.2楼, 省市: 广东省, 深圳市
店名: 吉祥, 地址: 中心城愉园新苑1层A016-A019商铺, 省市: 广东省, 深圳市
店名: 花好园, 地址: 下沙村东涌路花好园岁宝百货首层肯德基, 省市: 广东省, 深圳市
店名: 大芬, 地址: 布吉街道办中翠路桂芳园6期会所1楼, 省市: 广东省, 深圳市
店名: 香缤广场, 地址: 新安街道建安路香缤广场家乐福一楼, 省市: 广东省, 深圳市
店名: 港隆城, 地址: 西乡街道80区港隆城购物中心临宝民路1-2层, 省市: 广东省, 深圳市
店名: 桃源居, 地址: 西乡前进二路世外桃源28栋裙楼首层, 省市: 广东省, 深圳市
店名: 盐田, 地址: 东海大道金港盛世一、二楼, 省市: 广东省, 深圳市
店名: 麒麟, 地址: 艺园路东缤纷年华小区裙楼一层, 省市: 广东省, 深圳市
店名: 东方城, 地址: 西乡圣淘沙.骏园11号楼东方城购物广场首层, 省市: 广东省, 深圳市
店名: 如意肯德基, 地址: 石岩街道河滨南路佳华豪苑1楼, 省市: 广东省, 深圳市
店名: 格澜郡, 地址: 格澜郡.（观澜天虹）肯德基, 省市: 广东省, 深圳市
店名: 茶溪谷, 地址: 三洲田东部华侨城茶溪谷花街入口处, 省市: 广东省, 深圳市
店名: 保利, 地址: 南山商业文化中心区保利文化广场, 省市: 广东省, 深圳市
店名: 和平大润发, 地址: 龙华街道和平东路大润发购物广场首层, 省市: 广东省, 深圳市
店名: 侨香, 地址: 侨香路与农林路交汇处深国投广场负1楼, 省市: 广东省, 深圳市
店名: 民治, 地址: 民治街道民治大道路与民丰路交汇处横岭工业区B栋1065号天虹商场首层, 省市: 广东省, 深圳市
店名: 雍景城, 地址: 公明街道民生路大道71号民联购物广场首层A区, 省市: 广东省, 深圳市
店名: 南岭, 地址: 南湾街道南岭村万家乐百货一楼, 省市: 广东省, 深圳市
店名: 葵涌, 地址: 葵涌葵民路2号三溪社区中新居民小组综合楼乐兴百货一楼, 省市: 广东省, 深圳市
店名: 新湖, 地址: 新湖路与罗田路交汇处泰华君逸世家地上一层及地上二层, 省市: 广东省, 深圳市
店名: 吉华, 地址: 布吉坂田村吉华路坂田商业广场二楼, 省市: 广东省, 深圳市
店名: 白金假日, 地址: 西乡街道海城路白金假日商业广场人人乐首层, 省市: 广东省, 深圳市
店名: 龙平, 地址: 龙平东路女人天下商业广场一层（双龙地铁站附近）, 省市: 广东省, 深圳市
店名: 锦花, 地址: 西乡街道锦花路人人乐超市首层, 省市: 广东省, 深圳市
店名: 龙城----东方明珠城一楼, 地址: 东方明珠城（茶都）1楼华润万家（原乐购）首层, 省市: 广东省, 深圳市
店名: 欧洲城, 地址: 沙河东路255号3栋百安居首层, 省市: 广东省, 深圳市
店名: 益田假日, 地址: 益田假日广场(世界之窗对面)B1-27A铺位, 省市: 广东省, 深圳市
店名: 御景东方, 地址: 深圳湾二路与白石路交汇处御景东方裙楼123L1-04号, 省市: 广东省, 深圳市
店名: 大侠谷, 地址: 大梅沙东部华侨城大侠谷索道下异型台, 省市: 广东省, 深圳市
店名: 天福, 地址: 福永街道办福永义乌商贸城首层, 省市: 广东省, 深圳市
店名: 大鹏, 地址: 大鹏镇迎宾北路18号千禧大厦1－2楼, 省市: 广东省, 深圳市
店名: 华海, 地址: 福华路华海大厦一楼, 省市: 广东省, 深圳市
