店名: 黄山, 地址: 黛溪三路138号圣豪时尚广场一楼, 省市: 山东省, 滨州市
店名: 渤海, 地址: 黄河七路以南，渤海十七路以东，被称为“新都心世贸广场”项目一层, 省市: 山东省, 滨州市
店名: 博城, 地址: 博城五路367号银座商城一层, 省市: 山东省, 滨州市
店名: 滨州大润发, 地址: 黄河六路与渤海七路交叉口东角被称为“滨州大润发超市”地块上部分一层, 省市: 山东省, 滨州市
店名: 圣豪, 地址: 南门大街213号（南门大街东侧、故园南路南侧）房屋一层二层, 省市: 山东省, 滨州市
店名: 棣新餐厅(无棣), 地址: 棣新一路27号圣豪百货部分一层、二层, 省市: 山东省, 滨州市
店名: 滨州万达, 地址: 黄河十二路以南渤海十一路以西的万达广场内1039-1050号商铺, 省市: 山东省, 滨州市
店名: 乐安大街, 地址: 博城一路与乐安大街交汇处西北天元购物广场一层乐安大街肯德基, 省市: 山东省, 滨州市
店名: 开发区会仙路, 地址: 会仙一路西首圣豪超市一层, 省市: 山东省, 滨州市
店名: 渤海十路（银座黄河）, 地址: 渤海十路餐厅（渤海十路719号银座黄河店1号楼一层东北角）, 省市: 山东省, 滨州市
店名: 邹平站, 地址: 济青高铁邹平站二层ZP-CY-01, 省市: 山东省, 滨州市
