店名: 建湖秀夫, 地址: 建湖县向阳路与秀夫路东南侧, 省市: 江苏省, 盐城市
店名: 大丰幸福, 地址: 大丰区大润发超市一楼, 省市: 江苏省, 盐城市
店名: 东台红兰, 地址: 盐城东台市红兰中路3号大润发一楼, 省市: 江苏省, 盐城市
店名: 盐城建中, 地址: 建军路59号苏宁电器一楼, 省市: 江苏省, 盐城市
店名: 盐城迎宾路, 地址: 亭湖区迎宾路宝龙广场一层, 省市: 江苏省, 盐城市
店名: 盐城先锋, 地址: 亭湖区建军西路与小海路交界处先锋国际广场商业中心大润发超市1层, 省市: 江苏省, 盐城市
店名: 射阳人民路, 地址: 射阳县人民路12号文峰超市一层, 省市: 江苏省, 盐城市
店名: 黄海路, 地址: 响水县黄海路与滨江路交界127号, 省市: 江苏省, 盐城市
店名: 盐城解放润发, 地址: 盐都区解放南路239号大润发超市一楼肯德基, 省市: 江苏省, 盐城市
店名: 盐城汽车站, 地址: 青年东路22号五星客运站内, 省市: 江苏省, 盐城市
店名: 盐阜（新华书旁）, 地址: 建军中路109号, 省市: 江苏省, 盐城市
店名: 东台, 地址: 东台海陵南路2号国贸大厦1楼肯德基餐厅, 省市: 江苏省, 盐城市
店名: 大丰, 地址: 大丰区健康东路39号一层, 省市: 江苏省, 盐城市
店名: 建湖, 地址: 建湖县人民中路188号, 省市: 江苏省, 盐城市
店名: 盐城时代, 地址: 建军中路59号(中茵海华广场), 省市: 江苏省, 盐城市
店名: 射阳, 地址: 射阳县振阳街1-9号, 省市: 江苏省, 盐城市
店名: 阜宁, 地址: 阜宁县阜城大街49号, 省市: 江苏省, 盐城市
店名: 旺角, 地址: 解放南路80号, 省市: 江苏省, 盐城市
店名: 滨海, 地址: 滨海县阜东中路198号, 省市: 江苏省, 盐城市
店名: 盐城庆百, 地址: 解放南路128号, 省市: 江苏省, 盐城市
店名: 射阳恒隆, 地址: 射阳县红旗路42号恒隆广场大润发超市一楼, 省市: 江苏省, 盐城市
店名: 射阳龙翔, 地址: 射阳县解放路与朝阳路交叉处苏果超市一楼, 省市: 江苏省, 盐城市
店名: 盐城中南, 地址: 城南新区解放路与海洋路交汇处东北角, 省市: 江苏省, 盐城市
店名: 阜宁益林, 地址: 阜宁益林人民路叶波大润发超市一层, 省市: 江苏省, 盐城市
店名: 盐城义乌城, 地址: 开放大道313号, 省市: 江苏省, 盐城市
店名: 滨海润发, 地址: 滨海县人民路99号大润发超市一层, 省市: 江苏省, 盐城市
店名: 东台德润, 地址: 东台市海陵北路9号101室、102室德润购物广场1层107商铺, 省市: 江苏省, 盐城市
店名: 荷兰花海, 地址: 新丰镇西环路（新丰商务大厦西北侧）, 省市: 江苏省, 盐城市
店名: 盐城新纪元, 地址: （黄海路北、开放大道西）开放大道北路103号新纪元广场6#1002室、1003室, 省市: 江苏省, 盐城市
店名: 中交美庐, 地址: 大丰市黄海西路南侧美庐城13号楼一层, 省市: 江苏省, 盐城市
店名: 盐城万达(万达广场2号门南）, 地址: 西环路88号万达广场, 省市: 江苏省, 盐城市
店名: 建湖万彩, 地址: 兴建东路800号万彩国际购物中心1楼1F06, 省市: 江苏省, 盐城市
店名: 荷兰花海外卖点, 地址: 大丰市荷兰花海景区花房内, 省市: 江苏省, 盐城市
店名: 盐城峰尚, 地址: 建军东路与机场路交界处峰尚生活广场5号楼, 省市: 江苏省, 盐城市
店名: 盐城中南甜品站, 地址: 盐都区中南城购物中心四楼铺位号L4001-1肯德基甜品站, 省市: 江苏省, 盐城市
店名: 滨海港城, 地址: 滨海县港城路99号欧堡利亚商业广场A一层102室103室, 省市: 江苏省, 盐城市
店名: 盐城吾悦广场, 地址: 市辖区海洋路216号新城吾悦广场1019-2、1020号商铺, 省市: 江苏省, 盐城市
店名: 新龙广场, 地址: 市辖区盐都区城南新区新都街道办事处东进村盐城新龙广场10号楼一楼10-105, 省市: 江苏省, 盐城市
店名: 阜宁书香大厦, 地址: 阜城镇阜城大街18号书香大厦一层, 省市: 江苏省, 盐城市
店名: 东台悦来城, 地址: 东城大道8号东台城购物公园1幢悦来城一层101室、二层201室, 省市: 江苏省, 盐城市
