店名: 丽华, 地址: 中山西路87号, 省市: 河北省, 石家庄市
店名: 中山, 地址: 北国商城对面燕春饭店一层底商, 省市: 河北省, 石家庄市
店名: 八一, 地址: 中山西路141号新百广场对过世纪大饭店底商, 省市: 河北省, 石家庄市
店名: 友谊餐厅, 地址: 益友百货一层肯德基友谊餐厅（裕华路与友谊大街交叉口666号益友百货一层）, 省市: 河北省, 石家庄市
店名: 柏林, 地址: 石家庄新华区中华北大街和联盟路交叉口西北角金柏林商城一层, 省市: 河北省, 石家庄市
店名: 新世隆, 地址: 建设南大街117号号新世隆超市一楼肯德基, 省市: 河北省, 石家庄市
店名: 翟营, 地址: 翟营北大街与北宋路交叉口西南角北国超市底商, 省市: 河北省, 石家庄市
店名: 束鹿, 地址: 泰和商业大楼一，二层, 省市: 河北省, 石家庄市
店名: 怀特（怀特国际商城底商）, 地址: 槐安路和育才街交口路东怀特国际商城底商, 省市: 河北省, 石家庄市
店名: 常山, 地址: 正定县政府东邻, 省市: 河北省, 石家庄市
店名: 华安, 地址: 中华北大街50号(现中华大街与新华路交口军创园2号综合楼103号房)一、二层, 省市: 河北省, 石家庄市
店名: 天山-购大神卡免外送费, 地址: 石家庄学院对面一二楼, 省市: 河北省, 石家庄市
店名: 裕东, 地址: 裕华东路民心河对面北国超市底商, 省市: 河北省, 石家庄市
店名: 中槐, 地址: 中华南大街355号保龙仓购物广场一层, 省市: 河北省, 石家庄市
店名: 益元, 地址: 新华区联盟路368号益元百货一层, 省市: 河北省, 石家庄市
店名: 天河, 地址: 长安区胜利北路237号北国天河超市底商, 省市: 河北省, 石家庄市
店名: 万象, 地址: 裕华西路15号与中华大街东北交叉口万象天成商务广场地下一层, 省市: 河北省, 石家庄市
店名: 益中, 地址: 益中（中山路与东二环交叉口西北角北国超市底商）, 省市: 河北省, 石家庄市
店名: 益东, 地址: 空中花园一层肯德基, 省市: 河北省, 石家庄市
店名: 南三条, 地址: 长安区中山东路和大经街交叉口南三条乐汇城西北角一层, 省市: 河北省, 石家庄市
店名: 省院, 地址: 新华区和平路346号和平路水源街交口, 省市: 河北省, 石家庄市
店名: 石家庄建华南大街裕华区尖岭万达, 地址: 槐安路与步行街交口北行100米万达商业广场一层3号门, 省市: 河北省, 石家庄市
店名: 中华北, 地址: 新华区中华北大街与和平西路交叉口北行路西128号500米北国超市一楼, 省市: 河北省, 石家庄市
店名: 金圆, 地址: 辛集北国商城金圆肯德基, 省市: 河北省, 石家庄市
店名: 民心广场, 地址: 桥西区民心广场裕华路与维明大街交口民心广场地下一层永辉超市一层, 省市: 河北省, 石家庄市
店名: 勒泰, 地址: 中山路与栗康街交叉口勒泰中心商场庄里街口, 省市: 河北省, 石家庄市
店名: 西站房, 地址: 石家庄中华南大街新火车站西北角二楼餐饮夹层, 省市: 河北省, 石家庄市
店名: 乐惠家, 地址: 谈固东街与槐安东路交口永辉超市一层, 省市: 河北省, 石家庄市
店名: 红旗大街, 地址: 红旗大街666号商业北侧一层二层, 省市: 河北省, 石家庄市
店名: 平山-够大神卡早餐六折、免外送费, 地址: 冶河东路福美佳购物中心一层, 省市: 河北省, 石家庄市
店名: 平安餐厅, 地址: 中山东路97号, 省市: 河北省, 石家庄市
店名: 正定机场, 地址: 正定国际机场2号航站楼到达层F1-1西侧, 省市: 河北省, 石家庄市
店名: 飞云餐厅, 地址: 新开路爱尚购物广场一楼, 省市: 河北省, 石家庄市
店名: 东站房, 地址: 石家庄火车站候车厅二楼夹层东站房餐厅, 省市: 河北省, 石家庄市
店名: 西美花街, 地址: 红旗大街与汇丰路交叉口西美花街底商一层二层, 省市: 河北省, 石家庄市
店名: 怀特2期（怀特商业广场内）, 地址: 怀特商业广场北门（欧洲风情街）, 省市: 河北省, 石家庄市
店名: 悦享天地, 地址: 中山西路700号悦享天地广场1层, 省市: 河北省, 石家庄市
店名: 广安餐厅, 地址: 中山东路326号开元花园负一层, 省市: 河北省, 石家庄市
店名: 西丽餐厅, 地址: 中山西路与西里街交口西行50米路南(永辉超市西侧）, 省市: 河北省, 石家庄市
店名: 鹿泉, 地址: 北斗路与翠屏大街交叉口西北角北国商城一层, 省市: 河北省, 石家庄市
店名: 北国奥莱, 地址: 铜冶镇青龙山大道88号北国奥特莱斯D1004, 省市: 河北省, 石家庄市
店名: 裕彤, 地址: 中山东路与体育大街交口东南角裕彤国际体育中心1F, 省市: 河北省, 石家庄市
店名: 藁城, 地址: 昌盛南街信誉楼商场一层, 省市: 河北省, 石家庄市
店名: 青园街, 地址: 青园街与建强路交口西南角肯德基, 省市: 河北省, 石家庄市
店名: 晋州信誉楼, 地址: 石家庄世纪大道东侧中兴路南侧信誉楼商场1层, 省市: 河北省, 石家庄市
店名: 石家庄勒泰甜品站, 地址: 中山东路勒泰中心6层F6-04 号商铺, 省市: 河北省, 石家庄市
店名: 石家庄万象城餐厅, 地址: 中华大街与中山路交口7楼万象城肯德基, 省市: 河北省, 石家庄市
