店名: 嵊州八达, 地址: 城中路106-3号, 省市: 浙江省, 绍兴市
店名: 绍兴胜利, 地址: 胜利东路58号(绍兴电力大厦一楼), 省市: 浙江省, 绍兴市
店名: 绍兴悦来, 地址: 解放南路1385号越兰大厦南区一楼, 省市: 浙江省, 绍兴市
店名: 诸暨时代, 地址: 诸暨市艮塔路66号体育馆西门斜对面（艮塔东路与浣东北路交叉口）, 省市: 浙江省, 绍兴市
店名: 上虞大润发, 地址: 市民大道与凤鸣路交汇处大润发超一楼, 省市: 浙江省, 绍兴市
店名: 柯桥华泰, 地址: 金柯桥大道275号华泰大厦, 省市: 浙江省, 绍兴市
店名: 诸暨大润发, 地址: 诸暨市苎萝东路195号大润发超市一楼, 省市: 浙江省, 绍兴市
店名: 诸暨新一百(第一百货1F), 地址: 诸暨市暨阳路7号（第一百货1F老中医院斜对面）, 省市: 浙江省, 绍兴市
店名: 柯桥万商, 地址: （绍兴县）迪扬路万商路交叉口锦麟天地, 省市: 浙江省, 绍兴市
店名: 大唐开元, 地址: 大唐镇开元西路165号, 省市: 浙江省, 绍兴市
店名: 绍兴中兴, 地址: 中兴中路３７号, 省市: 浙江省, 绍兴市
店名: 口万安, 地址: 店口镇万安北路98号万利来广场, 省市: 浙江省, 绍兴市
店名: 新昌华翔, 地址: 鼓山中路116号华翔大厦一楼, 省市: 浙江省, 绍兴市
店名: 绍兴欧尚营业时间7：00—24：00, 地址: 胜利东路欧尚超市一楼, 省市: 浙江省, 绍兴市
店名: 柯桥万达, 地址: 钱陶公路与湖中路交叉口万达广场1-2F, 省市: 浙江省, 绍兴市
店名: 上虞万和城, 地址: 市民大道688号(上虞万和城）, 省市: 浙江省, 绍兴市
店名: 上虞高铁站, 地址: 崧厦路与四环路交汇处绍兴东站, 省市: 浙江省, 绍兴市
店名: 华谊, 地址: 解放北路592号, 省市: 浙江省, 绍兴市
店名: 国贸, 地址: 人民中路129号, 省市: 浙江省, 绍兴市
店名: 诸暨艮塔---世纪联华超市隔壁, 地址: 诸暨市暨阳路181号（世纪联华超市隔壁）, 省市: 浙江省, 绍兴市
店名: 上虞解放, 地址: 解放街80号(上虞第二百货大楼), 省市: 浙江省, 绍兴市
店名: 柯桥乐客多, 地址: 华联国际商贸城一楼, 省市: 浙江省, 绍兴市
店名: 嵊州国商, 地址: 城关镇北直街1号, 省市: 浙江省, 绍兴市
店名: 绍兴新越城, 地址: 下大路20号, 省市: 浙江省, 绍兴市
店名: 绍兴金时代, 地址: 环城南路金时代广场一楼, 省市: 浙江省, 绍兴市
店名: 诸暨永利, 地址: 诸暨市苎萝东路399号万风新天地西楼一层, 省市: 浙江省, 绍兴市
店名: 袍江大润发, 地址: 袍江世纪街1号大润发肯德基, 省市: 浙江省, 绍兴市
店名: 钱清钱门学府DT, 地址: 柯桥钱清镇钱门学府1楼, 省市: 浙江省, 绍兴市
店名: 嵊州世纪联华, 地址: 官河南路和兴盛路交叉口世纪联华一楼, 省市: 浙江省, 绍兴市
店名: 绍兴世茂, 地址: 迪荡街道胜利东路360号绍兴世茂广场1-A-15B号商铺, 省市: 浙江省, 绍兴市
店名: 嵊州鹿山广场, 地址: 鹿山路6号, 省市: 浙江省, 绍兴市
店名: 上虞万达, 地址: 称山北路399号上虞万达广场一楼, 省市: 浙江省, 绍兴市
店名: 绍兴颐高, 地址: 镜湖新区曲屯片25号地块, 省市: 浙江省, 绍兴市
店名: 大唐大润发, 地址: 大唐商城路永新广场大润发1F, 省市: 浙江省, 绍兴市
店名: 诸暨青悦城, 地址: 西施大街77号青悦城一楼, 省市: 浙江省, 绍兴市
店名: 新昌海洋城, 地址: 鼓山西路七星路口, 省市: 浙江省, 绍兴市
店名: 诸暨万达, 地址: 浣东街道高湖东路69号万达广场一层1001, 省市: 浙江省, 绍兴市
店名: 上虞人民(老大通), 地址: 人民中路北193号老大通一楼, 省市: 浙江省, 绍兴市
店名: 嵊州吾悦, 地址: 三江街道兴盛路666号吾悦广场商铺号1028-2号, 省市: 浙江省, 绍兴市
店名: 柯桥大润发, 地址: 兴越路以南，湖西路以东大润发超市一层商铺1001号, 省市: 浙江省, 绍兴市
店名: 大润发甜品站, 地址: 柯桥区兴越路以南湖西路以东大润发超市一层商铺1002号, 省市: 浙江省, 绍兴市
店名: 嵊州和悦时代广场, 地址: 嵊州市双塔路1888号和悦时代广场商业3#一层商铺, 省市: 浙江省, 绍兴市
店名: 诸暨服务区（东）餐厅, 地址: 王家井镇凉风洞村诸暨服务区（东）, 省市: 浙江省, 绍兴市
店名: 诸暨服务区（西）餐厅, 地址: 王家井镇凉风洞村诸暨服务区（西）, 省市: 浙江省, 绍兴市
店名: 绍兴环宇一号, 地址: 凤林西路302号一层302-2号商铺, 省市: 浙江省, 绍兴市
店名: 上虞新大通购物中心, 地址: 百官街道市民大道689号地上一层F01号, 省市: 浙江省, 绍兴市
店名: 金地自在天地, 地址: 2-118，2-119、2-120、2-121商铺双亭路以东、山阴路以北金地自在城商业二期（BF-9地块）2号楼一层2-11, 省市: 浙江省, 绍兴市
