店名: 前进街餐厅, 地址: 城前进街北首路东紫金购物广场中心一层, 省市: 山东省, 聊城市
店名: 柳园, 地址: 柳园南路新时代南广场一层, 省市: 山东省, 聊城市
店名: 聊城汽车站, 地址: 建设路北柳园路口聊城汽车总站建设路临街楼一层、二层, 省市: 山东省, 聊城市
店名: 中心街餐厅, 地址: 中心路京都国际64号一层、二层, 省市: 山东省, 聊城市
店名: 谷山路, 地址: 谷山路与运河路交叉口东南角宝福邻购物广场一层, 省市: 山东省, 聊城市
店名: 新东昌, 地址: 东昌东路139号建工大厦一层的房产, 省市: 山东省, 聊城市
店名: 聊城大润发, 地址: 东昌路以南聊城公园以北的中央丽都商业楼大润发超市一层总计 建筑面积为 258 平方米的房产, 省市: 山东省, 聊城市
店名: 大众路, 地址: 大众路临清金鼎百货一层的房产, 省市: 山东省, 聊城市
店名: 高唐财富广场, 地址: 财富广场一层、二层, 省市: 山东省, 聊城市
店名: 当代DT, 地址: 开发区东昌路北中华路东北当代国际广场展示中心, 省市: 山东省, 聊城市
店名: 聊城金鼎购物中心餐厅, 地址: 柳园路金鼎购物中心5层, 省市: 山东省, 聊城市
店名: 聊城万达, 地址: 万达广场东门1号入口北临1050号商铺, 省市: 山东省, 聊城市
