店名: 芜湖镜湖, 地址: 中山路步行街世纪联华一、二层, 省市: 安徽省, 芜湖市
店名: 芜湖欧尚, 地址: 天门山西路与银湖中路交叉口欧尚超市内, 省市: 安徽省, 芜湖市
店名: 鸠兹广场, 地址: 中山路步行街华亿国际购物中心B座(北楼)一、二层, 省市: 安徽省, 芜湖市
店名: 花津南路欧尚肯德基, 地址: 花津南路66号欧尚超市一层北入口, 省市: 安徽省, 芜湖市
店名: 芜湖营盘山路, 地址: 北京东路与营盘山路交叉口大润发超市一楼, 省市: 安徽省, 芜湖市
店名: 芜湖弋江中路餐厅, 地址: 赭山东路1号万达广场, 省市: 安徽省, 芜湖市
店名: 利民路, 地址: 南陵县籍山镇利民北路80号雄风中央花园, 省市: 安徽省, 芜湖市
店名: 中央城利群时代, 地址: 利群时代（中央城财富街利群超市1-2楼）, 省市: 安徽省, 芜湖市
店名: 新百餐厅, 地址: 西大街新百商厦, 省市: 安徽省, 芜湖市
店名: 芜湖县时代广场, 地址: 芜湖中路88号时代广场1层, 省市: 安徽省, 芜湖市
店名: 芜湖火车站精选(站外负一楼到达层）, 地址: 芜湖站WHCZ-16, 省市: 安徽省, 芜湖市
店名: 无为高铁, 地址: 福渡镇无为高铁站进站口一层, 省市: 安徽省, 芜湖市
店名: 芜湖火车站, 地址: 芜湖站WHGJ-8, 省市: 安徽省, 芜湖市
店名: 利民路苏果, 地址: 利民路与九华南路交叉口苏果超市内, 省市: 安徽省, 芜湖市
店名: 幸福里欧尚, 地址: 鸠江北路与赤铸山路交汇处, 省市: 安徽省, 芜湖市
店名: 繁昌大润发, 地址: 渡江大道与迎春东路交汇处, 省市: 安徽省, 芜湖市
店名: 未来城大润发, 地址: 湾沚镇世纪大道与迎宾大道交汇处大润发超市内, 省市: 安徽省, 芜湖市
店名: 芜湖八佰伴餐厅, 地址: 中山北路33号八佰伴购物中心负一层（B1006铺位）、一层（F1019铺位）, 省市: 安徽省, 芜湖市
店名: 芜湖八佰伴餐厅, 地址: 中山北路33号八佰伴购物中心6层（L6003A铺位）, 省市: 安徽省, 芜湖市
店名: 米芾广场, 地址: 铁山路米芾商业广场一层、二层, 省市: 安徽省, 芜湖市
店名: 德盛, 地址: 花津南路92号德盛广场C区（铺位号C148）一层, 省市: 安徽省, 芜湖市
店名: 瑞丰商博城餐厅, 地址: 利民路与弋江路交口瑞丰商贸城A区一层, 省市: 安徽省, 芜湖市
