店名: 茂名, 地址: 双山三路99号富丽广场首层, 省市: 广东省, 茂名市
店名: 高州, 地址: 市文明路潘州豪庭C区第一、二层, 省市: 广东省, 茂名市
店名: 电白, 地址: 人民路7号百富广场首层, 省市: 广东省, 茂名市
店名: 茂名官渡, 地址: 光华北路368号城市绿洲（一加一超市）首层肯德基, 省市: 广东省, 茂名市
店名: 茂名信宜餐厅, 地址: 信宜市人民路4路福华大厦一层, 省市: 广东省, 茂名市
店名: 化州餐厅, 地址: 桔城中路39号, 省市: 广东省, 茂名市
店名: 人民路, 地址: 茂南区油城四路汇丰大酒店首层, 省市: 广东省, 茂名市
店名: 茂名东汇城, 地址: 油城十路及茂名大道交汇处茂名东汇城首层, 省市: 广东省, 茂名市
店名: 康泰, 地址: 桂园路33号康泰都市B区康泰又一城首层, 省市: 广东省, 茂名市
店名: 橘洲一号, 地址: 北京东三路18号橘洲一号（2栋负一楼商铺）首层, 省市: 广东省, 茂名市
店名: 茂名华侨城, 地址: 光华南路128号大院华侨城广场首层, 省市: 广东省, 茂名市
店名: 电白万达广场, 地址: 克田仔村北侧、迎宾大道西侧万达广场首层1032号商铺, 省市: 广东省, 茂名市
