店名: 舜师路, 地址: 开发区舜师路东段路北环亚府东商城一层, 省市: 山东省, 菏泽市
店名: 银座牡丹餐厅, 地址: 中华路686号银座商城地上一层, 省市: 山东省, 菏泽市
店名: 菏泽南华餐厅, 地址: 中华东路39-6号一层, 省市: 山东省, 菏泽市
店名: 光洋, 地址: 五四路上财富广场翡翠城内的光洋百货一层的房产, 省市: 山东省, 菏泽市
店名: 唐塔, 地址: 胜利街北段唐塔商城一、二层的房产, 省市: 山东省, 菏泽市
店名: 湖西路, 地址: 菏泽湖西路中段路西、向阳路中段路北一层的房产, 省市: 山东省, 菏泽市
店名: 和平餐厅, 地址: 和平路西侧1088号一层, 省市: 山东省, 菏泽市
店名: 巨野新天地, 地址: 文苑路南、人民路北、永丰街西东方新天地一层总计使用面积为383平米的房产, 省市: 山东省, 菏泽市
店名: 菏泽万达, 地址: 开发区万达广场1002号商铺, 省市: 山东省, 菏泽市
店名: 青菏路餐厅, 地址: 曹城青菏路与湘江路交汇处万基广场东南角一层, 省市: 山东省, 菏泽市
店名: 菏泽万达甜品站, 地址: 市辖区万达三层, 省市: 山东省, 菏泽市
