店名: 朝阳餐厅, 地址: 太平街550号合家福购物广场一楼, 省市: 安徽省, 蚌埠市
店名: 蚌埠火车站, 地址: 淮河路与广场东路交叉口, 省市: 安徽省, 蚌埠市
店名: 蚌埠南站, 地址: 蚌埠南站餐厅（南站站内二楼）, 省市: 安徽省, 蚌埠市
店名: 怀远苏果, 地址: 怀远县禹王路西段华润苏果购物广场一层二层, 省市: 安徽省, 蚌埠市
店名: 解放路大润发（0552-3011313）, 地址: 凤阳东路北侧，解放路西侧大润发超市一楼, 省市: 安徽省, 蚌埠市
店名: 蚌埠宝龙, 地址: 兴业街555号宝龙城市广场A区1层A31024号, 省市: 安徽省, 蚌埠市
店名: 蚌埠万达, 地址: 工农路与东海大道交叉口万达广场一/二层, 省市: 安徽省, 蚌埠市
店名: 中兴, 地址: 中兴路新天地商业广场, 省市: 安徽省, 蚌埠市
店名: 浍河新天地, 地址: 浍河路与黄园路交口西南角大润发一楼, 省市: 安徽省, 蚌埠市
店名: 胜利餐厅, 地址: 胜利中路1556号华海电脑数码通讯广场, 省市: 安徽省, 蚌埠市
店名: 龙湖春天, 地址: 大学城学府路与汤和路交口龙湖春天AS16幢1层00014号, 省市: 安徽省, 蚌埠市
店名: 蚌埠吾悦, 地址: 解放路750号新城吾悦广场1057-2号.1057-3号商铺, 省市: 安徽省, 蚌埠市
店名: 金鹏玖玖城市广场, 地址: 淮上大道北侧、延安北路西侧一层, 省市: 安徽省, 蚌埠市
店名: 五河中央广场, 地址: 五河县青年路五河中央广场1F, 省市: 安徽省, 蚌埠市
店名: 淮上万达广场, 地址: 淮上大道与解放路交口向东约200米的万达广场一楼, 省市: 安徽省, 蚌埠市
