店名: 衡百, 地址: 桃城区人民东路与报社街交叉口百货大楼东一层, 省市: 河北省, 衡水市
店名: 惠祥, 地址: 衡水安平市中心路与为民街交口惠祥商城, 省市: 河北省, 衡水市
店名: 爱特, 地址: 和平西路206号西侧附楼爱特东邻市总工会西, 省市: 河北省, 衡水市
店名: 吉美, 地址: 胜利路与康宁街东北角吉美超市西邻, 省市: 河北省, 衡水市
店名: 怡水园, 地址: 人民路北侧、宝云街西侧衡百国际购物中心负一层, 省市: 河北省, 衡水市
店名: 天鸿尚都, 地址: 榕花街大庆路交口天鸿尚都一层, 省市: 河北省, 衡水市
店名: 吉美百货, 地址: 衡水冀州市兴华大街东侧吉美百货一层, 省市: 河北省, 衡水市
店名: 深州诚信, 地址: 顺兴大街诚信商厦东区一层, 省市: 河北省, 衡水市
店名: 衡水服务区二, 地址: 大广高速K1569+300号，衡水服务区南区一层, 省市: 河北省, 衡水市
店名: 衡水服务区, 地址: 大广高速K1569+300号，衡水服务区北区一层。, 省市: 河北省, 衡水市
店名: 衡水枣强吉美, 地址: 衡水枣强县新华西街南侧吉美购物广场一层001号商铺, 省市: 河北省, 衡水市
