店名: 衡阳青松, 地址: 经济开发区步步高商场一层, 省市: 湖南省, 衡阳市
店名: 衡百, 地址: 解放路45号, 省市: 湖南省, 衡阳市
店名: 衡阳岳屏, 地址: 仙姬巷33号, 省市: 湖南省, 衡阳市
店名: 衡阳莲湖广场, 地址: 向农路35-121号香江百货蒸北购物广场一层, 省市: 湖南省, 衡阳市
店名: 衡阳湘江东, 地址: 广东、临江路口喜富来购物广场一层、二层, 省市: 湖南省, 衡阳市
店名: 香城, 地址: 高新区解放大道33号香江城市花园1、2栋裙楼一层, 省市: 湖南省, 衡阳市
店名: 金珠, 地址: 耒阳市蔡伦中路295号金珠茂业一楼（原新都康年酒店旁）, 省市: 湖南省, 衡阳市
店名: 衡阳火车站, 地址: 衡阳火车站候车室1候车室下方, 省市: 湖南省, 衡阳市
店名: 县正, 地址: 县正路49号邮政局综合大楼一层, 省市: 湖南省, 衡阳市
店名: 万向城, 地址: 解放路万向城一楼, 省市: 湖南省, 衡阳市
店名: 青阳路, 地址: 青阳中路中鼎大厦（东风广场对面）, 省市: 湖南省, 衡阳市
店名: 衡阳新正, 地址: 西渡新正路帝龙时代广场, 省市: 湖南省, 衡阳市
店名: 衡东衡岳路, 地址: 衡东衡岳北路新世纪大市场C栋128-129号, 省市: 湖南省, 衡阳市
店名: 新群英, 地址: 五一路与群英路交汇处西南角中星时代广场, 省市: 湖南省, 衡阳市
店名: 衡阳新船山, 地址: 晶珠广场一楼肯德基餐厅, 省市: 湖南省, 衡阳市
店名: 衡阳万达, 地址: 衡州大道万达广场一楼肯德基, 省市: 湖南省, 衡阳市
店名: 中银, 地址: 泉峰办事处青阳中路与泉峰路交叉口中银时代广场一层, 省市: 湖南省, 衡阳市
店名: 融冠亲城, 地址: 船山大道16号融冠亲城5栋一层, 省市: 湖南省, 衡阳市
