店名: 樊城, 地址: 长征路2号人民商场一楼, 省市: 湖北省, 襄阳市
店名: 长虹, 地址: 长虹路民发商业广场A座一楼, 省市: 湖北省, 襄阳市
店名: 中原, 地址: 中原路卧龙新港一，二层, 省市: 湖北省, 襄阳市
店名: 襄阳万达, 地址: 长虹北路襄樊万达诸葛亮广场一，二层, 省市: 湖北省, 襄阳市
店名: 粉水路, 地址: 城关镇粉水路７０号, 省市: 湖北省, 襄阳市
店名: 枣阳光武路, 地址: 光武路28号万象城, 省市: 湖北省, 襄阳市
店名: 襄沙大道, 地址: 宜城市襄沙大道新天地一楼, 省市: 湖北省, 襄阳市
店名: 春园, 地址: 春园路中原路交叉口乐福天下广场一楼, 省市: 湖北省, 襄阳市
店名: 四季城, 地址: 大庆西路天元四季城一楼, 省市: 湖北省, 襄阳市
店名: 二汽, 地址: 东风汽车大道悦活会购物城一楼, 省市: 湖北省, 襄阳市
店名: 老河口胜利路, 地址: 胜利路18号武商购物广场一楼, 省市: 湖北省, 襄阳市
店名: 檀溪路, 地址: 长虹南路36号武商超级生活馆一楼, 省市: 湖北省, 襄阳市
店名: 航空路, 地址: 航空路民发广场一层, 省市: 湖北省, 襄阳市
店名: 南国, 地址: 长虹路襄阳南国城市广场一层, 省市: 湖北省, 襄阳市
店名: 恒太城, 地址: 城关镇北辰大道与筑阳路交汇处汇科恒太城一层, 省市: 湖北省, 襄阳市
