店名: 东大街（西安）, 地址: 东大街53号, 省市: 青海省, 西宁市
店名: 新西大街（王府井超市旁肯德基）, 地址: 王府井超市一楼, 省市: 青海省, 西宁市
店名: 西宁五四, 地址: 五四大街76号, 省市: 青海省, 西宁市
店名: 西宁兴旺, 地址: 五四西路1号兴旺大厦负一层, 省市: 青海省, 西宁市
店名: 西宁商业巷, 地址: 五四大街商业巷国芳百货一楼, 省市: 青海省, 西宁市
店名: 海湖, 地址: 海湖新区文景路与文汇路十字新华联一层, 省市: 青海省, 西宁市
店名: 西宁新千, 地址: 建国路66号新千国际广场一层, 省市: 青海省, 西宁市
店名: 西宁海湖万达, 地址: 海湖新区广场路1号, 省市: 青海省, 西宁市
店名: 门源路, 地址: 门源路16号民惠城二期一层, 省市: 青海省, 西宁市
店名: 西宁香格里拉, 地址: 城中区南川东路街道香格里拉路14号B1/1F, 省市: 青海省, 西宁市
店名: 西宁唐道, 地址: 海湖新区西关大街130号, 省市: 青海省, 西宁市
店名: 中石化海湖DT, 地址: 海湖路26号1号楼2号楼, 省市: 青海省, 西宁市
店名: 西宁新千甜品站, 地址: 城西区建国路66号3层, 省市: 青海省, 西宁市
