店名: 唐延, 地址: 雁塔区唐延路3号易初莲花超一层, 省市: 陕西省, 西安市
店名: 雁塔, 地址: 雁塔区雁塔路大唐商业广场A栋10101、10109号, 省市: 陕西省, 西安市
店名: 东仪, 地址: 含光路与电子二路交汇处家世界购物中心一层, 省市: 陕西省, 西安市
店名: 友谊, 地址: 友谊东路82号家春秋国际美居一楼, 省市: 陕西省, 西安市
店名: 朱雀, 地址: 小寨西路银泰城一层, 省市: 陕西省, 西安市
店名: 未央, 地址: 经济开发区未央路赛高商务港一层, 省市: 陕西省, 西安市
店名: 东关, 地址: 东关正街东方星苑一、二层, 省市: 陕西省, 西安市
店名: 万达, 地址: 雁塔路北段8号万达商业广场一二层, 省市: 陕西省, 西安市
店名: 钟楼, 地址: 北大街1号钟楼邮局北侧一、二层, 省市: 陕西省, 西安市
店名: 城西, 地址: 枣园东路92号一、二层, 省市: 陕西省, 西安市
店名: 兵马俑, 地址: 秦始皇兵马俑博物馆服务区F14一、二层, 省市: 陕西省, 西安市
店名: 站前, 地址: 西八路19号西安汽车站售票大厅东墙以东站内房产一二层, 省市: 陕西省, 西安市
店名: 科技路, 地址: 丈八北路东侧城市风景都市印象18栋1单元一二层, 省市: 陕西省, 西安市
店名: 西影路, 地址: 西影路50号西影路与西延路交叉口东北角一、二层, 省市: 陕西省, 西安市
店名: 大唐, 地址: 劳动南路1号大润发超市一层肯德基餐厅, 省市: 陕西省, 西安市
店名: 赛高, 地址: 经济技术开发区凤城五路赛高街区一，二层, 省市: 陕西省, 西安市
店名: 西大, 地址: 太白北路213号, 省市: 陕西省, 西安市
店名: 北客站南, 地址: 2A检票口斜上方，地铁二号线进站旅客 ，仅限进站旅客购买 029-63325316, 省市: 陕西省, 西安市
店名: 西安明德门, 地址: 朱雀大街58号金水大厦一、二层, 省市: 陕西省, 西安市
店名: 西安幸福, 地址: 长乐东路华润万家超一二层, 省市: 陕西省, 西安市
店名: 西安兴庆, 地址: 兴庆路28号华润万家超一二层肯德基, 省市: 陕西省, 西安市
店名: 西安莲湖, 地址: 莲湖路25#汉庭酒店一二层, 省市: 陕西省, 西安市
店名: 西安文景, 地址: 凤城五路与文景路十字东南角人人乐超一楼, 省市: 陕西省, 西安市
店名: 西安龙首, 地址: 龙首北路与未央路十字东南角龙首村宫园壹号一层+负一层, 省市: 陕西省, 西安市
店名: 西安银泰城, 地址: 曲江新区雁南二路北侧银泰城-1F, 省市: 陕西省, 西安市
店名: 西安钟鼓楼, 地址: 回民街旁国民商城一层, 省市: 陕西省, 西安市
店名: 西航, 地址: 渭滨路华润万家超对面一层, 省市: 陕西省, 西安市
店名: 西安骊山, 地址: 人民南路全都超市一，二层, 省市: 陕西省, 西安市
店名: 西安新世界, 地址: 宏府广场新世界百货负一层, 省市: 陕西省, 西安市
店名: 西安科创, 地址: 高新区科创路枫叶大厦B0103.B0203（高新一中对面）, 省市: 陕西省, 西安市
店名: 唐延DT, 地址: 高新区唐延路与南二环交叉位置（莱安逸境）, 省市: 陕西省, 西安市
店名: 西安万科, 地址: 长安郭杜街办茅坡村西侧万科城西区商业48#楼1+2层, 省市: 陕西省, 西安市
店名: 东客站, 地址: 纺织城城东客运站负一层, 省市: 陕西省, 西安市
店名: 西安东新街, 地址: 解放路与东新街十字东南角一、二层肯德基, 省市: 陕西省, 西安市
店名: 太华, 地址: 太华北路369号万达广场二楼曲江大明宫遗址区, 省市: 陕西省, 西安市
店名: 沣京, 地址: 甘亭镇草堂路3号一层二层, 省市: 陕西省, 西安市
店名: 西安咸宁, 地址: 咸宁中路122号乐宁会一层二层, 省市: 陕西省, 西安市
