店名: 金钻广场, 地址: 八一四路金钻广场10号楼1层, 省市: 江西省, 赣州市
店名: 赣州启德, 地址: 赣州文清路62号, 省市: 江西省, 赣州市
店名: 新南门广场, 地址: 南门广场百货大楼一楼, 省市: 江西省, 赣州市
店名: 翠微路, 地址: 章贡区中航城九方天虹广场一楼, 省市: 江西省, 赣州市
店名: 赣州西门, 地址: 红旗大道94号国际时代广场大润发商场一层, 省市: 江西省, 赣州市
店名: 赣州蓉江路, 地址: 蓉江路国光购物广场一层二层, 省市: 江西省, 赣州市
店名: 赣州登峰大道, 地址: 华润中心万象城B02号商铺, 省市: 江西省, 赣州市
店名: 泰城, 地址: 嘉定镇沿江路泰城时尚广场一楼肯德基, 省市: 江西省, 赣州市
店名: 赣南大学城, 地址: 赣南文化广场一层肯德基, 省市: 江西省, 赣州市
店名: 章江, 地址: 章贡新区琴江路与长岗路交汇处达芬奇国际中心一楼肯德基餐厅, 省市: 江西省, 赣州市
店名: 巨亿广场, 地址: 八一四大道“站北区A-03-03地块巨亿赣南电商城”一层, 省市: 江西省, 赣州市
店名: 中央公园, 地址: 安远县采茶戏公园北侧中央公园19栋, 省市: 江西省, 赣州市
店名: 旺达广场, 地址: 张家围路58号旺达中心广场一层, 省市: 江西省, 赣州市
店名: 会昌九州大道, 地址: 会昌县壹然广场, 省市: 江西省, 赣州市
店名: 赣州西站, 地址: 南康区赣州西站高架夹层JC02号, 省市: 江西省, 赣州市
