店名: 万达, 地址: 中华北大街241号万达商厦一层, 省市: 河北省, 邯郸市
店名: 金正餐厅-大神卡下午茶两件10元, 地址: 陵西南大街8号金正广场1层, 省市: 河北省, 邯郸市
店名: 龙湖, 地址: 人民路与滏东大街交叉口邯郸阳光龙湖商城地下一层, 省市: 河北省, 邯郸市
店名: 武新, 地址: 中兴路955号武安新世纪广场2期1层, 省市: 河北省, 邯郸市
店名: 人民, 地址: 光明大街69号一层, 省市: 河北省, 邯郸市
店名: 龙山, 地址: 龙山大街与振兴路交口聚宝隆商场一层, 省市: 河北省, 邯郸市
店名: 前进餐厅（复兴商贸城西门）, 地址: 前进大街中段道东一层(复兴商贸城西门）, 省市: 河北省, 邯郸市
店名: 峰峰餐厅, 地址: 滏临北大街阳光三联电器一层, 省市: 河北省, 邯郸市
店名: 大名, 地址: 大名府路东段路北冠兴商厦一楼, 省市: 河北省, 邯郸市
店名: 永年-大神卡免外送费, 地址: 政府街东段路南1层。, 省市: 河北省, 邯郸市
店名: 天鸿, 地址: 天鸿餐厅（联防路与滏东大街交口）天鸿广场A座一层, 省市: 河北省, 邯郸市
店名: 磁县, 地址: 磁州镇建设路西段南侧美食林千汇百货一层, 省市: 河北省, 邯郸市
店名: 邯郸新世纪餐厅, 地址: 丛台区中华大街29号新世纪商厦一层, 省市: 河北省, 邯郸市
店名: 赵都新城, 地址: 五仓路隆基泰和广场永辉超市对面肯德基, 省市: 河北省, 邯郸市
店名: 邯郸环球中心餐厅, 地址: 人民路以南、人民南路以北（人民东路456号）环球中心负1层B127, 省市: 河北省, 邯郸市
