店名: 火车站站内, 地址: 郑州车站东广场进站候车厅二层北侧, 省市: 河南省, 郑州市
店名: 二七万达, 地址: 二七万达广场肯德基（航海路与大学南路交叉口）二楼2031号, 省市: 河南省, 郑州市
店名: 青年路, 地址: 青年路105号中牟一层、二层, 省市: 河南省, 郑州市
店名: 泰龙, 地址: 碧沙岗北街12号, 省市: 河南省, 郑州市
店名: 紫荆, 地址: 管城区紫荆山路58号卜蜂莲花超市一层及负一层肯德基, 省市: 河南省, 郑州市
店名: 郑州中环, 地址: 花园路59号1层, 省市: 河南省, 郑州市
店名: 新华路新兴路交叉口星月一楼, 地址: 新兴路45号1-2层, 省市: 河南省, 郑州市
店名: 经三路, 地址: 经三路与农业路, 省市: 河南省, 郑州市
店名: 银基, 地址: 一马路8号一层和二层, 省市: 河南省, 郑州市
店名: 金水路, 地址: 金水路288号曼哈顿广场A区, 省市: 河南省, 郑州市
店名: 陇海路, 地址: 嵩山南路19号家世界购物广场一层, 省市: 河南省, 郑州市
店名: 国贸中心, 地址: 花园路西、农业路南4号楼1层A1042、2层A2001, 省市: 河南省, 郑州市
店名: 名门广场, 地址: 金水路和玉凤路交叉口家乐福卖场一层, 省市: 河南省, 郑州市
店名: 庆都, 地址: 人民路庆都首府20号楼一、二层。, 省市: 河南省, 郑州市
店名: 方圆创世, 地址: 紫荆山路与陇海路交叉口东北角“方圆国际广场”大润发一层肯德基, 省市: 河南省, 郑州市
店名: 西广场, 地址: 郑州火车站西广场西南出站口, 省市: 河南省, 郑州市
店名: 中原路, 地址: 秦岭路交汇处中原万达商业广场, 省市: 河南省, 郑州市
店名: 西元, 地址: 建设西路与秦岭路交汇处西北侧西元国际广场一层, 省市: 河南省, 郑州市
店名: 棉纺路, 地址: 桐柏路与棉纺路交汇处西北角锦艺国际一层、二层, 省市: 河南省, 郑州市
店名: 东风路, 地址: 东风路北和小铺路西U尚城（东风路3号）一、二层, 省市: 河南省, 郑州市
店名: 郑大, 地址: 中原路大学路交叉口向南300米路东中苑名都永辉超市一层肯德基, 省市: 河南省, 郑州市
店名: 东广场, 地址: 火车站东广场进站口北侧, 省市: 河南省, 郑州市
店名: 郑州东站一, 地址: 郑州高铁东站一层到达厅北停车场对面, 省市: 河南省, 郑州市
店名: 航海路, 地址: 航海路与银莺路交叉口西南角福都购物广场东北角一层肯德基, 省市: 河南省, 郑州市
店名: 客运南站, 地址: 南三环路与京广路交叉口东南角郑州客运南站一层旅客进站口西侧, 省市: 河南省, 郑州市
店名: 商都DT, 地址: 郑东新区商都路5号1-3层, 省市: 河南省, 郑州市
店名: 农业路, 地址: 农业路61号西藏自治区驻郑州干部休养所综合楼一层, 省市: 河南省, 郑州市
店名: 上街餐厅, 地址: 中心路55号亚星盛世广场32号楼1层, 省市: 河南省, 郑州市
店名: 少林大道, 地址: 少林大道231号尚城国际二期东北角一层、二层, 省市: 河南省, 郑州市
店名: 万象城, 地址: 二七区民主路10号华润万象城购物中心（一期）B118+B121号商铺, 省市: 河南省, 郑州市
店名: 众意, 地址: 郑东新区众意路丹尼斯七天地(G段)一二层, 省市: 河南省, 郑州市
店名: 北金, 地址: 北环道南、文化路东瀚海北金商业中心一、二层总计面积约为375平方米的房产, 省市: 河南省, 郑州市
店名: 机场一, 地址: 航空港区新郑国际机场T2航站楼四层出发厅北侧总计使用面积为321平方米的房产, 省市: 河南省, 郑州市
店名: 机场二, 地址: 航空港区新郑国际机场T2航站楼二层到达厅北侧总计使用面积为373平方米的房产, 省市: 河南省, 郑州市
店名: 熙地港, 地址: 农业东路与众意西路交叉口熙地港（郑州）购物中心B1层, 省市: 河南省, 郑州市
店名: 郑东站内, 地址: 郑州高铁东站3层候车厅东北角, 省市: 河南省, 郑州市
店名: 惠济万达, 地址: 开元路惠济万达广场1楼肯德基, 省市: 河南省, 郑州市
店名: 璞丽中心, 地址: 经二路东黄河路北璞丽中心项目一层的房产, 省市: 河南省, 郑州市
店名: 荥阳国泰, 地址: 国泰路福民路正上豪布斯卡一层, 省市: 河南省, 郑州市
店名: 公园茂, 地址: 高新技术产业开发区高新技术产业开发区雪松路西迎春街北迎春街52号朗悦公园道1号儿, 省市: 河南省, 郑州市
店名: 悦汇城, 地址: 航空港经济综合实验区郑港四街东侧郑港五街西侧锦荣悦汇城5号楼1层的房产, 省市: 河南省, 郑州市
店名: 郑东站内二, 地址: 郑州高铁东站3层候车厅西南角肯德基, 省市: 河南省, 郑州市
店名: 杉杉奥莱, 地址: 郑开大道杉杉奥特莱斯购物广场B10800铺位, 省市: 河南省, 郑州市
店名: 万科美景, 地址: 惠济区文化北路与英才街交汇处美景万科广场一层, 省市: 河南省, 郑州市
店名: 万科龙堂, 地址: 管城区航海路中州大道东北角美景龙堂万科广场一层总计使用面积为273.34平方米, 省市: 河南省, 郑州市
店名: 正弘城, 地址: 金水区市花园路与东风路交叉口西南角正弘城项目负一层LB-S14商铺, 省市: 河南省, 郑州市
店名: 首创奥莱, 地址: 荥阳市贾峪镇奥莱大道首创奥特莱斯, 省市: 河南省, 郑州市
店名: 永威木色, 地址: 郑东新区商务外环与东五街以及通泰路交叉口永威木色购物公园负一层、负二层, 省市: 河南省, 郑州市
店名: 郑州东站精选, 地址: 心怡路199号郑州东站站房外南廊1号商铺, 省市: 河南省, 郑州市
店名: 龙湖锦艺, 地址: 龙湖镇郑新路与双湖大道交叉口东北角龙湖锦艺城临2号门一层、三层, 省市: 河南省, 郑州市
店名: 太格茂, 地址: 郑东新区平安大道北、博学路东融创文化大厦1层, 省市: 河南省, 郑州市
店名: 高新万科, 地址: 高新技术产业开发区科学大道红叶路89号万科城公寓二期E座万科广场一层, 省市: 河南省, 郑州市
店名: 普罗旺世, 地址: 国基路168号普罗旺世地中海广场健身中心一层, 省市: 河南省, 郑州市
店名: 金巴斗, 地址: 青屏大街与政通路交汇处金巴斗商场一楼, 省市: 河南省, 郑州市
店名: 建业凯旋, 地址: 金水区花园路、科源路交叉口建业凯旋广场一、二层, 省市: 河南省, 郑州市
店名: 万锦城, 地址: 航海东路与经开第五大街交叉口西北角万锦商业中心一层, 省市: 河南省, 郑州市
店名: YOYOPARK, 地址: 金水区国基路与丰庆路交汇处西南角YOYO PARK一、二层, 省市: 河南省, 郑州市
店名: 建业凯旋外卖点, 地址: 花园路西、农科路北建业凯旋广场4层, 省市: 河南省, 郑州市
店名: 瀚海海尚, 地址: 东风路、丰庆路西北角瀚海海尚一层, 省市: 河南省, 郑州市
店名: 月湖广场, 地址: 新城路与文创路交汇处西北角月湖广场A馆一号楼一层, 省市: 河南省, 郑州市
店名: 瀚海海尚甜品站, 地址: 东风路、丰庆路西北角瀚海海尚一层, 省市: 河南省, 郑州市
店名: 天泽城, 地址: 圣街学苑路交叉口东北角天泽城商场一层, 省市: 河南省, 郑州市
