店名: 国庆, 地址: 湖南人民东路1号, 省市: 湖南省, 郴州市
店名: 桂阳向阳路, 地址: 城关镇向阳路1号, 省市: 湖南省, 郴州市
店名: 五岭广场, 地址: 五岭广场北侧五岭路6号1层, 省市: 湖南省, 郴州市
店名: 郴州飞虹, 地址: 桔井路37号一层, 省市: 湖南省, 郴州市
店名: 文明路, 地址: 文明路餐厅一二层, 省市: 湖南省, 郴州市
店名: 中皇城餐厅, 地址: 国庆北路18号1层, 省市: 湖南省, 郴州市
店名: 郴州八一路, 地址: 八一路生源时代广场一二层肯德基餐厅, 省市: 湖南省, 郴州市
店名: 郴州同心路, 地址: 同心路友谊阿波罗负一楼, 省市: 湖南省, 郴州市
店名: 干劲路餐厅, 地址: 干劲路25号干劲路与大桥路交汇处的永兴影视大楼1、2层, 省市: 湖南省, 郴州市
店名: 郴州安仁五一路, 地址: 五一路新天地广场一楼, 省市: 湖南省, 郴州市
店名: 万宝城, 地址: 南湖路与青年大道交叉口东南角(现名为, 省市: 湖南省, 郴州市
店名: 翡翠路, 地址: 龙潭街道翡翠路旁（与新工商局相邻）现项目名为广场1号1层, 省市: 湖南省, 郴州市
店名: 燕泉路, 地址: 香雪路与燕泉南路交汇处林邑星城一层, 省市: 湖南省, 郴州市
