店名: 民权, 地址: 重庆民权路1号, 省市: 重庆市, 重庆市
店名: 金观音, 地址: 建新西路2号特2金观音广场一楼, 省市: 重庆市, 重庆市
店名: 华宇, 地址: 小龙坎新街29号, 省市: 重庆市, 重庆市
店名: 易家坝, 地址: 广场路19号城市广场（博宇大厦）1F&2F, 省市: 重庆市, 重庆市
店名: 大礼堂, 地址: 人民路135-175号, 省市: 重庆市, 重庆市
店名: 斌鑫世纪城, 地址: 杨家坪商业步行街斌鑫世纪城F101-F201（18523837639）, 省市: 重庆市, 重庆市
店名: 九龙广场, 地址: 九龙广场九龙坡购物广场一楼68789848, 省市: 重庆市, 重庆市
店名: 三角碑, 地址: 小龙坎新街49号王府井百货1、2层, 省市: 重庆市, 重庆市
店名: 元旦, 地址: 南坪惠工路13号元旦百货1楼, 省市: 重庆市, 重庆市
店名: 缙麓, 地址: 重庆北碚区天生新村63号缙麓商都A栋1-2层, 省市: 重庆市, 重庆市
店名: 国瑞, 地址: 大渡口松青路1029号国瑞城一层, 省市: 重庆市, 重庆市
店名: 西城天街, 地址: 杨家坪珠江路48号西城天街购物广场LG13-2, 省市: 重庆市, 重庆市
店名: 观音桥, 地址: 渝北二村一支路6号新世界百货一楼, 省市: 重庆市, 重庆市
店名: 易诚, 地址: 凤天路29号肯德基易诚餐厅, 省市: 重庆市, 重庆市
店名: 东和, 地址: 观音桥北城天街上段33号，东和城B2栋二层, 省市: 重庆市, 重庆市
店名: 地王, 地址: 民族路166号地王广场2F, 省市: 重庆市, 重庆市
店名: 袁家岗, 地址: 九龙坡袁家岗奥体路1号, 省市: 重庆市, 重庆市
店名: 万达广场, 地址: 南坪万达商业广场一层, 省市: 重庆市, 重庆市
店名: 上海城, 地址: 南坪西路上海城一层, 省市: 重庆市, 重庆市
店名: 万州, 地址: 太白路99号三峡福斯德广场地下一层, 省市: 重庆市, 重庆市
店名: 石桥铺, 地址: 石桥铺科园一路大西洋国际大厦二楼, 省市: 重庆市, 重庆市
店名: 重庆机场, 地址: 重庆机场T2航站楼一楼国内到达1号门, 省市: 重庆市, 重庆市
店名: 永川, 地址: 渝西大道沃尔玛旁, 省市: 重庆市, 重庆市
店名: 龙头寺汽车站, 地址: 泰山大道中段龙头寺汽车站, 省市: 重庆市, 重庆市
