店名: 义乌香山, 地址: 稠州西路119号, 省市: 浙江省, 金华市
店名: 浦江福泰隆, 地址: 人民东路28号，福泰隆广场1楼, 省市: 浙江省, 金华市
店名: 金华锦绣, 地址: 回溪街172号, 省市: 浙江省, 金华市
店名: 兰溪大丰, 地址: 劳动路68号大丰大超, 省市: 浙江省, 金华市
店名: 金华福华, 地址: 五一路福华广场一层, 省市: 浙江省, 金华市
店名: 兰溪兰江, 地址: 兰江街道丹溪大道20号1-2号1-2层, 省市: 浙江省, 金华市
店名: 武义时代, 地址: 城解放街7号、8号地块, 省市: 浙江省, 金华市
店名: 义乌宾王, 地址: 宾王路208号, 省市: 浙江省, 金华市
店名: 义乌宗泽, 地址: 稠州北路586号1楼, 省市: 浙江省, 金华市
店名: 义乌北苑, 地址: 北苑路北苑商贸城东区1楼, 省市: 浙江省, 金华市
店名: 金华时代, 地址: 八一南街288号, 省市: 浙江省, 金华市
店名: 义乌福田, 地址: 稠州北路905#商服1号楼, 省市: 浙江省, 金华市
店名: 义乌江东, 地址: 江东中路482号, 省市: 浙江省, 金华市
店名: 东阳振兴, 地址: 人民路66号, 省市: 浙江省, 金华市
店名: 浦江财富, 地址: 大桥路人民路交叉口财富广场, 省市: 浙江省, 金华市
店名: 义乌宏迪, 地址: 稠州西路138号, 省市: 浙江省, 金华市
店名: 金华银泰, 地址: 解放东路168号江北银泰城, 省市: 浙江省, 金华市
店名: 义乌火车站, 地址: 新火车站候车大厅旁, 省市: 浙江省, 金华市
店名: 金华双龙, 地址: 双龙南街307号公元大厦一楼, 省市: 浙江省, 金华市
店名: 义乌银泰, 地址: 工人西路15号银泰广场2楼, 省市: 浙江省, 金华市
店名: 东阳金天地, 地址: 东阳人民路106号一百购物中心一楼, 省市: 浙江省, 金华市
店名: 永康大润发, 地址: 九铃东路3117号大润发超市一楼肯德基, 省市: 浙江省, 金华市
店名: 义乌银海, 地址: 银海路292号, 省市: 浙江省, 金华市
店名: 义乌五爱, 地址: 江东中路55号, 省市: 浙江省, 金华市
店名: 横万盛, 地址: 横店镇万盛南街22号, 省市: 浙江省, 金华市
店名: 佛堂朝阳, 地址: 佛堂镇稠佛路172号, 省市: 浙江省, 金华市
店名: 福泰隆, 地址: 宾虹路777号, 省市: 浙江省, 金华市
店名: 永康华联, 地址: 胜利街2号, 省市: 浙江省, 金华市
店名: 义乌世纪, 地址: 城中中路世纪商场地下一层一街, 省市: 浙江省, 金华市
店名: 永康时代, 地址: 胜利街103号, 省市: 浙江省, 金华市
店名: 金华万达, 地址: 李渔东路366号万达广场1楼, 省市: 浙江省, 金华市
店名: 金华大润发, 地址: 八一南街1168号大润发超市一楼, 省市: 浙江省, 金华市
店名: 金华站, 地址: 婺城区环城西路金竹路交叉口高铁站二楼, 省市: 浙江省, 金华市
店名: 金华一百, 地址: 西市街159号, 省市: 浙江省, 金华市
店名: 兰溪新时代, 地址: 兰溪市横山路405号嘉泰新时代广场, 省市: 浙江省, 金华市
店名: 义乌万达, 地址: 新科路9号万达广场, 省市: 浙江省, 金华市
店名: 义乌之心, 地址: 稠城工人西路9号义乌之心L118/L217号店铺, 省市: 浙江省, 金华市
店名: 东阳银泰城, 地址: 白云街道兴平西路428号东阳银泰城, 省市: 浙江省, 金华市
店名: 花园吉祥, 地址: 东阳市南马镇花园村花园商业中心, 省市: 浙江省, 金华市
店名: 佛堂宝龙, 地址: 义乌市渡磬南路与佛堂大道交叉口东北地块, 省市: 浙江省, 金华市
店名: 义乌吾悦, 地址: 江东街道江东东路2号, 省市: 浙江省, 金华市
店名: 廿三里开元, 地址: 义乌市廿三里镇开元南街2号一层, 省市: 浙江省, 金华市
店名: 横梦幻谷, 地址: 横店镇横店社区良渡小区横店梦幻谷1号门, 省市: 浙江省, 金华市
店名: 金华服务区南, 地址: 傅村镇杭金衢高速公路金华服务区南商铺号20号, 省市: 浙江省, 金华市
店名: 金华服务区北, 地址: 傅村镇杭金衢高速公路金华服务区北商铺号20号, 省市: 浙江省, 金华市
店名: 苏溪之心, 地址: 苏溪镇镇前街53号北侧商业综合体地块苏溪之心一层, 省市: 浙江省, 金华市
店名: 义乌绣湖里, 地址: 绣湖西路191号、193号, 省市: 浙江省, 金华市
店名: 金职院郎朗园区, 地址: 秋滨街道金帆街838号郎朗产业园一层、二层, 省市: 浙江省, 金华市
店名: 苏溪佳庭汇, 地址: 义乌工业园区苏溪佳庭汇一层, 省市: 浙江省, 金华市
店名: 义乌汇商中心, 地址: 福田街道稠州北路一层1537号1535号1533号1531号1529号, 省市: 浙江省, 金华市
店名: 横财富, 地址: 横店镇康庄南路168号国耀财富广场一层商铺, 省市: 浙江省, 金华市
店名: 义乌市中心医院, 地址: 江东路699号中心医院医技楼一层, 省市: 浙江省, 金华市
店名: 义乌机场, 地址: 义乌机场航站楼标段二号店铺号13、25、26, 省市: 浙江省, 金华市
店名: 金华婺城城市广场, 地址: 白龙桥镇宾虹西路2999号万泰公园大道D座一楼, 省市: 浙江省, 金华市
