店名: 新华街步行街口肯德基, 地址: 新华东街74号一二层, 省市: 宁夏, 银川市
店名: 民族, 地址: 民族南街星光花园14号综合楼3号房一、二层, 省市: 宁夏, 银川市
店名: 银川金凤, 地址: 正源北街万达金凤广场1+2F, 省市: 宁夏, 银川市
店名: 新银百（解放街老大楼一楼）, 地址: 解放东街2号老大楼一层, 省市: 宁夏, 银川市
店名: 银川良田, 地址: 庆丰街288号新百良田超市, 省市: 宁夏, 银川市
店名: 银川西夏, 地址: 万达广场1号门, 省市: 宁夏, 银川市
店名: 银川火车站, 地址: 通达北街371号新火车站候车大厅二楼北侧, 省市: 宁夏, 银川市
店名: 银川利民餐厅, 地址: 解放西街126号盛世春天一层, 省市: 宁夏, 银川市
店名: 银川悦海, 地址: 尹家渠街东侧、枕水路南侧北京华联悦海新天地购物中心一层, 省市: 宁夏, 银川市
店名: 银川正源街, 地址: 正源北街建发大阅城王府井奥莱1楼104#, 省市: 宁夏, 银川市
店名: 河东机场T3精选, 地址: 河东机场T3航站楼, 省市: 宁夏, 银川市
店名: 河东机场T3到达, 地址: 银川河东机场T3航站楼, 省市: 宁夏, 银川市
店名: 银川新华联, 地址: 通达北街以西北京路以北新华联广场1层、4层, 省市: 宁夏, 银川市
店名: 解放餐厅, 地址: 解放东街华润万家超市1层, 省市: 宁夏, 银川市
店名: 怀远西路, 地址: 西夏区怀远西路1号宁阳文化广场1层, 省市: 宁夏, 银川市
店名: 中海环宇, 地址: 金凤区中海环宇天地一层L106号铺位, 省市: 宁夏, 银川市
