店名: 高桥, 地址: 东二环一段高桥大市场西578号, 省市: 湖南省, 长沙市
店名: 蝴蝶, 地址: 五一西路78号, 省市: 湖南省, 长沙市
店名: 银盆路, 地址: 湖南银双路奥克斯广场一楼餐厅, 省市: 湖南省, 长沙市
店名: 阿波罗广场, 地址: 八一路1号, 省市: 湖南省, 长沙市
店名: 中央广场, 地址: 芙蓉中路238号芙蓉广场首层, 省市: 湖南省, 长沙市
店名: 解放西路, 地址: 天心区黄兴南路445号, 省市: 湖南省, 长沙市
店名: 星沙, 地址: 星沙镇长沙通程商业广场, 省市: 湖南省, 长沙市
店名: 桐梓坡, 地址: 湖南桐梓坡路星电光城一层, 省市: 湖南省, 长沙市
店名: 黄兴中路, 地址: 黄兴中路王府井百货一楼, 省市: 湖南省, 长沙市
店名: 林院, 地址: 韶山路496号中南林院, 省市: 湖南省, 长沙市
店名: 新世界, 地址: 黄兴中路84号平和堂南侧苏宁电器一楼, 省市: 湖南省, 长沙市
店名: 西站, 地址: 望城坡经济开发区湘浙小商品批发市场, 省市: 湖南省, 长沙市
店名: 雨花亭, 地址: 韶山中路421号凯德广场一楼, 省市: 湖南省, 长沙市
店名: 东郡, 地址: 人民东路与万家丽路交汇处大润发超市, 省市: 湖南省, 长沙市
店名: 红星, 地址: 中意路红星农副产品大市场内第一幢101号, 省市: 湖南省, 长沙市
店名: 开元路, 地址: 星沙开发区开元路45号一层, 省市: 湖南省, 长沙市
店名: 恒盛, 地址: 韶山南路120号大润发超市一层, 省市: 湖南省, 长沙市
店名: 天虹百货, 地址: 芙蓉南路368号BOBO天下城, 省市: 湖南省, 长沙市
店名: 弘林, 地址: 芙蓉中路3段266号弘林国际一、二楼, 省市: 湖南省, 长沙市
店名: 岁宝百货, 地址: 芙蓉中路1段288号岁宝百货一楼, 省市: 湖南省, 长沙市
店名: 长沙火车站, 地址: 火车站候车大楼雨廊南侧消防门往南4个门店及扩建房屋, 省市: 湖南省, 长沙市
店名: 书院南路, 地址: 新开铺174号河马公园商场一楼, 省市: 湖南省, 长沙市
店名: 金沙路, 地址: 金沙路1号创意财富新世界商业广场裙楼1层, 省市: 湖南省, 长沙市
店名: 左家塘, 地址: 城南东路269号（位于城南东路和曙光路交汇处东南角）, 省市: 湖南省, 长沙市
