店名: 东莞福海, 地址: 长安镇厦岗村福源商场房屋首层B1005、B1006、B1007、B1008、B1039、B1040、B1041、B1042号商铺, 省市: 广东省, 东莞市
店名: 金沙湾, 地址: 石龙镇西湖三路金沙湾购物广场首层, 省市: 广东省, 东莞市
店名: 厚街汀山, 地址: 厚街镇汀山股份经济联合社三层商贸广场首层, 省市: 广东省, 东莞市
店名: 星城, 地址: 学前路新世纪星城49号商业楼首层, 省市: 广东省, 东莞市
店名: 东莞人民南, 地址: 虎门人民南路64号, 省市: 广东省, 东莞市
店名: 樟木头, 地址: 樟木头镇永宁路樟罗商业城首层, 省市: 广东省, 东莞市
店名: 长安, 地址: 长安镇长中路钻石广场一、二层, 省市: 广东省, 东莞市
店名: 塘厦, 地址: 塘厦镇塘新街115号104穗恒大厦一、二层, 省市: 广东省, 东莞市
店名: 文化广场, 地址: 虎门沙太路64号首层, 省市: 广东省, 东莞市
店名: 清溪, 地址: 清溪镇香芒中路21号清溪镇居民管理区办公楼首层, 省市: 广东省, 东莞市
店名: 凤岗, 地址: 凤岗镇永盛大道新高广场首层, 省市: 广东省, 东莞市
店名: 雁田, 地址: 凤岗镇雁田村怡安中路嘉利商贸中心首层, 省市: 广东省, 东莞市
店名: 大朗长盛, 地址: 大朗镇美景大道长盛广场大福源首层, 省市: 广东省, 东莞市
店名: 虎门中和, 地址: 虎门镇博涌村博头人民北路路段综合楼中1、2层, 省市: 广东省, 东莞市
店名: 世博, 地址: 东城区东城中路世博广场海雅百货首层, 省市: 广东省, 东莞市
店名: 天荣, 地址: 塘厦镇环市西路2号悦港汇首层肯德基, 省市: 广东省, 东莞市
店名: 港口, 地址: 虎门镇虎门大道路（原港口路）名门华轩一楼  （黄河时装城对面）, 省市: 广东省, 东莞市
店名: 石排, 地址: 石排镇石排大道利丰城广场步行街区首层, 省市: 广东省, 东莞市
店名: 虎门乐购, 地址: 虎门镇博涌管理区新涌桥地段虎门大道乐购商场首层, 省市: 广东省, 东莞市
店名: 乌沙, 地址: 长安镇乌沙振安路大润发广场首层, 省市: 广东省, 东莞市
店名: 沙田, 地址: 沙田镇沙田大道嘉荣广场首层, 省市: 广东省, 东莞市
店名: 鸿福, 地址: 南城区鸿福路90号印象汇首层, 省市: 广东省, 东莞市
店名: 东莞总站, 地址: 万江区东莞客运总站大楼首层, 省市: 广东省, 东莞市
店名: 黄江环城路, 地址: 黄江镇天虹商场首层, 省市: 广东省, 东莞市
店名: 宏伟, 地址: 东莞南城区宏伟路景湖时代城商业中心首层, 省市: 广东省, 东莞市
店名: 樟木头火车站, 地址: 樟木头镇火车站旁金杭酒店首层, 省市: 广东省, 东莞市
店名: 东大, 地址: 长安镇沙头区S358省道旁时代广场商业街首层, 省市: 广东省, 东莞市
店名: 海雅, 地址: 鸿福路综艺广场地下一层及一层, 省市: 广东省, 东莞市
店名: 丽城, 地址: 常平镇丽景花园丽景嘉荣首层, 省市: 广东省, 东莞市
店名: 大朗客运站, 地址: 大朗镇大朗客运站一楼, 省市: 广东省, 东莞市
店名: 白沙塘, 地址: 莞城区罗沙村东纵大道地王广场首层, 省市: 广东省, 东莞市
店名: 虎门连升路, 地址: 虎门镇连升中路金洲社区地标广场一楼, 省市: 广东省, 东莞市
店名: 汽车东站, 地址: 寮步镇横坑村东莞汽车客运东站客运大楼, 省市: 广东省, 东莞市
店名: 松山湖DT, 地址: 松山湖科技产业园区松山湖大道与工业西路交界东北角的北部商业中心, 省市: 广东省, 东莞市
店名: 莞惠DT, 地址: 大岭山镇大塘村地塘岭（虎岗高速管理中心）大岭山南服务站一层, 省市: 广东省, 东莞市
店名: 惠莞DT, 地址: 大岭山镇大塘村地塘岭（虎岗高速管理中心）大岭山北服务站一层, 省市: 广东省, 东莞市
店名: 松佛汽车穿梭餐厅, 地址: 大朗镇松佛路368号求富花园会所首，二层, 省市: 广东省, 东莞市
店名: 深广DT, 地址: 厚街镇寮厦村深广高速厚街北服务站, 省市: 广东省, 东莞市
店名: 三屯餐厅, 地址: 厚街镇三屯村厚道路心连心购物广场首、二层, 省市: 广东省, 东莞市
店名: 厚街大道, 地址: 厚街镇寮夏村厚街大道鼎盛时代广场, 省市: 广东省, 东莞市
店名: 凯东餐厅, 地址: 大岭山镇凯东新城凯旋阁首层, 省市: 广东省, 东莞市
店名: 南环餐厅, 地址: 厚街镇南环路盛和广场首层, 省市: 广东省, 东莞市
店名: 高埗餐厅, 地址: 高埗镇振兴南路78号嘉荣超场外首、二层, 省市: 广东省, 东莞市
店名: 企石宝石餐厅, 地址: 企石镇振华路1号宝石商业广场首、二层, 省市: 广东省, 东莞市
店名: 华南摩尔餐厅, 地址: 万江区万道路华南摩尔A区首层, 省市: 广东省, 东莞市
店名: 第一国际, 地址: 南城区第一国际E区首层, 省市: 广东省, 东莞市
店名: 寮步餐厅, 地址: 寮步镇神前路高力大厦首层, 省市: 广东省, 东莞市
店名: 麻涌嘉荣超市肯德基, 地址: 麻涌镇麻涌大道嘉荣超首层, 省市: 广东省, 东莞市
店名: 中堂餐厅, 地址: 中堂镇中麻路中新商贸广场首层, 省市: 广东省, 东莞市
店名: 常平东站餐厅, 地址: 常平镇东莞东站广场京九商贸城首屋, 省市: 广东省, 东莞市
店名: 长安万达, 地址: 长安镇东门中路1号-万达广场2楼2001铺, 省市: 广东省, 东莞市
店名: 东泰, 地址: 东城区东泰花园东泰和商业街嘉荣商场首层, 省市: 广东省, 东莞市
店名: 康城DT, 地址: 南城港口大道南侧康城大厦首层, 省市: 广东省, 东莞市
店名: 松湖烟雨, 地址: 松山湖科技产业园区沁园路万科松湖中心广场一层, 省市: 广东省, 东莞市
店名: 东城万达, 地址: 东城区东纵路208号万达广场AD区1幢二层2001/2002号商铺, 省市: 广东省, 东莞市
店名: 寮步欧尚, 地址: 寮步镇香市路与祥富路交汇处欧尚寮步商业中心首层, 省市: 广东省, 东莞市
店名: 振兴, 地址: 道滘镇振兴路喜乐福百货广场首、二层, 省市: 广东省, 东莞市
店名: 上南路DT, 地址: 长安镇上角社区上南路71号兴濠城广场首层, 省市: 广东省, 东莞市
店名: 常平大道DT, 地址: 常平镇常平大道乐购超市入口肯德基餐厅, 省市: 广东省, 东莞市
店名: 官井头, 地址: 凤岗镇官井头嘉辉路1号, 省市: 广东省, 东莞市
店名: 市场路肯德基, 地址: 常平镇新市场路百花广场, 省市: 广东省, 东莞市
店名: 中山路DT, 地址: 横沥镇南铭购物广场, 省市: 广东省, 东莞市
店名: 莲湖DT餐厅, 地址: 塘厦镇塘厦大道79-3和79-4号, 省市: 广东省, 东莞市
店名: 莞太假日餐厅, 地址: 南城区新基莞太大道城市假日大厦（二期）B01、B02铺, 省市: 广东省, 东莞市
店名: 厚街万达, 地址: 厚街镇宝屯、珊美社区万达广场1065、2055C号商铺, 省市: 广东省, 东莞市
