店名: 东营银座, 地址: 济南路296号西城银座一层肯德基, 省市: 山东省, 东营市
店名: 西三路, 地址: 西三路22号银座商城一层, 省市: 山东省, 东营市
店名: 胶州路天瑞, 地址: 胶州路149号一层, 省市: 山东省, 东营市
店名: 长途汽车总站, 地址: 黄河路中段东营长途汽车总站, 省市: 山东省, 东营市
店名: 东城银座, 地址: 东三路138A1号银座城市广场东侧一、二层, 省市: 山东省, 东营市
店名: 孙武路, 地址: 孙武路与乐安大街交叉口东南角的银座商城一、二层, 省市: 山东省, 东营市
店名: 津二路(利津县百货大楼）, 地址: 津二路与夜市街交叉口西北角处被称为“百货大楼利津店”房产一层。, 省市: 山东省, 东营市
店名: 银兴, 地址: 新兴路与黄河路交叉口东北角处被称为“银座商城垦利店”房产的一、二层。, 省市: 山东省, 东营市
店名: 百大, 地址: 西四路641号一层至二层, 省市: 山东省, 东营市
店名: 盛大DT, 地址: 东二路167号部分一层、二层, 省市: 山东省, 东营市
店名: 百货大楼, 地址: 东城区安泰北区东南角百货大楼东城超市一层, 省市: 山东省, 东营市
店名: 东营北一路餐厅, 地址: 北一路与千佛山路交叉口万达广场2号门, 省市: 山东省, 东营市
店名: 东城万达, 地址: 莒州路29号东营东城万达广场, 省市: 山东省, 东营市
店名: 孙武路甜品站, 地址: 广饶县乐安大街528号佳乐购物广场二楼, 省市: 山东省, 东营市
店名: 东营金鼎, 地址: 黄河路430-6号金鼎广场B座一层, 省市: 山东省, 东营市
店名: 垦利利兴路, 地址: 育才路以东、民丰路以西、利兴路以南、胜利路以北的明珠广场一层, 省市: 山东省, 东营市
