店名: 市府, 地址: 南湖路178号家乐福超市一层肯德基餐厅, 省市: 新疆, 乌鲁木齐市
店名: 七一, 地址: 黄河路400号肯德基餐厅, 省市: 新疆, 乌鲁木齐市
店名: 友好, 地址: 沙依巴克区友好北路486号, 省市: 新疆, 乌鲁木齐市
店名: 红旗, 地址: 中山路309号肯德基餐厅, 省市: 新疆, 乌鲁木齐市
店名: 新医路（医学院）, 地址: 鲤鱼山路2号乌鲁木齐红桥商贸大厦1层肯德基餐厅, 省市: 新疆, 乌鲁木齐市
店名: 铁路（西单商场）, 地址: 北京南路895号铁路局西单商场1层肯德基餐厅, 省市: 新疆, 乌鲁木齐市
店名: 苏州路, 地址: 北京南路28号家乐福苏州路购物中心一层肯德基餐厅, 省市: 新疆, 乌鲁木齐市
店名: 亚心餐厅, 地址: 延安北路198号东方购物中心一层肯德基餐厅, 省市: 新疆, 乌鲁木齐市
店名: 长春路友好, 地址: 长春南路216号肯德基餐厅, 省市: 新疆, 乌鲁木齐市
店名: 乌鲁木齐机场第三航站楼餐厅, 地址: 乌鲁木齐国际机场T3航站楼标段11出发厅c区, 省市: 新疆, 乌鲁木齐市
店名: 福润德餐厅, 地址: 北京南路433号大寨沟福润德一楼肯德基餐厅, 省市: 新疆, 乌鲁木齐市
店名: 乌鲁木齐新客站高铁餐厅, 地址: 乌鲁木齐新客站高架候车夹层餐饮区西一号, 省市: 新疆, 乌鲁木齐市
店名: 乌市经开万达, 地址: 玄武湖路999号经开万达广场内(1B02B)号商铺, 省市: 新疆, 乌鲁木齐市
店名: 长春中路, 地址: 高新技术产业开发区 “领秀新城”新世界广场商业综合体A段高新区长春中路818号地上一层（1B03号和1B04号铺面）, 省市: 新疆, 乌鲁木齐市
店名: 奇台路万达餐厅, 地址: 沙依巴克区德汇万达广场一期D2商业楼内的地上一层1001号商铺, 省市: 新疆, 乌鲁木齐市
店名: 时代广场餐厅, 地址: 光明路39号时代广场, 省市: 新疆, 乌鲁木齐市
店名: 奇台路万达二, 地址: 沙依巴克区德汇万达广场一期D2商业楼内的地上一层1001号商铺, 省市: 新疆, 乌鲁木齐市
店名: 高新万达餐厅, 地址: 长春北路668号高新万达广场一层, 省市: 新疆, 乌鲁木齐市
店名: 新疆高新万达二, 地址: 长春北路668号万达广场4层, 省市: 新疆, 乌鲁木齐市
店名: 新疆新客站高铁二, 地址: 高铁北六路乌鲁木齐新客站高架候车夹层餐饮区东四-1号, 省市: 新疆, 乌鲁木齐市
店名: 乌鲁木齐机场第二航站楼餐厅, 地址: 高新区()迎宾路1241号内的乌鲁木齐空港客运综合枢纽站内B1商铺、B2商铺及B3商铺的局部, 省市: 新疆, 乌鲁木齐市
店名: 新疆克西路万科餐厅, 地址: 克拉玛依街333号万科都会传奇项目S3-104号1层, 省市: 新疆, 乌鲁木齐市
店名: 乌鲁木齐机场T3外卖点, 地址: 乌鲁木齐国际机场T3航站楼A区隔离厅（41号登机口旁）, 省市: 新疆, 乌鲁木齐市
店名: 乌鲁木齐市美美二甜品站, 地址: 10 商铺 使用面积：22平方米友好北路688号MM2购物中心一层编号ISLAND 1, 省市: 新疆, 乌鲁木齐市
店名: 第二航站楼精选餐厅, 地址: 迎宾路1341号乌鲁木齐国际机场T2航站楼出发夹层三楼, 省市: 新疆, 乌鲁木齐市
店名: 乌鲁木齐机场T3外卖点二, 地址: 迎宾路1341号乌鲁木齐国际机场T3航站楼出发厅隔离区内32号登机口西侧, 省市: 新疆, 乌鲁木齐市
