店名: 九瑞大道, 地址: 九瑞大道大润发超市1层肯德基, 省市: 江西省, 九江市
店名: 浔阳路, 地址: 浔阳路106-118号, 省市: 江西省, 九江市
店名: 九江信华, 地址: 信华城市广场一楼, 省市: 江西省, 九江市
店名: 赤乌大道, 地址: 瑞昌联盛国际广场一楼, 省市: 江西省, 九江市
店名: 都昌东风大道, 地址: 都昌县东风大道万宜生活广场1-2层, 省市: 江西省, 九江市
店名: 八里湖, 地址: 八里湖新区九方购物中心一楼, 省市: 江西省, 九江市
店名: 修水宁红, 地址: 修水县宁红大道联盛广场1楼肯德基, 省市: 江西省, 九江市
店名: 庐山餐厅, 地址: 牯岭镇正街17号楼1-2层（原正街1111号春风商场）, 省市: 江西省, 九江市
店名: 九江共青, 地址: 高尔夫大道与富华大道交汇处天虹商场一楼, 省市: 江西省, 九江市
店名: 九江长江大道, 地址: 九江长江大道联盛快乐城一楼肯德基, 省市: 江西省, 九江市
店名: 铜锣湾广场, 地址: 浔南大道铜锣湾广场大润发一楼（九江汽车站斜对面）, 省市: 江西省, 九江市
店名: 前进路, 地址: 濂溪区前进东路与青年路交汇处九江新天地一楼（九江学院旁）, 省市: 江西省, 九江市
店名: 九江万达, 地址: 德化路万达广场一楼肯德基, 省市: 江西省, 九江市
店名: 缤纷, 地址: 德安县义峰路以西、老汽车站棚户区地块缤纷第一大街一层, 省市: 江西省, 九江市
店名: 中瀚, 地址: 浔阳区青年路东侧孙家垄地块中瀚城一层, 省市: 江西省, 九江市
店名: 九江快乐城1楼肯德基甜品站, 地址: “联盛九江快乐城”中庭---1楼甜品站, 省市: 江西省, 九江市
店名: 奥园广场, 地址: 宁红大道133号奥园广场一楼肯德基餐厅, 省市: 江西省, 九江市
店名: 快乐城, 地址: 武宁县沙田大道以西、九宫山大道以南联盛快乐城一层, 省市: 江西省, 九江市
