店名: 佛山, 地址: 祖庙路33号百花广场首层, 省市: 广东省, 佛山市
店名: 容桂, 地址: 容桂街道凤翔南路2号首层, 省市: 广东省, 佛山市
店名: 文昌, 地址: 文昌路31-33号物业广场, 省市: 广东省, 佛山市
店名: 东方广场, 地址: 锦华路东方广场银州城首,二层, 省市: 广东省, 佛山市
店名: 北滘广场, 地址: 北滘镇北滘居委会人昌路10号北滘广场首二层S08，S28., 省市: 广东省, 佛山市
店名: 延年路, 地址: 大良镇延年路8号首层, 省市: 广东省, 佛山市
店名: 巴黎春天, 地址: 南海大沥巴黎春天步行街M9-M12, 省市: 广东省, 佛山市
店名: 里水, 地址: 里水镇夏塘路信和广场首层, 省市: 广东省, 佛山市
店名: 三水广场, 地址: 西南镇张边路9号三水广场二座首层1142-1144号铺, 省市: 广东省, 佛山市
店名: 普君, 地址: 兆祥路32号首层P3-P6商铺, 省市: 广东省, 佛山市
店名: 天佑城, 地址: 桂洲大道中63号天佑城乐购首层, 省市: 广东省, 佛山市
店名: 顺联广场, 地址: 陈村镇佛陈路与白陈路交汇处顺联广场八号楼华润万家生活超市首层, 省市: 广东省, 佛山市
店名: 龙江, 地址: 龙江镇文华路盈信广场首二层, 省市: 广东省, 佛山市
店名: 大融城, 地址: 大良南国东路顺成大融城首层肯德基, 省市: 广东省, 佛山市
店名: 保利水城, 地址: 桂城海六路与灯湖东路交界保利水城广场首层, 省市: 广东省, 佛山市
店名: 嘉信, 地址: 大良兴顺路嘉信城市广场一期, 省市: 广东省, 佛山市
店名: 海三路, 地址: 桂城海三路鸿大广场首层, 省市: 广东省, 佛山市
店名: 玫瑰园, 地址: 大福南路22号首层101房及二层201房, 省市: 广东省, 佛山市
店名: 伦教, 地址: 伦教街道办事处常教社区居民委员会振兴路, 省市: 广东省, 佛山市
店名: 乐平, 地址: 乐从镇跃进路A56号顺客隆首层餐厅, 省市: 广东省, 佛山市
店名: 南庄吉利, 地址: 南庄镇南庄二马路89号吉利明珠生活广场首层及二层, 省市: 广东省, 佛山市
店名: 南海新天地, 地址: 桂平西路新天地首层A031-A034铺, 省市: 广东省, 佛山市
店名: 佛平（太港城一楼）, 地址: 佛平五路与桂平路交汇处太港城广场首层, 省市: 广东省, 佛山市
店名: 海北建设大道, 地址: 黄岐金沙洲建设大道1号金沙湾财富广场首层, 省市: 广东省, 佛山市
店名: 河滨路, 地址: 乐从镇乐从居委会新乐从家具城西区一座首层商铺一，二，三, 省市: 广东省, 佛山市
店名: 北湖, 地址: 罗村镇北湖一路圣地广场首层（罗村实验小学对面), 省市: 广东省, 佛山市
店名: 大良清晖路, 地址: 大良清晖路148号首层1001铺二层2000铺, 省市: 广东省, 佛山市
店名: 松岗, 地址: 狮山镇松岗大道益民大厦首层, 省市: 广东省, 佛山市
店名: 盐步DT, 地址: 广佛新干线美思内衣厂侧, 省市: 广东省, 佛山市
店名: 樵高路DT, 地址: 西樵镇樵高路西吴村边地块, 省市: 广东省, 佛山市
店名: 乐安DT, 地址: 罗村桂丹路华泓商业城侧, 省市: 广东省, 佛山市
店名: 广佛路DT, 地址: 黄岐广佛路125路城际大厦C座, 省市: 广东省, 佛山市
店名: 嘉州广场, 地址: 广佛一路98号嘉洲广场首层及二层, 省市: 广东省, 佛山市
店名: 杏坛餐厅, 地址: 杏坛镇建设路港杏豪庭首层, 省市: 广东省, 佛山市
店名: 顺碧DT, 地址: 北滘镇碧江桥西侧碧桂园西苑正门侧, 省市: 广东省, 佛山市
店名: 桂南名都, 地址: 桂南东路66号百花时代广场首层, 省市: 广东省, 佛山市
店名: 季华七路, 地址: 季华七路鹏瑞利广场首层正门, 省市: 广东省, 佛山市
店名: 沧江路, 地址: 荷城街道沧江路大润发首层肯德基, 省市: 广东省, 佛山市
店名: 博爱, 地址: 狮山镇博爱中路61号一层1A013、二层2A015、三层3A013铺位, 省市: 广东省, 佛山市
店名: 南海万达, 地址: 桂城街道桂澜北路28号万达广场1039B铺, 省市: 广东省, 佛山市
店名: 佛罗伦萨小镇, 地址: 桂城街道疏港路28号佛罗伦萨小镇二楼肯德基, 省市: 广东省, 佛山市
店名: 府前餐厅, 地址: 罗村街道府前路金盛广场首层肯德基餐厅, 省市: 广东省, 佛山市
店名: 瑶平路DT, 地址: 狮山镇官窑瑶平路汇利广场肯德基, 省市: 广东省, 佛山市
店名: 三水万达广场, 地址: 三水区云东海街道南丰大道13号万达广场1031b+2031a号商铺, 省市: 广东省, 佛山市
店名: 季华, 地址: 季华五路东建世纪广场首层, 省市: 广东省, 佛山市
店名: 永润广场, 地址: 里广路50号一层, 省市: 广东省, 佛山市
店名: 星汇云锦, 地址: 桂城街道南海大道北越秀星汇云锦广场（二）区商场（一）层（A111）及（二）区商场, 省市: 广东省, 佛山市
店名: 樵岭国际, 地址: 西樵镇官山城区江浦东路26号一层1A-10, 省市: 广东省, 佛山市
店名: 龙江大润发, 地址: 龙江镇龙洲西路99号自编1、2号, 省市: 广东省, 佛山市
店名: 三水新动力广场, 地址: 西南街道西青大道8号(A块地)首层、二层, 省市: 广东省, 佛山市
店名: 凤山餐厅, 地址: 顺德市大良镇凤山中路26号, 省市: 广东省, 佛山市
店名: 杏龙路, 地址: 杏坛镇河北路80号宏汇广场首层1F-01商铺肯德基, 省市: 广东省, 佛山市
店名: 南海佰德广场, 地址: 大沥镇盐步穗盐路涌表村“扇面北”中国南方时尚城五号地块一层, 省市: 广东省, 佛山市
店名: 大沥梦乐城, 地址: 大沥镇联滘滘口路13号171 房, 省市: 广东省, 佛山市
店名: 星耀广场, 地址: 顺德区乐从镇乐从社区居民委员会佛山新城裕和路141号星耀广场商铺1号一层自编号W, 省市: 广东省, 佛山市
店名: 金沙洲万达广场, 地址: 大沥镇黄岐建设大道星港国际广场1座145铺, 省市: 广东省, 佛山市
店名: 丹灶, 地址: 丹灶镇珍丰路步行街珍丰广场一楼肯德基, 省市: 广东省, 佛山市
店名: 绿岛广场, 地址: 季华西路129号D1座首层, 省市: 广东省, 佛山市
店名: 智慧新城, 地址: 禅城区季华一路28号一座首层10号部分（一区东区商场）, 省市: 广东省, 佛山市
店名: 九江信基, 地址: 九江镇大正路信基广场肯德基, 省市: 广东省, 佛山市
店名: 新福港, 地址: 汾江南路西侧魁奇路一路9号的新DNA物业内商铺B203, 省市: 广东省, 佛山市
店名: 新展路, 地址: 容桂容里居委会新展路28号荟景花园首层, 省市: 广东省, 佛山市
店名: 顺德大信, 地址: 大良街道德和居委会新城区彩虹路1号大信新都汇顺德店首层L1049, 省市: 广东省, 佛山市
店名: 顺德大信甜品站, 地址: 顺德区大良街道彩虹路1号大信新都汇三楼, 省市: 广东省, 佛山市
店名: 怡海港, 地址: 桂城街道简平路7号南舜广场5座2栋首层1019-1024号铺, 省市: 广东省, 佛山市
店名: 佛山乐平大道-DT, 地址: 三水区乐平镇乐平大道38号5座一楼, 省市: 广东省, 佛山市
店名: 小塘, 地址: 狮山镇小塘四环路66号紫悦明都一层自编1F001二层自编2F001, 省市: 广东省, 佛山市
店名: 汇翠广场, 地址: -07铺桂城街平东社区柏丽翡翠大道7-10号信汇广场1首层自编号JP1-05、P1, 省市: 广东省, 佛山市
店名: 山海名门, 地址: 里水镇洲村里广路2号广物国际广场首层L1-01A号铺, 省市: 广东省, 佛山市
店名: 万科金域中央, 地址: 桂城街道永胜东路4号金域中央万科里(备案名万科金域花园)28栋28-101, 省市: 广东省, 佛山市
店名: 天虹, 地址: 号铺石湾街道天虹购物中心负一楼B1017号铺, 省市: 广东省, 佛山市
