店名: 环城餐厅, 地址: 东风中路大润发超市负一层, 省市: 河北省, 保定市
店名: 裕华, 地址: 裕华西路383号, 省市: 河北省, 保定市
店名: 朝阳, 地址: 朝阳路18号, 省市: 河北省, 保定市
店名: 国贸, 地址: 范阳路华冠购物中心一层, 省市: 河北省, 保定市
店名: 北国, 地址: 裕华路北国商城, 省市: 河北省, 保定市
店名: 家兴, 地址: 南大街东侧家兴购物中心一层, 省市: 河北省, 保定市
店名: 开元（购大神卡早餐两件套6折，大杯咖啡10元）, 地址: 定州市中山中路与商业街交叉口, 省市: 河北省, 保定市
店名: 宜佳, 地址: 范阳东路与东兴街交口宜佳旺商厦一层, 省市: 河北省, 保定市
店名: 天鹅（购大神卡早餐两件套6折，咖啡10元）, 地址: 天鹅中路1399号一层, 省市: 河北省, 保定市
店名: 青年, 地址: 永华北大街与五四中路交口文华国际底商一、二层, 省市: 河北省, 保定市
店名: 祁州餐厅（安国宜家旺底商）, 地址: 药华大街宜佳旺购物广场, 省市: 河北省, 保定市
店名: 现代, 地址: 迎宾路与兴华路交口现代商厦, 省市: 河北省, 保定市
店名: 钟楼, 地址: 裕华西路233号, 省市: 河北省, 保定市
店名: 高阳, 地址: 朝阳路中段北侧高阳大世界购物中心, 省市: 河北省, 保定市
店名: 保百, 地址: 朝阳北大街916号保百购物广场南楼一层, 省市: 河北省, 保定市
店名: 双隆, 地址: 康明中路双隆商厦一层, 省市: 河北省, 保定市
店名: 华创:大神卡早餐6折咖啡十元, 地址: 裕华西路华创商厦一层, 省市: 河北省, 保定市
店名: 先天下, 地址: 朝阳北大街和天鹅中路交口北国先天下购物广场地下一层, 省市: 河北省, 保定市
店名: 定兴-大神卡早餐两件套6折宅急送免外送费, 地址: 通兴东路南侧69号, 省市: 河北省, 保定市
店名: 唐县购大神卡早餐打6折咖啡10元, 地址: 向阳街广场西侧中天商厦, 省市: 河北省, 保定市
店名: 保津DT, 地址: 白沟镇津保路精品鞋贸城保津餐厅, 省市: 河北省, 保定市
店名: 惠友, 地址: 振兴中路3号一层二层, 省市: 河北省, 保定市
店名: 钻石广场, 地址: 钻石广场一层, 省市: 河北省, 保定市
店名: 保定站, 地址: 阳光南大街519号保定火车站, 省市: 河北省, 保定市
店名: 涿州服务区, 地址: 京港澳高速公路K57+450涿州东服务区（东区）, 省市: 河北省, 保定市
店名: 清苑, 地址: 清苑路28号新天地商厦一二层, 省市: 河北省, 保定市
店名: 容城, 地址: 奥威路112号一层, 省市: 河北省, 保定市
店名: 曲阳（购大神卡早餐两件套6折，咖啡10元）, 地址: 南环路与正阳街交口凯嘉购物广场一层, 省市: 河北省, 保定市
店名: 阳光餐厅, 地址: 白沟仁和北路与七一南路交口东北角, 省市: 河北省, 保定市
店名: 万博广场, 地址: 朝阳北大街99号万博广场一层、二层及五层, 省市: 河北省, 保定市
店名: 盛源, 地址: 长安路东关新村二期盛源购物广场一层, 省市: 河北省, 保定市
店名: 绿溪谷(购大神卡早餐两件套6折，大杯咖啡10元), 地址: 阳光北大街东侧绿溪谷乐园售票处旁一层, 省市: 河北省, 保定市
店名: 满城餐厅, 地址: 满城县玉川东路南侧惠友万悦城一层, 省市: 河北省, 保定市
店名: 汇金城-大神卡早餐两件套6折宅急送免外送费, 地址: 府前街西延南侧（汇金城市广场）1层1-1号, 省市: 河北省, 保定市
店名: 雄县天奕餐厅, 地址: 将台路东侧天奕商厦102号商铺一、二层, 省市: 河北省, 保定市
店名: 保定涞水百里峡餐厅, 地址: 涞水县三坡镇苟各庄村百里峡景区商业街与百里峡大道交叉口东南角第一栋第一层, 省市: 河北省, 保定市
店名: 保定涞水百里峡甜品站, 地址: 涞水县三坡镇苟各庄村百里峡景区商业街向南行景区入口（售票处北侧）, 省市: 河北省, 保定市
店名: 保定安新双隆餐厅, 地址: 安新镇雁翔东路北侧双隆商厦1层（8号门店）, 省市: 河北省, 保定市
店名: 易县朝阳, 地址: 朝阳西路南侧一层, 省市: 河北省, 保定市
店名: 望都易购餐厅, 地址: 庆都西路易购广场一层, 省市: 河北省, 保定市
店名: 保定华创甜品, 地址: 市辖区裕华西路518号保定百货大楼二层, 省市: 河北省, 保定市
店名: 保定帕克, 地址: 北二环路999号钟楼Park3.1一层129-2#商铺, 省市: 河北省, 保定市
店名: 嘉德万达, 地址: 三丰路南侧、红旗大街西侧嘉德万达广场内1029-1030号商铺, 省市: 河北省, 保定市
店名: 保定未来石万达, 地址: 东三环西、七一路北侧1999号未来石万达广场1001号商铺, 省市: 河北省, 保定市
店名: 保定惠友十方外卖点, 地址: 建华南大街789号惠友购物广场一层肯德基, 省市: 河北省, 保定市
