店名: 蓝天碧水餐厅, 地址: 青山南路72号1层和地下一层, 省市: 江西省, 南昌市
店名: 上海南路, 地址: 青山湖区上海路3号, 省市: 江西省, 南昌市
店名: 大众, 地址: 叠山路287号大众购物中心一楼, 省市: 江西省, 南昌市
店名: 新建欧尚, 地址: 欧尚百货一楼, 省市: 江西省, 南昌市
店名: 南京西路, 地址: 南京西路277号, 省市: 江西省, 南昌市
店名: 中山城, 地址: 中山路177号, 省市: 江西省, 南昌市
店名: 万寿宫, 地址: 步行街万寿宫肯德基, 省市: 江西省, 南昌市
店名: 站前广场, 地址: 洛阳路70号1-2层, 省市: 江西省, 南昌市
店名: 莲塘, 地址: 南昌县莲塘镇五一路308号1-2层, 省市: 江西省, 南昌市
店名: 新洪大, 地址: 洪城路588号1-2层, 省市: 江西省, 南昌市
店名: 新八一, 地址: 八一大道南昌百货大楼一至二层, 省市: 江西省, 南昌市
店名: 经开, 地址: 经济技术开发区榴云路与枫林大道交汇处, 省市: 江西省, 南昌市
店名: 城南路, 地址: 莲塘城南路贵都国际花城大润发超一楼, 省市: 江西省, 南昌市
店名: 青云谱, 地址: 井冈山大道悦达-家乐福国际购物广场一楼, 省市: 江西省, 南昌市
店名: 会展路, 地址: 红谷滩万达广场2楼肯德基门店, 省市: 江西省, 南昌市
店名: 新百花洲, 地址: 中山路以南、西湖路以东华润万家商场一层、二层, 省市: 江西省, 南昌市
店名: 梦时代, 地址: 北京东路308号恒茂梦时代国际广场三号楼一层, 省市: 江西省, 南昌市
店名: 京东, 地址: 高新大道8号大润发（原欧亚达家居）, 省市: 江西省, 南昌市
店名: 进贤天虹, 地址: 进贤民和镇胜利南路天集商业广场天虹商场一、二楼, 省市: 江西省, 南昌市
店名: 南昌高铁餐厅, 地址: 红谷滩新区九龙湖南昌西站进站内场候车厅肯德基, 省市: 江西省, 南昌市
店名: 江铃, 地址: 南昌是三店西路以北沃尔玛卖场一层, 省市: 江西省, 南昌市
店名: 广北, 地址: 八一广场万达购物广场地上一层, 省市: 江西省, 南昌市
店名: 洪城大厦, 地址: 西湖区北京西路156号一层洪城大厦肯德基, 省市: 江西省, 南昌市
店名: 新上海路, 地址: 上海北路230号肯德基, 省市: 江西省, 南昌市
店名: 金沙大道, 地址: 金沙大道以东、雄西河以西天虹商场1-2层, 省市: 江西省, 南昌市
店名: 火炬大街DT, 地址: 高新技术开发区火炬大街高新六路116号, 省市: 江西省, 南昌市
店名: 九龙湖万达, 地址: 九龙大道九龙湖万达茂二层, 省市: 江西省, 南昌市
店名: 高铁站到达层, 地址: 南昌西到达层负二层近地铁进站口, 省市: 江西省, 南昌市
店名: 新力都荟, 地址: 雄西河以西金沙大道新力都荟, 省市: 江西省, 南昌市
店名: 吾悦广场, 地址: 艾溪湖北路77号吾悦广场1楼, 省市: 江西省, 南昌市
店名: 西湖万达, 地址: 云锦路368号万达广场一号门一楼肯德基, 省市: 江西省, 南昌市
店名: 万象中心, 地址: 新建县长堎镇解放路西侧、文教路南侧A、B地块礼步湖大道288号世纪万象广场, 省市: 江西省, 南昌市
店名: 杉杉奥莱, 地址: 红谷滩新区九龙大道与生米大道交汇处杉杉奥特莱斯广场, 省市: 江西省, 南昌市
店名: 新建首创, 地址: 明矾路399号首创奥特莱斯F1层, 省市: 江西省, 南昌市
店名: 桃苑, 地址: 西湖区桃苑大街288号汇海国际广场一楼, 省市: 江西省, 南昌市
店名: 紫阳大道, 地址: 高新区紫阳大道1216号，江西科技学院瑶湖校区正对面, 省市: 江西省, 南昌市
店名: 绿地中心, 地址: 东湖区红谷滩中心区红谷中大道998号绿地中央广场D2商业一层, 省市: 江西省, 南昌市
店名: 新建吾悦肯德基, 地址: 新建区新城吾悦广场1030-1031号商铺, 省市: 江西省, 南昌市
店名: 乐盈广场, 地址: 经济技术开发区枫林西大街以北、桂苑大道以西、江西科技师范大学以东经开盈石广场一层, 省市: 江西省, 南昌市
店名: 青山湖万达, 地址: 青山湖区京东南大道1666号的万达广场1012A、1012B号商铺, 省市: 江西省, 南昌市
店名: 欢乐大世界餐厅, 地址: 新建区幸福北路欢乐大世界289号A411-A412壹层, 省市: 江西省, 南昌市
店名: 悦佳, 地址: 澄湖北大道以北莲西大道以东煌盛悦佳广场一层112至120商铺, 省市: 江西省, 南昌市
店名: 澜湖广场餐厅, 地址: 洪都大道以东、青山之路以西、青山南路以北澜湖花园12#商业楼一层, 省市: 江西省, 南昌市
店名: 南昌火车站候车层, 地址: 市辖区南昌站商业夹层JC-08商业点位, 省市: 江西省, 南昌市
店名: 艾溪湖公园, 地址: 高新区艾溪湖公园内区溪湖一路以北片区一层, 省市: 江西省, 南昌市
店名: 九洲天虹, 地址: 九洲天虹广场购物中心一层1018号铺, 省市: 江西省, 南昌市
店名: 王府井, 地址: 洪城路160号正盛太古港7#楼一层, 省市: 江西省, 南昌市
店名: 九洲天虹甜品站, 地址: 九洲天虹广场购物中心一层1026号铺, 省市: 江西省, 南昌市
