店名: 星海世纪广场餐厅, 地址: 星海世纪广场一楼肯德基, 省市: 安徽省, 合肥市
店名: 银通肯德基（银泰中心西100米）, 地址: 庐阳区长江中路132号庐阳大厦一楼, 省市: 安徽省, 合肥市
店名: 永达, 地址: (安医店金寨路与绩溪路交口）金寨路209号永达大厦1楼, 省市: 安徽省, 合肥市
店名: 金华联, 地址: 金寨南路1090号肯德基餐厅, 省市: 安徽省, 合肥市
店名: 合盛, 地址: 淮河路步行街77号百盛商城1楼, 省市: 安徽省, 合肥市
店名: 巢湖旺湖, 地址: 团结路59号市开发公司综合楼一楼, 省市: 安徽省, 合肥市
店名: 长江, 地址: 长江西路地铁2号线C出口, 省市: 安徽省, 合肥市
店名: 胜利, 地址: 胜利北路88号元一购物广场一层, 省市: 安徽省, 合肥市
店名: 环球, 地址: 环球新都会广场1楼：电话：0551-64652494, 省市: 安徽省, 合肥市
店名: 桐山餐厅, 地址: 金寨路与北海路交叉口正大广场一楼, 省市: 安徽省, 合肥市
店名: 合肥商之都, 地址: 长江东路1137号, 省市: 安徽省, 合肥市
店名: 合肥国购, 地址: 长江西路与西一环屯溪路交口三里庵安徽国购广场南门, 省市: 安徽省, 合肥市
店名: 巢湖安德利, 地址: 巢湖路79号安德利购物广场, 省市: 安徽省, 合肥市
店名: 合肥高新合家福餐厅, 地址: 长江西路691号合家福超市二楼, 省市: 安徽省, 合肥市
店名: 临泉路, 地址: 新站区临泉路合家福超市一楼, 省市: 安徽省, 合肥市
店名: 濉溪路, 地址: 蒙城北路与北环一路交汇处东北角的新天地国际广场一层, 省市: 安徽省, 合肥市
店名: 合肥潜山路, 地址: 潜山路与望江路交叉口东南角信旺广场一层, 省市: 安徽省, 合肥市
店名: 马鞍山路合家福, 地址: 马鞍山路与太湖路交叉口东北角合家福购物广场1,2层, 省市: 安徽省, 合肥市
店名: 庐江百货大楼, 地址: 庐城镇文明中路88号1幢1层, 省市: 安徽省, 合肥市
店名: 合肥站, 地址: 站前路火车站广场东配楼1楼(售票大厅东侧）, 省市: 安徽省, 合肥市
店名: 包河万达, 地址: 马鞍山路东侧万达商业广场一层, 省市: 安徽省, 合肥市
店名: 世纪金源, 地址: 徽州大道与紫云路交叉口, 省市: 安徽省, 合肥市
店名: 庐阳大润发, 地址: 阜阳路和凤台路交界处大润发超市, 省市: 安徽省, 合肥市
店名: 肯德基港澳餐厅, 地址: 翡翠路港澳广场一层0551-63803858, 省市: 安徽省, 合肥市
店名: 中环大润发, 地址: 翡翠路中环购物中心一层0551-69127028, 省市: 安徽省, 合肥市
店名: 肥西永辉, 地址: 上派镇永辉超市一层肯德基0551-68848599, 省市: 安徽省, 合肥市
店名: 合肥新桥机场, 地址: 新桥机场航站楼到达层44号商铺, 省市: 安徽省, 合肥市
