店名: 百盛, 地址: 中山西路212号, 省市: 内蒙古, 呼和浩特市
店名: 民族, 地址: 中山西路69号民族商场, 省市: 内蒙古, 呼和浩特市
店名: 新城, 地址: 新城南街108号1层, 省市: 内蒙古, 呼和浩特市
店名: 锡林郭勒, 地址: 锡林郭勒南路凯德茂购物中心一层, 省市: 内蒙古, 呼和浩特市
店名: 长乐宫, 地址: 东风路358号长乐宫, 省市: 内蒙古, 呼和浩特市
店名: 蒙苑, 地址: 兴安北路169号北京华联一层, 省市: 内蒙古, 呼和浩特市
店名: 果园, 地址: 新华西街家世界广场一号维多利超一层, 省市: 内蒙古, 呼和浩特市
店名: 金宇, 地址: 兴安南路金宇文苑底铺111号, 省市: 内蒙古, 呼和浩特市
店名: 站前, 地址: 锡林北路与车站西街交口海豪国贸大厦, 省市: 内蒙古, 呼和浩特市
店名: 海亮, 地址: 中山西路海亮广场地下负一层, 省市: 内蒙古, 呼和浩特市
店名: 万达广场, 地址: 新华东街南侧万达商业广场, 省市: 内蒙古, 呼和浩特市
店名: 白塔机场, 地址: 白塔国际机场迎客大厅一层东侧, 省市: 内蒙古, 呼和浩特市
店名: 名都, 地址: 大学西街与呼伦贝尔南路交口, 省市: 内蒙古, 呼和浩特市
店名: 金翡丽, 地址: 中山东路48号金翡丽购物中心一层地下一层, 省市: 内蒙古, 呼和浩特市
店名: 金游城, 地址: 南二环路以南丰州路以西鹏欣金游城购物中心一、二层, 省市: 内蒙古, 呼和浩特市
店名: 通道北街, 地址: 通道北街附属医院北50米肯德基, 省市: 内蒙古, 呼和浩特市
店名: 滨海友谊, 地址: 哲里木路与成吉思汗大街交口处滨海友谊购物中心商场一层, 省市: 内蒙古, 呼和浩特市
店名: 回民区万达餐厅, 地址: 成吉思汗西街阿拉善路交口万达广场一层, 省市: 内蒙古, 呼和浩特市
店名: 呼和浩特喜悦餐厅, 地址: 北二环与兴安北路交口维多利喜悦汇一层, 省市: 内蒙古, 呼和浩特市
店名: 呼和浩特万悦餐厅, 地址: 赛罕区大学东街与丰州路交口维多利万悦城一层, 省市: 内蒙古, 呼和浩特市
店名: 呼和浩特金桥餐厅, 地址: 阿拉坦大街和达尔登北路交口金宇星城, 省市: 内蒙古, 呼和浩特市
店名: 喜悦广场甜品, 地址: 兴安北路与北二环交叉口喜悦广场三层, 省市: 内蒙古, 呼和浩特市
店名: 白塔机场T1外卖点, 地址: 赛罕区白塔国际机场T1航站楼安检内商业区域4 号登机口东北侧, 省市: 内蒙古, 呼和浩特市
