店名: 大成餐厅, 地址: 烟草街1号, 省市: 黑龙江省, 哈尔滨市
店名: 安发餐厅, 地址: 抚顺街281号, 省市: 黑龙江省, 哈尔滨市
店名: 花圃, 地址: 中央大街187号, 省市: 黑龙江省, 哈尔滨市
店名: 北华, 地址: 东大直街362号, 省市: 黑龙江省, 哈尔滨市
店名: 假日, 地址: 中央大街4号, 省市: 黑龙江省, 哈尔滨市
店名: 通乡, 地址: 哈尔滨红旗大街38号, 省市: 黑龙江省, 哈尔滨市
店名: 革新, 地址: 果戈里大街86号-（教堂旁边）, 省市: 黑龙江省, 哈尔滨市
店名: 新阳, 地址: 安国街76号, 省市: 黑龙江省, 哈尔滨市
店名: 精益, 地址: 东大直街338号, 省市: 黑龙江省, 哈尔滨市
店名: 波斯特, 地址: 和兴路95-5号肯德基餐厅, 省市: 黑龙江省, 哈尔滨市
店名: 永平, 地址: 永平小区五街区家乐福超市一层, 省市: 黑龙江省, 哈尔滨市
店名: 西桥, 地址: 西大直街106号, 省市: 黑龙江省, 哈尔滨市
店名: 友协, 地址: 新疆大街8号太平洋商厦一层, 省市: 黑龙江省, 哈尔滨市
店名: 宽城, 地址: 宽城街与鼎新三道街交口大润发超市旁肯德基餐厅, 省市: 黑龙江省, 哈尔滨市
店名: 金城, 地址: 解放大街121号远大一层肯德基, 省市: 黑龙江省, 哈尔滨市
店名: 学府, 地址: 学府路53号, 省市: 黑龙江省, 哈尔滨市
店名: 友谊, 地址: 友谊路167-217号, 省市: 黑龙江省, 哈尔滨市
店名: 顾乡, 地址: 顾乡大街85号世纪联华超市一层, 省市: 黑龙江省, 哈尔滨市
店名: 呼兰街, 地址: 建设街文明小区5号楼北1门畅想国际购物中心一层, 省市: 黑龙江省, 哈尔滨市
店名: 兆麟, 地址: 透龙街32号, 省市: 黑龙江省, 哈尔滨市
店名: 黄河, 地址: 红旗大街301号（会展中心家乐福旁肯德基）, 省市: 黑龙江省, 哈尔滨市
店名: 建议, 地址: 新阳路365号, 省市: 黑龙江省, 哈尔滨市
店名: 新一百, 地址: 石头道街118号, 省市: 黑龙江省, 哈尔滨市
店名: 翰林, 地址: 呼兰利民开发区学院路, 省市: 黑龙江省, 哈尔滨市
店名: 人和 , 地址: 果戈里大街204号, 省市: 黑龙江省, 哈尔滨市
店名: 香坊万达肯德基, 地址: 衡山路17-7号, 省市: 黑龙江省, 哈尔滨市
店名: 松雷, 地址: 和平路１号, 省市: 黑龙江省, 哈尔滨市
店名: 东直, 地址: 东直路389号, 省市: 黑龙江省, 哈尔滨市
店名: 东滨广场, 地址: 延福街南与升永街西交界处, 省市: 黑龙江省, 哈尔滨市
店名: 迎宾, 地址: 埃德蒙顿路38号, 省市: 黑龙江省, 哈尔滨市
店名: 保健路, 地址: 保健路大众新城G2-4号商服（征仪路2-3号）, 省市: 黑龙江省, 哈尔滨市
店名: 景观, 地址: 民安大道西侧金源商厦, 省市: 黑龙江省, 哈尔滨市
店名: 承德广场, 地址: 承德街公路客运站一层, 省市: 黑龙江省, 哈尔滨市
店名: 红博, 地址: 哈尔滨红军街38号, 省市: 黑龙江省, 哈尔滨市
店名: 民生路, 地址: 民生路178号家乐福一层肯德基, 省市: 黑龙江省, 哈尔滨市
店名: 三合路, 地址: 三合路133号, 省市: 黑龙江省, 哈尔滨市
店名: 鞍山街, 地址: 东大直街地一大道香港城鞍山街入口处, 省市: 黑龙江省, 哈尔滨市
店名: 河松, 地址: 河松街115号（财智大厦一楼）, 省市: 黑龙江省, 哈尔滨市
店名: 新疆大街, 地址: 新疆大街117号, 省市: 黑龙江省, 哈尔滨市
店名: 学府凯德, 地址: 学府路1-1号凯德广场地下一层, 省市: 黑龙江省, 哈尔滨市
店名: 利民, 地址: 利民开发区利民大道, 省市: 黑龙江省, 哈尔滨市
店名: 黑龙江煊德香安餐厅, 地址: 中山路61-2号, 省市: 黑龙江省, 哈尔滨市
店名: 花园餐厅, 地址: 果戈里大街332号, 省市: 黑龙江省, 哈尔滨市
店名: 教化餐厅, 地址: 南岗区西大直街93号, 省市: 黑龙江省, 哈尔滨市
店名: 聚源, 地址: 中源大道凯利汽车百货广场, 省市: 黑龙江省, 哈尔滨市
店名: 哈西站, 地址: 哈西大街哈尔滨西站二楼, 省市: 黑龙江省, 哈尔滨市
店名: 中央大街, 地址: 中央大街中央商城对面潮人汇美食广场2楼肯德基, 省市: 黑龙江省, 哈尔滨市
店名: 新乐松, 地址: 三大动力路2号, 省市: 黑龙江省, 哈尔滨市
店名: 一曼街, 地址: 一曼街18号, 省市: 黑龙江省, 哈尔滨市
店名: 尚志路餐厅, 地址: 尚志镇尚志大街20号, 省市: 黑龙江省, 哈尔滨市
店名: 宾州商厦, 地址: 宾州镇文化街宾州商厦一层, 省市: 黑龙江省, 哈尔滨市
店名: 解放大街, 地址: 解放大街与会宁路交叉口达仁印象城一层, 省市: 黑龙江省, 哈尔滨市
