店名: 永泰, 地址: 大同城区工农路永泰广场地下一层肯德基餐厅, 省市: 山西省, 大同市
店名: 华严, 地址: 仿古街与校场街交叉口新东方尚街一层, 省市: 山西省, 大同市
店名: 熙成, 地址: 新建西路华林新天地一二层, 省市: 山西省, 大同市
店名: 大同平泉, 地址: 矿务局校南街与平泉路十字交叉口, 省市: 山西省, 大同市
店名: 大同武定, 地址: 魏都大道与武定路交叉口（金湖国际外围）一二层肯德基餐厅, 省市: 山西省, 大同市
店名: 大同御西, 地址: 迎宾街南侧御河西路凯旋城外围一层, 省市: 山西省, 大同市
店名: 尚都, 地址: 永泰南路尚都一二层肯德基, 省市: 山西省, 大同市
店名: 和宁恒安新区, 地址: 棚户区和宁街与平德路交叉路口京都广场外围商铺一层肯德基餐厅, 省市: 山西省, 大同市
店名: 新天地, 地址: 矿区华亿新天地一层, 省市: 山西省, 大同市
店名: 大同西环餐厅, 地址: 西环路华林新时尚百货1F, 省市: 山西省, 大同市
店名: 大同万达, 地址: 御东新区永和路东侧万达广场一层, 省市: 山西省, 大同市
店名: 大同城墙灯会快闪, 地址: 平城区南城墙关城内, 省市: 山西省, 大同市
店名: 大同云中, 地址: 平云中路万城华府底商220#楼3号、4号一层, 省市: 山西省, 大同市
