店名: 经六街, 地址: 东风新村经六街118号, 省市: 黑龙江省, 大庆市
店名: 湖滨, 地址: 高新区发展路63号, 省市: 黑龙江省, 大庆市
店名: 新庆莎, 地址: 会战大街18号, 省市: 黑龙江省, 大庆市
店名: 银座, 地址: 纬二路南侧经九街西侧银座尚品1号商服, 省市: 黑龙江省, 大庆市
店名: 龙凤, 地址: 大庆公路客运枢纽站, 省市: 黑龙江省, 大庆市
店名: 经三街, 地址: 东风路15号大庆万达商业广场, 省市: 黑龙江省, 大庆市
店名: 新潮, 地址: 长春路126号, 省市: 黑龙江省, 大庆市
店名: 乘风庄, 地址: 乘风庄新玛特一楼肯德基, 省市: 黑龙江省, 大庆市
店名: 昆仑, 地址: 西宾路与聚贤街交口东南角, 省市: 黑龙江省, 大庆市
店名: 东风商城, 地址: 东风新村东风商城东, 省市: 黑龙江省, 大庆市
店名: 百湖, 地址: 高新区摩码广场一楼肯德基, 省市: 黑龙江省, 大庆市
店名: 世纪唐人, 地址: 世纪大道与龙永路交汇处，世纪唐人商场一楼, 省市: 黑龙江省, 大庆市
店名: 新潮独立甜品站, 地址: 让胡路区长春路126号新潮商场1楼C厅, 省市: 黑龙江省, 大庆市
店名: 让胡路万达, 地址: 中央南大街206号, 省市: 黑龙江省, 大庆市
