店名: 亲贤, 地址: 佳地花园墨苑底商一层肯德基餐厅, 省市: 山西省, 太原市
店名: 桃园, 地址: 桃园北路90号肯德基餐厅, 省市: 山西省, 太原市
店名: 铜锣湾, 地址: 柳巷北路铜锣湾广场04号楼一层肯德基餐厅, 省市: 山西省, 太原市
店名: 长风, 地址: 长风街859号沃尔玛超市-1层肯德基餐厅, 省市: 山西省, 太原市
店名: 五一, 地址: 起凤街5号, 省市: 山西省, 太原市
店名: 平阳, 地址: 平阳路144号平阳商贸城1层, 省市: 山西省, 太原市
店名: 兴华, 地址: 兴华街299号山姆士超市一层肯德基餐厅, 省市: 山西省, 太原市
店名: 盛世, 地址: 三墙路裕德东里10号东大盛世华庭一层肯德基餐厅, 省市: 山西省, 太原市
店名: 桥头街, 地址: 五一路77号美特好超一层8200155, 省市: 山西省, 太原市
店名: 朝阳, 地址: 朝阳街东方红商厦一层, 省市: 山西省, 太原市
店名: 世贸, 地址: 长治路111号世贸大厦一层, 省市: 山西省, 太原市
店名: 盛嘉, 地址: （火车站对面）迎泽大街2号1层, 省市: 山西省, 太原市
店名: 北宫, 地址: 解放北路279号苏宁一层, 省市: 山西省, 太原市
店名: 下元, 地址: 和平南路5号夏园精品商城一层, 省市: 山西省, 太原市
店名: 双西0351-8717205, 地址: 双塔西街50号安业商务楼前, 省市: 山西省, 太原市
店名: 西山, 地址: 西矿街301号, 省市: 山西省, 太原市
店名: 太原机场, 地址: 武宿机场2号航站楼一层到达厅, 省市: 山西省, 太原市
店名: 三晋, 地址: 迎泽大街108号三晋国际大厦一层8224988, 省市: 山西省, 太原市
店名: 人民, 地址: 人民南路1号, 省市: 山西省, 太原市
店名: 太原府东, 地址: 府东街18号北京华联超一层, 省市: 山西省, 太原市
店名: 太原服装城, 地址: 朝阳街39号同至人购物中心地下一层, 省市: 山西省, 太原市
店名: 太原西华, 地址: 迎泽西大街南寒村德馨花园底商, 省市: 山西省, 太原市
店名: 太原康宁, 地址: 康宁街与真武路交叉口万马仕购物广场一、二层, 省市: 山西省, 太原市
店名: 建设餐厅, 地址: 建设南路351号山姆士超市院内, 省市: 山西省, 太原市
店名: 太原南站, 地址: 北营太原南客站二层, 省市: 山西省, 太原市
店名: 太原怡丰, 地址: 桃园北路与府西街交汇处怡丰大厦一层, 省市: 山西省, 太原市
店名: 体育路, 地址: 许坦西路69号美特好超市体育路店一层, 省市: 山西省, 太原市
店名: 火车站, 地址: 迎泽大街太原火车站内一层安检处左侧, 省市: 山西省, 太原市
店名: 龙湖, 地址: 解放路175号万达广场二层, 省市: 山西省, 太原市
店名: 坞城路, 地址: 坞城路学府街98号, 省市: 山西省, 太原市
店名: 太原并东, 地址: 并州北路48号中正乐居天街1#楼一层, 省市: 山西省, 太原市
店名: 太原机场T2出发厅, 地址: 武宿国际机场二号航站楼二层出发厅, 省市: 山西省, 太原市
店名: 赛博餐厅, 地址: 南内环街107号, 省市: 山西省, 太原市
店名: 太原富力, 地址: 胜利东街7号富力城一期商业7号楼G层, 省市: 山西省, 太原市
店名: 太原小乐都, 地址: 康宁街2号乐都天地一层, 省市: 山西省, 太原市
店名: 太原晋阳街, 地址: 晋阳街88号（晋阳街以南体育西路以东体育路以西）兴业大厦, 省市: 山西省, 太原市
店名: 太原茂业, 地址: 亲贤北街313号茂业天地二期二层, 省市: 山西省, 太原市
店名: 太原万象城, 地址: 长兴北路5号万象城5层肯德基餐厅, 省市: 山西省, 太原市
店名: 太原南内环西, 地址: 南内环西街润景商铺14#楼1001、1002号商铺一层, 省市: 山西省, 太原市
店名: 太原公元时代城, 地址: 下元公元时代城三层F3-054-055, 省市: 山西省, 太原市
店名: 太原公元时代城甜品站, 地址: 下元公元时代城四层F4-037, 省市: 山西省, 太原市
店名: 太原北美文创餐厅, 地址: 体育路北美N1负一层/三层, 省市: 山西省, 太原市
店名: 太原南中环, 地址: 西南角）山西国际金融中心A座商务楼一层、二层中国高新技术产业开发区南中环街426号（南中环街与长治路交叉口, 省市: 山西省, 太原市
店名: 太原贵都, 地址: 柳巷南路19号（即柳巷南路与开化寺街交叉口东南角贵都世纪广场）, 省市: 山西省, 太原市
店名: 太原长治路, 地址: 长风街579号居然之家春天店建材馆（长风街与长治路交叉口西北角）一层, 省市: 山西省, 太原市
