店名: 娄底氐星路, 地址: 氐星路春园步行街12栋一层和二层, 省市: 湖南省, 娄底市
店名: 步行街, 地址: 锑都中路36号（步行街入口处）, 省市: 湖南省, 娄底市
店名: 龙泰, 地址: 长青中街42号（龙泰上品大厦）, 省市: 湖南省, 娄底市
店名: 娄星, 地址: 氐星路万豪城市广场, 省市: 湖南省, 娄底市
店名: 娄底新化天华, 地址: 天华路永泰商业广场一楼肯德基餐厅, 省市: 湖南省, 娄底市
店名: 新化梅苑, 地址: 梅苑南路友阿世茂广场一楼, 省市: 湖南省, 娄底市
店名: 扶青路, 地址: 扶青路东侧早元街南侧五江国际商业中心18号栋1层, 省市: 湖南省, 娄底市
店名: 人民路, 地址: 人民路蓝田办事处双江街332号开成尚悦广场一层, 省市: 湖南省, 娄底市
店名: 娄底通程, 地址: 娄星南路南苑上和二期8栋裙楼一层, 省市: 湖南省, 娄底市
店名: 汇丰餐厅, 地址: 双峰县永丰镇城中路(汇丰购物步行街1号楼)一层, 省市: 湖南省, 娄底市
店名: 信和, 地址: 冷水江锑路中路与健康路叉路口一二层, 省市: 湖南省, 娄底市
店名: 新化步步高餐厅, 地址: 天华南路步步高广场一层, 省市: 湖南省, 娄底市
