店名: 保丽, 地址: 长征路保丽国际广场1F, 省市: 湖北省, 孝感市
店名: 安陆永安, 地址: 安陆紫金路永安广场, 省市: 湖北省, 孝感市
店名: 城站餐厅, 地址: 城站路18号, 省市: 湖北省, 孝感市
店名: 云梦建设路, 地址: 云梦县建设路孝武广场一楼, 省市: 湖北省, 孝感市
店名: 汉川仙女大道, 地址: 汉川市仙女大道18号中百仓储购物广场一层, 省市: 湖北省, 孝感市
店名: 孝昌洪花大道, 地址: 县县城区建设路与花园大道交汇处, 省市: 湖北省, 孝感市
店名: 大悟建新街, 地址: 建新街孝武广场一楼, 省市: 湖北省, 孝感市
店名: 汉川汉海国际, 地址: 市仙女山街道办事处西正街, 省市: 湖北省, 孝感市
店名: 槐荫大道, 地址: 槐荫大道193号大润发超市一楼, 省市: 湖北省, 孝感市
店名: 安陆龙门路, 地址: 龙门路恒泰购物广场一层, 省市: 湖北省, 孝感市
店名: 应城蒲阳大道, 地址: 蒲阳大道应城中央广场, 省市: 湖北省, 孝感市
店名: 乾坤大道餐厅, 地址: 乾坤大道8号乾坤购物一层, 省市: 湖北省, 孝感市
店名: 乾坤新城, 地址: 长征南路东孝感乾坤新城项目一层, 省市: 湖北省, 孝感市
店名: 孝感服务区, 地址: G70福银高速汉十高速段孝感服务区北区肯德基餐厅(新铺镇方向), 省市: 湖北省, 孝感市
店名: 孝感高速服务区外卖点, 地址: G70汉十高速孝感服务区南区, 省市: 湖北省, 孝感市
店名: 孝感万达餐厅, 地址: 槐荫大道星河天街万达广场1063号商铺（肯德基餐厅）, 省市: 湖北省, 孝感市
