店名: 安庆商都, 地址: 人民路563号肯德基餐厅, 省市: 安徽省, 安庆市
店名: 桐城太阳城, 地址: 龙眠路102号太阳城购物中心, 省市: 安徽省, 安庆市
店名: 安庆苏果, 地址: 湖心北路与天柱山路交叉口苏果超市一楼, 省市: 安徽省, 安庆市
店名: 中业广场, 地址: 和平路1号, 省市: 安徽省, 安庆市
店名: 安庆火车站, 地址: 迎宾大道安庆火车站, 省市: 安徽省, 安庆市
店名: 天鹅广场, 地址: 岳西县建设路3号天鹅广场肯德基餐厅, 省市: 安徽省, 安庆市
店名: 宿松人民路, 地址: 宿松县孚玉镇人民路166号肯德基餐厅, 省市: 安徽省, 安庆市
店名: 安庆吾悦, 地址: 龙眠山路与菱湖南路交口, 省市: 安徽省, 安庆市
店名: 安庆百联, 地址: 德宽路与热电路交口安庆百联购物中心一层G60-F01-001-D号商, 省市: 安徽省, 安庆市
店名: 潜山苏果超市, 地址: 梅城镇南岳路财富广场华润苏果超市, 省市: 安徽省, 安庆市
店名: 怀宁盒小马, 地址: 育儿路188号德辰广场盒小马超市1F, 省市: 安徽省, 安庆市
店名: 望江中央城, 地址: 望江县回龙西路与东洲路交叉口中央商城一层FZ-13号商铺, 省市: 安徽省, 安庆市
店名: 太湖好又多, 地址: 晋熙镇晋湖路与建设路交叉口晋湖家园一号楼一层A101号、二层B202号商铺, 省市: 安徽省, 安庆市
